;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
1;Ismael Aaneba;fr FRA;DF;Strasbourg;fr Ligue 1;19;1999;2.3;31.7;52.2;60.8;575.7;276.1;13.9;18.7;74.4;13.5;22.2;60.8;3.91;7.39;52.9;0.00;0.17;0.09;-0.17;0.87;2.61;0.87;0.87;3.48;Matches;a7e4760c
2;Patrick van Aanholt;nl NED;DF;Crystal Palace;eng Premier League;27;1990;35.5;44.1;55.5;79.4;684.4;283.4;24.6;28.0;87.8;15.5;19.4;80.2;2.85;5.46;52.1;0.06;0.12;0.10;-0.07;0.99;3.30;1.46;0.11;5.97;Matches;5f09991f
3;Ignazio Abate;it ITA;DF;Milan;it Serie A;31;1986;14.5;52.6;63.8;82.5;900.1;342.1;24.3;25.9;93.9;23.6;27.8;84.9;4.14;7.86;52.6;0.00;0.03;0.04;-0.03;0.48;4.76;0.76;0.34;6.07;Matches;1c529186
4;Issah Abbas;gh GHA;FW;Mainz 05;de Bundesliga;19;1998;0.1;10.0;20.0;50.0;260.0;10.0;0.00;10.0;0.0;10.0;10.0;100.0;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2590ddf7
5;Yunis Abdelhamid;ma MAR;DF;Reims;fr Ligue 1;30;1987;38.0;35.0;42.5;82.4;740.3;283.3;9.05;10.7;84.9;21.2;23.1;91.7;4.50;7.61;59.2;0.00;0.00;0.01;-0.00;0.08;1.29;0.08;0.00;1.87;Matches;32c2d95f
6;Mehdi Abeid;dz ALG;MF;Dijon;fr Ligue 1;25;1992;22.5;40.1;47.5;84.6;693.4;165.6;18.6;20.7;89.9;16.2;18.0;90.1;4.00;6.36;62.9;0.00;0.07;0.04;-0.07;0.98;4.09;0.22;0.09;4.31;Matches;a4c3f7af
7;Charles Abi;fr FRA;DFFW;Saint-Étienne;fr Ligue 1;18;2000;0.4;15.0;42.5;35.3;112.5;20.0;12.5;17.5;71.4;0.00;10.0;0.0;0.00;5.00;0.0;0.00;0.00;0.00;0.00;2.50;0.00;2.50;0.00;2.50;Matches;469d3d84
8;David Abraham;ar ARG;DF;Eint Frankfurt;de Bundesliga;32;1986;15.8;32.5;42.5;76.6;688.1;260.6;8.99;10.9;82.6;18.0;21.0;85.5;5.25;8.61;61.0;0.00;0.03;0.03;-0.03;0.32;3.54;0.38;0.13;5.06;Matches;565bf0da
