;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
9;Amir Abrashi;al ALB;MF;Freiburg;de Bundesliga;28;1990;8.8;36.3;42.3;85.8;569.5;125.9;17.5;19.8;88.5;14.7;15.6;94.2;2.05;2.95;69.2;0.00;0.01;0.01;-0.01;0.23;1.59;0.00;0.00;2.16;Matches;1c08a3c8
10;Francesco Acerbi;it ITA;DF;Lazio;it Serie A;30;1988;36.8;42.4;48.9;86.7;828.7;315.2;14.9;16.3;91.5;20.8;22.5;92.4;5.87;8.51;69.0;0.03;0.03;0.02;0.00;0.27;3.02;0.19;0.03;3.67;Matches;b96b595c
11;Afriyie Acquah;gh GHA;MF;Empoli;it Serie A;26;1992;16.8;34.5;43.9;78.6;524.9;136.3;19.0;21.1;89.9;13.0;15.8;82.0;1.79;3.69;48.4;0.00;0.05;0.05;-0.05;0.65;3.93;0.71;0.18;5.42;Matches;d7403bd5
12;Tyler Adams;us USA;MF;RB Leipzig;de Bundesliga;19;1999;8.0;53.0;66.3;80.0;763.6;266.4;28.4;34.0;83.5;18.3;21.6;84.4;2.75;4.38;62.9;0.25;0.13;0.10;0.13;0.63;6.63;0.63;0.00;8.00;Matches;2b09d998
13;Antonio Adán;es ESP;GK;Atlético Madrid;es La Liga;31;1987;1.0;13.0;24.0;54.2;389.0;295.0;3.00;3.00;100.0;3.00;3.00;100.0;7.00;18.0;38.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;65d62814
14;Aday;es ESP;DFMF;Girona;es La Liga;30;1987;7.2;31.5;44.4;70.9;590.8;192.5;14.6;16.3;89.7;11.9;17.1;69.9;4.17;8.75;47.6;0.28;0.21;0.13;0.07;1.81;0.69;1.53;1.39;1.53;Matches;5890cef1
15;Khaled Adénon;bj BEN;DF;Amiens;fr Ligue 1;33;1985;22.2;37.7;43.8;86.0;770.9;307.7;10.7;11.6;91.9;21.4;23.3;91.9;4.91;7.57;64.9;0.00;0.00;0.01;-0.00;0.23;2.39;0.14;0.00;2.84;Matches;16714a62
16;Claud Adjapong;it ITA;MFFW;Sassuolo;it Serie A;20;1998;3.0;24.7;33.7;73.3;356.0;95.3;13.7;17.3;78.8;8.33;10.0;83.3;1.00;1.33;75.0;0.00;0.03;0.00;-0.03;0.67;0.33;0.67;0.00;1.33;Matches;ce5b170a
17;Yacine Adli;fr FRA;MF;Bordeaux;fr Ligue 1;18;2000;2.4;46.3;62.9;73.5;742.9;219.2;22.5;28.8;78.3;18.8;24.6;76.3;3.75;6.67;56.3;0.00;0.33;0.38;-0.33;2.50;7.08;0.83;0.42;7.08;Matches;26777636
18;Ali Adnan Kadhim;iq IRQ;DF;Atalanta;it Serie A;24;1993;1.8;42.8;65.0;65.8;722.8;253.9;25.0;30.0;83.3;12.8;19.4;65.7;3.89;10.6;36.8;0.00;0.06;0.06;-0.06;1.67;2.78;0.56;0.56;4.44;Matches;6050480
19;Aritz Aduriz;es ESP;FW;Athletic Club;es La Liga;37;1981;10.5;13.9;22.7;61.3;166.8;31.0;8.57;13.2;64.7;3.62;6.29;57.6;0.29;0.67;42.9;0.00;0.07;0.08;-0.07;0.76;0.86;0.38;0.10;1.43;Matches;2,93E+06
20;Luis Advíncula;pe PER;DF;Rayo Vallecano;es La Liga;28;1990;26.5;36.1;45.2;79.9;594.9;199.4;19.1;21.0;90.8;12.9;15.9;81.3;2.87;5.43;52.8;0.11;0.09;0.11;0.02;0.60;2.26;0.87;0.42;3.40;Matches;cacadf4f
21;Martin Agirregabiria;es ESP;DF;Alavés;es La Liga;22;1996;22.6;28.9;42.7;67.7;457.6;217.7;15.0;18.3;82.3;10.9;15.2;71.7;2.08;6.06;34.3;0.00;0.02;0.04;-0.02;0.35;2.39;0.62;0.27;3.94;Matches;355c883a
22;Nayef Aguerd;ma MAR;DF;Dijon;fr Ligue 1;22;1996;11.7;39.7;51.6;77.0;805.7;356.5;13.1;14.3;91.6;19.1;22.6;84.5;6.84;12.6;54.1;0.00;0.01;0.01;-0.01;0.17;3.33;0.26;0.17;2.74;Matches;288e1e13
23;Sergio Agüero;ar ARG;FW;Manchester City;eng Premier League;30;1988;27.3;24.2;29.2;83.0;283.3;52.0;15.2;17.1;89.1;5.53;6.45;85.8;0.44;0.88;50.0;0.29;0.18;0.16;0.11;1.25;1.47;1.47;0.00;2.78;Matches;4d034881
24;Ruben Aguilar;fr FRA;DF;Montpellier;fr Ligue 1;25;1993;28.1;46.8;58.4;80.2;731.8;268.8;26.0;28.7;90.6;16.7;20.4;81.7;3.06;5.66;54.1;0.14;0.09;0.10;0.05;1.57;2.92;1.64;0.89;4.56;Matches;3dd738a1
25;Juan Aguilera;es ESP;MF;Huesca;es La Liga;32;1985;3.8;43.7;49.7;87.8;712.1;222.6;23.7;24.5;96.8;15.3;17.9;85.3;3.68;5.00;73.7;0.00;0.00;0.05;0.00;0.00;4.21;0.79;0.53;5.53;Matches;18dc8533
26;Emmanuel Agyemang-Badu;gh GHA;MF;Udinese;it Serie A;27;1990;1.8;15.0;19.4;77.1;238.3;23.3;10.6;12.2;86.4;2.22;2.78;80.0;2.22;2.22;100.0;0.00;0.00;0.00;0.00;0.56;0.00;0.00;0.00;0.56;Matches;fe0b8f0e
27;Jean-Eudes Aholou;ci CIV;MF;Monaco;fr Ligue 1;24;1994;11.9;38.9;46.1;84.3;649.7;172.4;18.2;20.6;88.6;16.2;18.3;88.5;3.36;4.71;71.4;0.08;0.05;0.04;0.03;0.67;4.20;0.34;0.08;5.38;Matches;48b28bfd
28;Antonis Aidonis;de GER;DF;Stuttgart;de Bundesliga;17;2001;0.9;14.4;38.9;37.1;280.0;163.3;3.33;5.56;60.0;8.89;21.1;42.1;2.22;5.56;40.0;0.00;0.00;0.00;0.00;0.00;3.33;2.22;1.11;2.22;Matches;54507986
29;Ola Aina;ng NGA;DF;Torino;it Serie A;21;1996;24.0;35.9;49.1;73.1;572.0;242.9;19.4;21.9;88.6;11.2;16.5;67.8;3.67;6.63;55.3;0.13;0.10;0.09;0.02;1.04;2.21;1.25;0.46;4.04;Matches;246d153b
30;Youssef Aït Bennasser;ma MAR;MF;Saint-Étienne;fr Ligue 1;22;1996;10.4;55.0;63.1;87.2;1017.2;243.5;23.8;26.3;90.1;23.2;25.9;89.6;6.92;7.98;86.7;0.00;0.04;0.04;-0.04;0.67;4.04;0.67;0.19;6.44;Matches;c46fa34c
31;Youssef Aït Bennasser;ma MAR;MF;Monaco;fr Ligue 1;22;1996;11.9;53.2;61.9;85.9;1018.2;318.8;19.9;21.6;92.2;25.5;28.2;90.2;6.89;10.0;68.9;0.17;0.07;0.05;0.10;1.01;5.88;0.50;0.00;7.23;Matches;c46fa34c
32;Rayan Aït Nouri;dz ALG;DFMF;Angers;fr Ligue 1;17;2001;0.6;50.0;58.3;85.7;586.7;241.7;35.0;38.3;91.3;10.0;15.0;66.7;1.67;1.67;100.0;0.00;0.00;0.17;0.00;0.00;5.00;1.67;0.00;5.00;Matches;9b398aea
33;Ludovic Ajorque;fr FRA;FW;Strasbourg;fr Ligue 1;24;1994;17.0;19.9;27.0;73.9;287.4;33.1;11.7;14.9;78.3;5.18;6.71;77.2;1.65;2.12;77.8;0.06;0.06;0.06;0.00;0.76;1.18;0.41;0.06;1.47;Matches;462475ed
34;Manuel Akanji;ch SUI;DF;Dortmund;de Bundesliga;23;1995;24.5;70.3;75.7;92.8;1446.7;488.7;20.8;22.0;94.4;38.7;40.0;96.7;10.1;12.4;81.5;0.00;0.02;0.02;-0.02;0.24;3.84;0.12;0.08;4.98;Matches;89ac64a6
35;Carlos Akapo;gq EQG;DF;Huesca;es La Liga;25;1993;11.4;29.1;38.9;74.9;437.5;170.4;16.6;19.0;87.1;8.77;12.4;70.9;2.28;4.12;55.3;0.00;0.02;0.05;-0.02;0.26;1.84;0.35;0.00;2.98;Matches;f2a68b97
36;Nathan Aké;nl NED;DF;Bournemouth;eng Premier League;23;1995;37.9;39.3;45.7;86.0;692.8;266.9;17.3;18.9;91.1;18.5;20.6;90.0;3.14;5.20;60.4;0.00;0.03;0.02;-0.03;0.18;1.95;0.16;0.08;2.59;Matches;eaeca114
37;Sergio Akieme;es ESP;DF;Rayo Vallecano;es La Liga;20;1997;2.0;32.0;42.0;76.2;475.0;156.0;18.0;19.5;92.3;11.0;13.0;84.6;2.00;6.00;33.3;0.50;0.05;0.05;0.45;0.50;1.50;0.50;0.50;3.50;Matches;06efa9dc
38;Chadrac Akolo;cd COD;MFFW;Stuttgart;de Bundesliga;23;1995;5.8;20.5;27.8;73.9;263.6;61.2;12.6;14.1;89.0;6.21;8.79;70.6;0.34;1.38;25.0;0.17;0.09;0.17;0.09;1.03;1.21;0.69;0.34;2.41;Matches;debc2f28
39;Kevin Akpoguma;ng NGA;DF;Hoffenheim;de Bundesliga;23;1995;5.5;41.5;48.9;84.8;730.0;266.9;18.4;20.4;90.2;18.9;20.7;91.2;3.64;6.36;57.1;0.00;0.00;0.02;0.00;0.00;4.91;0.00;0.00;6.00;Matches;6ec6fde0
40;Kevin Akpoguma;ng NGA;DF;Hannover 96;de Bundesliga;23;1995;3.5;38.6;48.9;78.9;754.3;258.0;13.7;15.4;88.9;20.9;23.7;88.0;4.00;8.00;50.0;0.00;0.00;0.03;0.00;0.00;3.71;0.57;0.00;5.71;Matches;6ec6fde0
41;David Alaba;at AUT;DF;Bayern Munich;de Bundesliga;26;1992;28.1;63.0;76.6;82.2;942.2;301.8;34.5;37.8;91.4;22.7;26.9;84.4;3.27;6.55;50.0;0.11;0.16;0.21;-0.05;1.00;5.12;1.46;0.71;6.76;Matches;05439de2
42;Sofiane Alakouch;ma MAR;DF;Nîmes;fr Ligue 1;20;1998;21.1;39.4;51.9;75.9;554.0;248.7;24.7;27.9;88.8;11.2;14.8;75.7;1.80;4.98;36.2;0.00;0.07;0.06;-0.07;1.00;2.37;0.71;0.24;3.74;Matches;5,31E+70
43;Lucas Alario;ar ARG;FWMF;Leverkusen;de Bundesliga;25;1992;14.1;21.8;29.2;74.5;254.5;45.7;12.7;15.5;82.1;4.40;6.52;67.4;0.85;0.99;85.7;0.21;0.10;0.09;0.11;1.06;0.43;0.57;0.00;1.56;Matches;834d0be5
44;Jordi Alba;es ESP;DF;Barcelona;es La Liga;29;1989;33.2;68.6;81.2;84.6;994.9;324.3;41.9;45.5;92.1;21.6;25.7;84.0;3.31;5.66;58.5;0.24;0.20;0.18;0.04;1.42;4.22;1.72;0.21;6.23;Matches;4,60E+197
45;Luis Alberto;es ESP;MFFW;Lazio;it Serie A;25;1992;22.1;50.5;67.3;75.0;813.8;286.5;26.7;29.8;89.7;14.7;18.6;79.1;5.84;12.4;47.1;0.23;0.27;0.25;-0.04;3.44;6.15;2.44;0.32;9.05;Matches;5294a83f
46;Raúl Albiol;es ESP;DF;Napoli;it Serie A;32;1985;19.0;53.1;59.5;89.2;1184.7;414.2;13.2;13.7;96.2;28.7;31.1;92.2;10.8;13.6;79.5;0.00;0.02;0.04;-0.02;0.26;3.58;0.16;0.11;4.26;Matches;4bd414c1
47;Miiko Albornoz;cl CHI;DFMF;Hannover 96;de Bundesliga;27;1990;18.4;38.9;52.5;74.0;643.6;243.1;19.3;22.1;87.4;15.3;19.8;77.0;3.42;7.34;46.7;0.16;0.08;0.12;0.08;0.98;2.83;1.30;0.71;3.86;Matches;d459281d
48;Marc Albrighton;eng ENG;FWMF;Leicester City;eng Premier League;28;1989;18.1;24.8;42.9;57.7;433.6;162.8;13.0;16.6;78.4;7.13;12.0;59.4;3.37;8.84;38.1;0.11;0.16;0.13;-0.05;1.55;2.93;1.60;0.77;3.54;Matches;b827d5b3
49;Paco Alcácer;es ESP;FW;Dortmund;de Bundesliga;24;1993;13.5;15.8;21.5;73.4;179.3;33.8;10.9;13.5;80.8;2.89;4.44;65.0;0.37;0.67;55.6;0.00;0.12;0.19;-0.12;1.11;0.96;0.52;0.00;1.26;Matches;a7a9d95a
50;Pedro Alcalá;es ESP;DF;Girona;es La Liga;29;1989;20.8;33.0;41.8;78.9;716.8;241.0;8.08;9.62;84.0;19.6;22.2;88.3;5.10;9.13;55.8;0.05;0.03;0.02;0.02;0.24;1.44;0.24;0.00;2.26;Matches;ba71d071
51;Thiago Alcántara;es ESP;MF;Bayern Munich;de Bundesliga;27;1991;26.8;86.8;96.5;89.9;1685.1;451.0;31.7;33.8;93.7;39.1;41.6;93.9;13.2;16.8;78.3;0.22;0.13;0.19;0.09;1.42;9.93;0.97;0.04;11.6;Matches;77e84962
52;Rubén Alcaraz;es ESP;MF;Valladolid;es La Liga;27;1991;33.1;43.4;53.1;81.8;886.5;237.4;16.8;18.2;92.2;18.2;20.6;88.7;7.67;12.1;63.2;0.06;0.03;0.03;0.03;0.60;5.20;0.06;0.00;5.47;Matches;036bba5f
53;Toby Alderweireld;be BEL;DF;Tottenham;eng Premier League;29;1989;32.5;64.5;73.3;88.0;1385.0;442.8;18.7;19.8;94.4;34.4;36.7;93.6;10.8;15.4;70.4;0.00;0.02;0.05;-0.02;0.22;4.95;0.74;0.03;4.95;Matches;f7d50789
54;Álex Alegría;es ESP;FWMF;Rayo Vallecano;es La Liga;25;1992;1.6;13.8;20.0;68.8;183.1;31.9;8.13;11.3;72.2;3.75;5.00;75.0;0.63;0.63;100.0;0.00;0.25;0.06;-0.25;1.88;1.25;0.63;0.00;3.13;Matches;46166b49
55;Alexis Alegue;fr FRA;FW;Nantes;fr Ligue 1;21;1996;0.1;10.0;10.0;100.0;40.0;0.00;0.00;0.00;;0.00;0.00;;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;0f4c0bad
56;Iván Alejo;es ESP;MF;Getafe;es La Liga;23;1995;1.6;11.3;26.9;41.9;213.1;54.4;4.38;9.38;46.7;4.38;10.0;43.8;1.88;3.75;50.0;0.00;0.37;0.25;-0.37;0.63;1.25;0.63;0.63;1.88;Matches;3d7e48ce
57;Carles Aleñá;es ESP;MF;Barcelona;es La Liga;20;1998;7.1;75.5;82.7;91.3;1217.6;268.7;38.3;40.6;94.4;29.3;30.7;95.4;6.06;7.75;78.2;0.00;0.10;0.11;-0.10;1.27;8.17;0.85;0.00;9.15;Matches;6c811eb7
58;Rúnar Alex Rúnarsson;is ISL;GK;Dijon;fr Ligue 1;23;1995;25.0;24.9;34.8;71.5;782.1;605.8;2.80;2.80;100.0;12.1;12.2;99.0;10.0;19.5;51.3;0.00;0.00;0.00;0.00;0.00;0.40;0.04;0.00;0.00;Matches;8fa8f8d2
59;Alexander;ar ARG;FW;Leganés;es La Liga;29;1988;0.1;40.0;80.0;50.0;400.0;300.0;40.0;50.0;80.0;0.00;20.0;0.0;0.00;10.0;0.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;3e1858af
60;Trent Alexander-Arnold;eng ENG;DF;Liverpool;eng Premier League;19;1998;27.4;60.0;81.6;73.5;1115.4;398.4;25.3;29.0;87.2;26.0;32.9;78.9;7.59;15.4;49.3;0.44;0.23;0.24;0.21;1.75;4.49;2.01;0.91;5.73;Matches;cd1acf9d
61;Rachid Alioui;ma MAR;FW;Nîmes;fr Ligue 1;26;1992;13.9;19.1;27.6;69.5;247.7;48.1;13.1;16.6;78.8;3.88;6.04;64.3;0.79;1.94;40.7;0.00;0.09;0.05;-0.09;1.44;1.44;1.01;0.22;1.58;Matches;bdedd861
62;Alisson;br BRA;GK;Liverpool;eng Premier League;25;1992;38.0;28.3;33.9;83.3;745.6;487.3;3.76;3.89;96.6;16.4;16.5;99.5;8.08;13.4;60.2;0.00;0.00;0.00;0.00;0.00;0.13;0.03;0.00;0.00;Matches;7a2e46a8
63;Bobby Allain;fr FRA;GK;Dijon;fr Ligue 1;26;1991;13.0;22.5;35.2;63.8;866.3;756.9;1.08;1.08;100.0;8.31;8.77;94.7;13.1;25.4;51.5;0.00;0.00;0.01;0.00;0.00;1.31;0.08;0.00;0.00;Matches;8870154f
64;Allan;br BRA;MF;Napoli;it Serie A;27;1991;29.1;68.0;76.7;88.7;1096.2;320.9;35.0;37.4;93.5;25.2;27.3;92.2;5.67;7.25;78.2;0.10;0.09;0.10;0.02;1.17;8.76;1.03;0.14;8.11;Matches;cc700722
65;Allan;br BRA;MF;Eint Frankfurt;de Bundesliga;21;1997;2.0;21.0;32.0;65.6;389.0;113.0;8.00;14.5;55.2;8.50;11.5;73.9;3.00;3.50;85.7;0.00;0.00;0.05;0.00;0.50;5.50;0.50;0.00;2.00;Matches;b15e93aa
66;Dele Alli;eng ENG;MF;Tottenham;eng Premier League;22;1996;20.3;41.2;52.0;79.2;580.4;141.3;24.4;27.8;87.8;13.1;16.0;81.5;1.63;3.10;52.4;0.15;0.15;0.11;-0.00;1.33;3.30;1.43;0.05;5.47;Matches;cea4ee8f
67;Miguel Almirón;py PAR;MF;Newcastle Utd;eng Premier League;24;1994;8.4;22.4;31.3;71.5;343.2;89.5;11.7;14.9;78.4;6.43;8.81;73.0;2.50;3.33;75.0;0.00;0.07;0.10;-0.07;1.55;2.50;1.43;0.83;2.98;Matches;862a1c15
68;Júnior Alonso;py PAR;DFMF;Celta Vigo;es La Liga;25;1993;6.0;38.8;53.2;73.0;638.3;254.2;20.5;22.8;89.8;14.0;18.8;74.3;3.17;8.00;39.6;0.00;0.03;0.07;-0.03;0.83;2.33;0.33;0.17;3.50;Matches;b18a3023
69;Marcos Alonso;es ESP;DF;Chelsea;eng Premier League;27;1990;30.7;60.7;73.5;82.6;802.0;255.4;40.0;43.6;91.6;15.8;19.9;79.5;2.15;4.76;45.2;0.13;0.11;0.08;0.02;1.07;3.32;0.68;0.23;4.76;Matches;f4290206
70;Mickaël Alphonse;gp GLP;DF;Dijon;fr Ligue 1;29;1989;6.3;29.4;47.8;61.5;471.4;181.7;14.3;17.6;81.1;12.1;18.3;66.1;1.90;8.57;22.2;0.00;0.06;0.05;-0.06;1.27;2.06;0.63;0.63;2.86;Matches;0a63446f
71;Sergio Álvarez;es ESP;DFMF;Eibar;es La Liga;26;1992;11.9;33.2;42.0;79.0;649.6;162.9;10.3;12.1;84.7;17.8;21.2;84.1;4.12;6.64;62.0;0.00;0.01;0.01;-0.01;0.17;2.69;0.00;0.00;2.44;Matches;88d91621
72;Sergio Álvarez;es ESP;GK;Celta Vigo;es La Liga;31;1986;13.0;23.2;35.6;65.2;744.1;587.5;2.92;2.92;100.0;10.7;10.8;98.6;9.54;21.3;44.8;0.00;0.00;0.00;0.00;0.00;0.46;0.00;0.00;0.00;Matches;8875b8c9
73;Yeray Álvarez;es ESP;DF;Athletic Club;es La Liga;23;1995;29.0;35.6;44.6;79.7;700.8;277.7;12.0;13.4;89.2;18.7;21.6;86.7;4.34;8.31;52.3;0.00;0.00;0.01;-0.00;0.07;2.62;0.14;0.03;3.21;Matches;3ecc11d8
74;Bruno Alves;pt POR;DF;Parma;it Serie A;36;1981;32.5;29.6;38.3;77.3;700.8;297.0;6.80;8.00;85.0;15.5;18.2;85.3;7.14;11.1;64.4;0.03;0.03;0.03;0.00;0.31;1.75;0.09;0.06;2.22;Matches;585a73a8
75;Dani Alves;br BRA;MFDF;Paris S-G;fr Ligue 1;35;1983;18.0;73.1;87.8;83.2;1031.6;345.6;42.6;45.7;93.2;19.9;24.3;82.2;4.89;8.22;59.5;0.39;0.36;0.31;0.03;1.83;7.50;2.61;0.61;9.06;Matches;c9e99e49
76;Alfons Amade;de GER;MF;Hoffenheim;de Bundesliga;18;1999;0.1;10.0;20.0;50.0;180.0;20.0;0.00;10.0;0.0;10.0;10.0;100.0;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;d73a07e2
77;Ibrahim Amadou;fr FRA;MFDF;Sevilla;es La Liga;25;1993;8.5;35.5;42.5;83.7;607.5;154.0;16.2;17.8;91.4;15.1;17.5;85.9;3.06;4.24;72.2;0.00;0.01;0.01;-0.01;0.35;2.24;0.00;0.00;2.94;Matches;9260926b
78;Romain Amalfitano;fr FRA;MFFW;Dijon;fr Ligue 1;28;1989;28.0;29.8;38.7;77.1;567.6;157.5;11.9;13.9;85.1;12.3;14.5;84.9;4.68;7.82;59.8;0.00;0.03;0.05;-0.03;0.54;3.75;0.93;0.21;4.79;Matches;d7bf3d19
79;Daniel Amartey;gh GHA;DF;Leicester City;eng Premier League;23;1994;7.1;50.3;61.3;82.1;833.2;346.2;25.9;27.7;93.4;19.4;24.2;80.2;4.23;7.32;57.7;0.00;0.01;0.01;-0.01;0.42;5.07;0.00;0.00;4.79;Matches;1a4ef233
80;Jordi Amat;id IDN;DF;Rayo Vallecano;es La Liga;26;1992;30.7;34.7;42.2;82.2;683.8;256.8;12.9;14.9;86.9;16.8;18.7;89.9;4.56;7.20;63.3;0.00;0.01;0.01;-0.01;0.16;2.05;0.00;0.00;3.09;Matches;d70a2141
81;Amath;sn SEN;MF;Getafe;es La Liga;22;1996;11.1;12.8;18.9;67.6;204.0;71.9;6.94;8.92;77.8;4.23;5.77;73.4;1.17;1.98;59.1;0.18;0.14;0.11;0.05;0.90;1.08;0.90;0.09;2.70;Matches;f3b1d9a2
82;Jordan Amavi;fr FRA;DF;Marseille;fr Ligue 1;24;1994;24.2;39.7;53.0;75.0;627.6;187.9;21.3;24.0;89.0;14.0;19.4;72.3;2.98;5.91;50.3;0.08;0.08;0.06;0.00;1.07;1.94;0.79;0.66;3.39;Matches;22721b88
83;Kelvin Amian;fr FRA;DF;Toulouse;fr Ligue 1;20;1998;32.0;29.4;37.8;78.0;449.5;192.5;16.6;18.8;87.9;10.1;12.8;78.3;1.84;4.06;45.4;0.03;0.03;0.02;0.01;0.25;2.34;0.38;0.13;3.31;Matches;bcc81786
84;Nadiem Amiri;de GER;MF;Hoffenheim;de Bundesliga;21;1996;8.4;38.1;44.6;85.3;587.5;166.0;20.0;22.0;90.8;14.0;15.4;91.5;2.14;4.05;52.9;0.12;0.17;0.18;-0.05;1.90;3.45;1.43;0.12;5.95;Matches;555d5edd
85;Yanis Ammour;fr FRA;MF;Montpellier;fr Ligue 1;19;1999;0.0;0;0;;0;0;0;0;;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matches;aeed036d
86;Luke Amos;eng ENG;MF;Tottenham;eng Premier League;21;1997;0.0;1;3;33.3;9;6;1;2;50.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matches;77128f7e
87;Joachim Andersen;dk DEN;DF;Sampdoria;it Serie A;22;1996;32.0;56.4;63.6;88.6;1129.0;406.3;18.7;20.1;92.9;29.3;31.3;93.7;7.94;11.2;70.8;0.03;0.02;0.02;0.01;0.25;4.34;0.16;0.00;4.81;Matches;e34fc66d
88;Felipe Anderson;br BRA;MFFW;West Ham;eng Premier League;25;1993;33.8;39.2;54.0;72.6;605.7;191.1;20.8;24.6;84.5;11.2;15.0;74.7;3.85;7.13;53.9;0.12;0.18;0.22;-0.06;1.89;3.28;2.51;0.36;5.65;Matches;9f1893b9
89;Florin Andone;ro ROU;FW;Brighton;eng Premier League;25;1993;9.8;11.5;17.3;66.5;141.3;19.1;7.45;9.59;77.7;2.96;5.00;59.2;0.20;0.61;33.3;0.00;0.01;0.02;-0.01;0.20;0.31;0.10;0.10;0.41;Matches;dc008610
90;Benjamin André;fr FRA;MF;Rennes;fr Ligue 1;27;1990;27.7;42.4;54.3;78.0;651.4;181.0;21.7;25.2;85.8;15.4;19.1;80.7;2.82;4.69;60.0;0.04;0.03;0.05;0.01;0.72;3.90;0.72;0.04;6.68;Matches;ef9c1c95
91;Marco Andreolli;it ITA;DF;Cagliari;it Serie A;32;1986;1.2;54.2;60.0;90.3;1221.7;417.5;7.50;7.50;100.0;37.5;39.2;95.7;9.17;12.5;73.3;0.00;0.00;0.00;0.00;0.00;0.83;0.00;0.00;5.00;Matches;13d820de
92;Marco Andreolli;it ITA;DF;Chievo;it Serie A;32;1986;7.2;26.9;34.7;77.6;562.4;187.4;7.64;8.89;85.9;15.4;17.5;88.1;3.89;7.64;50.9;0.00;0.00;0.00;0.00;0.00;1.11;0.00;0.00;1.11;Matches;13d820de
93;Yoann Andreu;fr FRA;DF;Angers;fr Ligue 1;29;1989;0.0;1;1;100.0;12;11;1;1;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matches;872cd68c
