;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
1;Antonio Adán;es ESP;GK;Betis;es La Liga;29;1987;37;37;3330;37.0;1.68;1.68;4.92;3.38;68.1;0.27;0.22;0.51;0.27;27.0;0.14;0.11;0.03;0.00;20.0;Matches;65d62814
2;René Adler;de GER;GK;Hamburger SV;de Bundesliga;31;1985;19;19;1710;19.0;2.00;2.00;4.58;2.58;59.8;0.26;0.21;0.53;0.26;26.3;0.32;0.16;0.05;0.11;25.0;Matches;f71890f5
3;Adrián;es ESP;GK;West Ham;eng Premier League;29;1987;16;16;1440;16.0;1.56;1.56;4.88;3.31;70.5;0.31;0.25;0.44;0.38;37.5;0.19;0.13;0.00;0.06;0.0;Matches;f76e6b4e
4;Ryan Allsop;eng ENG;GK;Bournemouth;eng Premier League;24;1992;1;1;90;1.0;1.00;1.00;5.00;4.00;80.0;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;af615123
5;Sergio Álvarez;es ESP;GK;Celta Vigo;es La Liga;29;1986;26;26;2340;26.0;1.96;1.96;5.27;3.46;65.7;0.31;0.12;0.58;0.19;19.2;0.19;0.15;0.00;0.04;0.0;Matches;8875b8c9
6;Diego Alves;br BRA;GK;Valencia;es La Liga;31;1985;33;33;2970;33.0;1.70;1.70;4.06;2.64;61.9;0.33;0.21;0.45;0.18;18.2;0.33;0.15;0.12;0.06;44.4;Matches;12421a7c
7;Jon Ander Serantes;es ESP;GK;Leganés;es La Liga;26;1989;13;13;1110;12.3;1.79;1.78;4.07;2.52;62.0;0.33;0.08;0.65;0.33;30.8;0.24;0.24;0.00;0.00;0.0;Matches;983ccabe
8;Miguel Ángel Moyá;es ESP;GK;Atlético Madrid;es La Liga;32;1984;9;8;769;8.6;0.70;0.70;3.49;2.79;80.0;0.70;0.23;0.00;0.58;62.5;0.00;0.00;0.00;0.00;;Matches;011d8c56
9;Markel Areitio;es ESP;GK;Eibar;es La Liga;19;1996;1;0;45;0.5;0.00;0.00;4.00;4.00;100.0;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;f6d651a5
10;Alphonse Areola;fr FRA;GK;Paris S-G;fr Ligue 1;23;1993;15;14;1297;14.4;0.97;0.97;2.43;1.46;62.9;0.63;0.14;0.21;0.42;42.9;0.07;0.07;0.00;0.00;0.0;Matches;2f965a72
11;Kepa Arrizabalaga;es ESP;GK;Athletic Club;es La Liga;21;1994;23;23;2016;22.4;0.98;0.98;2.77;1.79;64.5;0.63;0.13;0.27;0.36;34.8;0.00;0.00;0.00;0.00;;Matches;28d596a0
12;Sergio Asenjo;es ESP;GK;Villarreal;es La Liga;27;1989;24;24;2105;23.4;0.64;0.64;3.42;2.86;82.5;0.43;0.38;0.21;0.47;45.8;0.09;0.04;0.04;0.00;50.0;Matches;9f0ea33f
13;Emil Audero;it ITA;GK;Juventus;it Serie A;19;1997;1;1;90;1.0;1.00;1.00;2.00;1.00;50.0;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;649b01d8
14;Loic Badiashile;fr FRA;GK;Monaco;fr Ligue 1;18;1998;1;0;45;0.5;0.00;0.00;4.00;4.00;150.0;2.00;0.00;0.00;2.00;;2.00;2.00;0.00;0.00;0.0;Matches;34e38ddf
15;Diego Barrios;es ESP;GK;Leganés;es La Liga;22;1994;1;0;61;0.7;1.43;1.48;2.86;1.43;50.0;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;ca8ea008
16;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;26;1990;34;34;3060;34.0;1.09;1.09;4.41;3.32;76.0;0.47;0.41;0.12;0.35;35.3;0.09;0.03;0.03;0.03;50.0;Matches;47064058
17;Asmir Begovi?;ba BIH;GK;Chelsea;eng Premier League;29;1987;2;2;180;2.0;2.50;2.50;3.00;0.50;16.7;0.50;0.00;0.50;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;7b4de647
18;Diego Benaglio;ch SUI;GK;Wolfsburg;de Bundesliga;32;1983;14;14;1260;14.0;1.57;1.57;4.50;2.93;68.3;0.36;0.07;0.57;0.21;21.4;0.29;0.14;0.07;0.07;33.3;Matches;b7e7937d
19;Walter Benítez;ar ARG;GK;Nice;fr Ligue 1;23;1993;3;2;215;2.4;0.42;0.42;2.50;2.08;83.3;0.00;0.83;0.00;0.42;50.0;0.00;0.00;0.00;0.00;;Matches;8a2248b4
20;Etrit Berisha;al ALB;GK;Atalanta;it Serie A;27;1989;26;26;2340;26.0;1.00;1.00;2.96;1.96;70.1;0.58;0.27;0.15;0.42;42.3;0.12;0.12;0.00;0.00;0.0;Matches;ee833569
21;Albano Bizzarri;ar ARG;GK;Pescara;it Serie A;38;1977;29;29;2610;29.0;2.34;2.34;5.83;3.48;62.7;0.03;0.21;0.76;0.07;6.9;0.17;0.17;0.00;0.00;0.0;Matches;32b9b5fa
22;Rubén Blanco;es ESP;GK;Celta Vigo;es La Liga;21;1995;11;11;990;11.0;1.36;1.36;3.64;2.73;75.0;0.45;0.27;0.27;0.18;18.2;0.45;0.45;0.00;0.00;0.0;Matches;967f34d3
23;Artur Boruc;pl POL;GK;Bournemouth;eng Premier League;36;1980;35;35;3150;35.0;1.80;1.80;5.03;3.23;65.3;0.31;0.26;0.43;0.26;25.7;0.11;0.06;0.06;0.00;50.0;Matches;34ccf6fa
24;Denys Boyko;ua UKR;GK;Málaga;es La Liga;28;1988;3;3;270;3.0;2.33;2.33;3.33;1.00;30.0;0.00;0.67;0.33;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;1e064bfb
25;Claudio Bravo;cl CHI;GK;Manchester City;eng Premier League;33;1983;22;22;1968;21.9;1.19;1.19;2.74;1.55;56.7;0.55;0.23;0.23;0.23;22.7;0.05;0.00;0.05;0.00;100.0;Matches;10072610
26;Claudio Bravo;cl CHI;GK;Barcelona;es La Liga;33;1983;1;1;90;1.0;2.00;2.00;2.00;0.00;0.0;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;10072610
27;Alberto Brignoli;it ITA;GK;Leganés;es La Liga;24;1991;1;0;60;0.7;4.29;4.50;4.29;0.00;0.0;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;6989550f
28;Gianluigi Buffon;it ITA;GK;Juventus;it Serie A;38;1978;30;30;2655;29.5;0.81;0.81;3.08;2.27;74.7;0.75;0.10;0.17;0.41;40.0;0.03;0.03;0.00;0.00;0.0;Matches;e40d028b
29;Roman Bürki;ch SUI;GK;Dortmund;de Bundesliga;25;1990;27;27;2430;27.0;1.07;1.07;3.59;2.52;72.2;0.59;0.22;0.19;0.33;33.3;0.07;0.07;0.00;0.00;0.0;Matches;9d12e142
30;Jack Butland;eng ENG;GK;Stoke City;eng Premier League;23;1993;5;5;450;5.0;1.60;1.60;4.80;3.20;66.7;0.20;0.40;0.40;0.40;40.0;0.00;0.00;0.00;0.00;;Matches;cc70a1d5
31;Willy Caballero;ar ARG;GK;Manchester City;eng Premier League;34;1981;17;16;1452;16.1;0.81;0.81;2.80;1.99;75.6;0.68;0.25;0.06;0.37;37.5;0.25;0.12;0.00;0.12;0.0;Matches;a179d516
32;Rafael Cabral;br BRA;GK;Napoli;it Serie A;26;1990;1;1;90;1.0;0.00;0.00;1.00;1.00;100.0;0.00;1.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;806f7a26
33;Yoan Cardinale;fr FRA;GK;Nice;fr Ligue 1;22;1994;36;36;3205;35.6;0.98;0.98;4.33;3.34;79.9;0.62;0.28;0.11;0.31;30.6;0.11;0.11;0.00;0.00;0.0;Matches;950ff24d
34;Cédric Carrasso;fr FRA;GK;Bordeaux;fr Ligue 1;34;1981;24;24;2160;24.0;0.92;0.92;2.96;2.04;73.2;0.42;0.38;0.21;0.38;37.5;0.13;0.13;0.00;0.00;0.0;Matches;17f5a888
35;Kiko Casilla;es ESP;GK;Real Madrid;es La Liga;29;1986;11;11;990;11.0;0.91;0.91;2.73;2.00;70.0;0.82;0.18;0.00;0.45;45.5;0.18;0.09;0.09;0.00;50.0;Matches;58bc7d18
36;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;24;1992;20;20;1800;20.0;1.50;1.50;4.60;3.10;67.4;0.25;0.30;0.45;0.40;40.0;0.05;0.00;0.00;0.05;;Matches;db401046
37;Joel Castro Pereira;pt POR;GK;Manchester Utd;eng Premier League;20;1996;1;1;90;1.0;0.00;0.00;3.00;3.00;100.0;1.00;0.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;881e5db7
38;Petr ?ech;cz CZE;GK;Arsenal;eng Premier League;34;1982;35;35;3097;34.4;1.08;1.08;4.36;3.28;81.3;0.64;0.15;0.20;0.35;34.3;0.26;0.26;0.00;0.00;0.0;Matches;71672fa0
39;Nereo Champagne;ar ARG;GK;Leganés;es La Liga;31;1985;4;4;360;4.0;1.00;1.00;4.00;3.00;75.0;0.00;0.75;0.25;0.25;25.0;0.00;0.00;0.00;0.00;;Matches;7a9fae62
40;Paul Charruau;fr FRA;GK;Bastia;fr Ligue 1;23;1993;1;0;42;0.5;2.00;2.14;4.00;2.00;50.0;0.00;0.00;2.00;0.00;;0.00;0.00;0.00;0.00;;Matches;2511c7aa
41;Sergei Chernik;by BLR;GK;Nancy;fr Ligue 1;28;1988;17;15;1377;15.3;1.37;1.37;4.38;3.01;73.1;0.20;0.20;0.59;0.33;33.3;0.20;0.20;0.00;0.00;0.0;Matches;a66ec2d0
42;Jasper Cillessen;nl NED;GK;Barcelona;es La Liga;27;1989;1;1;90;1.0;2.00;2.00;4.00;2.00;50.0;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;04ac8285
43;Fabio Coltorti;ch SUI;GK;RB Leipzig;de Bundesliga;35;1980;1;1;90;1.0;0.00;0.00;2.00;2.00;100.0;1.00;0.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;6695cec2
44;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;29;1987;37;37;3330;37.0;1.51;1.51;5.16;3.65;73.3;0.38;0.19;0.43;0.19;18.9;0.22;0.14;0.05;0.03;28.6;Matches;8cabdc1e
45;Alex Cordaz;it ITA;GK;Crotone;it Serie A;33;1983;36;36;3236;36.0;1.50;1.50;5.64;4.14;76.4;0.25;0.19;0.56;0.11;11.1;0.25;0.17;0.06;0.03;25.0;Matches;e66ebabb
46;Angelo da Costa Júnior;br BRA;GK;Bologna;it Serie A;32;1983;18;17;1541;17.1;1.52;1.52;5.15;3.63;73.9;0.23;0.23;0.53;0.06;5.9;0.18;0.18;0.00;0.00;0.0;Matches;18736214
47;Benoît Costil;fr FRA;GK;Rennes;fr Ligue 1;29;1987;38;38;3420;38.0;1.11;1.11;3.76;2.66;71.3;0.32;0.37;0.32;0.32;31.6;0.11;0.03;0.03;0.05;50.0;Matches;2434f24a
48;Thibaut Courtois;be BEL;GK;Chelsea;eng Premier League;24;1992;36;36;3240;36.0;0.78;0.78;2.75;1.97;73.7;0.81;0.08;0.11;0.44;44.4;0.06;0.06;0.00;0.00;0.0;Matches;1840e36d
49;Luca Crosta;it ITA;GK;Cagliari;it Serie A;18;1998;1;1;90;1.0;1.00;1.00;7.00;6.00;100.0;1.00;0.00;0.00;0.00;0.0;2.00;1.00;1.00;0.00;50.0;Matches;a4ec7d09
50;Iván Cuéllar;es ESP;GK;Sporting Gijón;es La Liga;32;1984;36;36;3240;36.0;1.92;1.92;5.11;3.42;65.8;0.17;0.28;0.56;0.19;19.4;0.22;0.17;0.06;0.00;25.0;Matches;75751c99
51;Morgan De Sanctis;it ITA;GK;Monaco;fr Ligue 1;39;1977;1;1;90;1.0;1.00;1.00;3.00;2.00;66.7;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;83228343
52;Paul Delecroix;gw GNB;GK;Lorient;fr Ligue 1;27;1988;7;7;630;7.0;2.57;2.57;5.57;3.00;59.0;0.29;0.29;0.43;0.00;0.0;0.29;0.29;0.00;0.00;0.0;Matches;2ee1b96b
53;Thomas Didillon;fr FRA;GK;Metz;fr Ligue 1;20;1995;32;32;2880;32.0;2.00;2.00;6.00;4.00;69.3;0.28;0.25;0.47;0.28;28.1;0.19;0.16;0.03;0.00;16.7;Matches;a3d524cb
54;Jaume Doménech;es ESP;GK;Valencia;es La Liga;25;1990;3;3;270;3.0;1.33;1.33;4.33;3.00;69.2;0.67;0.00;0.33;0.33;33.3;0.00;0.00;0.00;0.00;;Matches;c9cb972b
55;Gianluigi Donnarumma;it ITA;GK;Milan;it Serie A;17;1999;38;38;3420;38.0;1.18;1.18;4.97;3.79;78.8;0.47;0.24;0.29;0.32;31.6;0.26;0.13;0.05;0.08;28.6;Matches;08f5afaa
56;Bart?omiej Dr?gowski;pl POL;GK;Fiorentina;it Serie A;18;1997;1;1;90;1.0;2.00;2.00;6.00;4.00;66.7;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;085e71a7
57;Matthieu Dreyer;fr FRA;GK;Caen;fr Ligue 1;27;1989;2;2;180;2.0;1.00;1.00;5.50;4.50;90.9;0.50;0.00;0.50;0.50;50.0;0.50;0.50;0.00;0.00;0.0;Matches;fbf83734
58;Jaroslav Drobný;cz CZE;GK;Werder Bremen;de Bundesliga;36;1979;10;10;849;9.4;1.60;1.59;4.79;3.19;71.1;0.32;0.43;0.21;0.11;10.0;0.21;0.21;0.00;0.00;0.0;Matches;e4a30d8c
59;Maxime Dupé;fr FRA;GK;Nantes;fr Ligue 1;23;1993;16;16;1440;16.0;1.25;1.25;3.94;2.69;73.0;0.50;0.19;0.31;0.31;31.3;0.19;0.19;0.00;0.00;0.0;Matches;0e12089d
60;Vincent Enyeama;ng NGA;GK;Lille;fr Ligue 1;33;1982;32;32;2854;31.7;1.26;1.26;3.94;2.68;71.2;0.32;0.22;0.47;0.25;25.0;0.19;0.13;0.03;0.03;20.0;Matches;62156b6a
61;Michael Esser;de GER;GK;Darmstadt 98;de Bundesliga;28;1987;28;28;2484;27.6;1.81;1.81;5.22;3.41;68.8;0.22;0.11;0.69;0.11;10.7;0.25;0.18;0.04;0.04;16.7;Matches;83e0eeb4
62;?ukasz Fabia?ski;pl POL;GK;Swansea City;eng Premier League;31;1985;37;37;3330;37.0;1.86;1.86;4.70;2.84;63.8;0.30;0.14;0.57;0.22;21.6;0.22;0.16;0.03;0.03;14.3;Matches;9328b835
