;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
63;Ralf Fährmann;de GER;GK;Schalke 04;de Bundesliga;27;1988;34;34;3060;34.0;1.18;1.18;3.47;2.29;71.2;0.32;0.29;0.38;0.24;23.5;0.29;0.18;0.12;0.00;40.0;Matches;1e43fad8
64;Adam Federici;au AUS;GK;Bournemouth;eng Premier League;31;1985;2;2;180;2.0;1.50;1.50;4.00;2.50;62.5;0.50;0.00;0.50;0.50;50.0;0.50;0.00;0.00;0.50;;Matches;e5ea8be7
65;Álvaro Fernández;es ESP;GK;Osasuna;es La Liga;18;1998;1;0;45;0.5;0.00;0.00;2.00;2.00;100.0;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;f127d782
66;Andrés Fernández;es ESP;GK;Villarreal;es La Liga;29;1986;15;14;1315;14.6;1.23;1.23;4.66;3.70;79.4;0.62;0.07;0.27;0.34;35.7;0.27;0.27;0.00;0.00;0.0;Matches;307fcd26
67;Mario Fernández;es ESP;GK;Osasuna;es La Liga;28;1988;7;7;585;6.5;2.15;2.15;4.46;2.77;55.2;0.00;0.62;0.46;0.15;14.3;0.46;0.15;0.31;0.00;66.7;Matches;02c89cb6
68;Marco Festa;it ITA;GK;Crotone;it Serie A;24;1992;3;2;184;2.0;2.00;1.96;6.50;4.50;69.2;0.00;0.00;1.00;0.00;0.0;0.50;0.00;0.00;0.50;;Matches;c195ae4a
69;Vincenzo Fiorillo;it ITA;GK;Pescara;it Serie A;26;1990;9;9;810;9.0;1.67;1.67;4.67;3.00;66.7;0.11;0.33;0.56;0.11;11.1;0.11;0.11;0.00;0.00;0.0;Matches;a2565f79
70;Fraser Forster;eng ENG;GK;Southampton;eng Premier League;28;1988;38;38;3420;38.0;1.26;1.26;3.42;2.16;67.7;0.32;0.26;0.42;0.37;36.8;0.24;0.16;0.03;0.05;14.3;Matches;c3e39f12
71;Ben Foster;eng ENG;GK;West Brom;eng Premier League;33;1983;38;38;3420;38.0;1.34;1.34;4.21;2.87;70.0;0.32;0.24;0.45;0.16;15.8;0.08;0.08;0.00;0.00;0.0;Matches;d0b3ceb9
72;Andrea Fulignati;it ITA;GK;Palermo;it Serie A;21;1994;9;9;810;9.0;1.56;1.56;4.89;3.33;70.5;0.33;0.22;0.44;0.33;33.3;0.11;0.11;0.00;0.00;0.0;Matches;195f5e38
73;Gabriel;br BRA;GK;Cagliari;it Serie A;23;1992;3;3;270;3.0;1.67;1.67;4.33;2.67;69.2;0.33;0.33;0.33;0.00;0.0;0.33;0.33;0.00;0.00;0.0;Matches;f93ed0df
74;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;25;1990;35;35;3150;35.0;0.83;0.83;2.94;2.11;75.7;0.46;0.40;0.14;0.40;40.0;0.11;0.11;0.00;0.00;0.0;Matches;7ba6d84e
75;Dani Giménez;es ESP;GK;Betis;es La Liga;33;1983;1;1;90;1.0;2.00;2.00;5.00;3.00;60.0;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;7c218bf9
76;Shay Given;ie IRL;GK;Stoke City;eng Premier League;40;1976;5;5;450;5.0;2.80;2.80;6.60;3.80;60.6;0.00;0.20;0.80;0.00;0.0;0.40;0.20;0.20;0.00;50.0;Matches;0db918ff
77;Mauro Goicoechea;uy URU;GK;Toulouse;fr Ligue 1;28;1988;2;2;180;2.0;0.00;0.00;4.00;4.00;100.0;0.00;1.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;132bb875
78;Pierluigi Gollini;it ITA;GK;Atalanta;it Serie A;21;1995;4;4;360;4.0;0.25;0.25;3.00;2.75;91.7;0.75;0.25;0.00;0.75;75.0;0.00;0.00;0.00;0.00;;Matches;f0f7f62f
79;Heurelho Gomes;br BRA;GK;Watford;eng Premier League;35;1981;38;38;3337;37.1;1.73;1.73;4.77;3.05;65.5;0.30;0.19;0.51;0.16;15.8;0.11;0.08;0.03;0.00;25.0;Matches;d596e193
80;Mathieu Gorgelin;fr FRA;GK;Lyon;fr Ligue 1;25;1990;1;1;90;1.0;2.00;2.00;4.00;2.00;50.0;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;4d3e9033
81;Lee Grant;eng ENG;GK;Stoke City;eng Premier League;33;1983;28;28;2520;28.0;1.21;1.21;4.39;3.18;72.4;0.36;0.29;0.36;0.32;32.1;0.00;0.00;0.00;0.00;;Matches;9dab6e3b
82;Théo Guivarch;fr FRA;GK;Guingamp;fr Ligue 1;20;1995;1;0;50;0.6;3.33;3.60;6.67;3.33;75.0;0.00;0.00;1.67;0.00;;1.67;1.67;0.00;0.00;0.0;Matches;abddecab
83;Péter Gulácsi;hu HUN;GK;RB Leipzig;de Bundesliga;26;1990;33;33;2970;33.0;1.18;1.18;3.09;1.91;64.7;0.58;0.21;0.21;0.27;27.3;0.15;0.09;0.06;0.00;40.0;Matches;bcb2ccd8
84;Brad Guzan;us USA;GK;Middlesbrough;eng Premier League;31;1984;10;10;900;10.0;1.70;1.70;5.30;3.60;69.8;0.20;0.30;0.50;0.30;30.0;0.20;0.10;0.00;0.10;0.0;Matches;d899e3bf
85;Samir Handanovi?;si SVN;GK;Inter;it Serie A;32;1984;37;37;3330;37.0;1.27;1.27;4.24;2.97;73.2;0.49;0.14;0.38;0.24;24.3;0.16;0.14;0.03;0.00;16.7;Matches;74419746
86;Martin Hansen;dk DEN;GK;Ingolstadt 04;de Bundesliga;26;1990;23;23;2037;22.6;1.50;1.50;4.34;2.83;70.4;0.35;0.22;0.44;0.13;13.0;0.27;0.22;0.04;0.00;16.7;Matches;aaea3903
87;Joe Hart;eng ENG;GK;Torino;it Serie A;29;1987;36;36;3240;36.0;1.72;1.72;4.61;2.89;66.3;0.33;0.39;0.28;0.14;13.9;0.17;0.17;0.00;0.00;0.0;Matches;cb4f24c6
88;Tom Heaton;eng ENG;GK;Burnley;eng Premier League;30;1986;35;35;3150;35.0;1.37;1.37;5.40;4.03;76.7;0.31;0.20;0.49;0.29;28.6;0.14;0.11;0.03;0.00;20.0;Matches;a6de6361
89;Wayne Hennessey;wls WAL;GK;Crystal Palace;eng Premier League;29;1987;29;29;2610;29.0;1.59;1.59;4.59;3.00;66.9;0.31;0.10;0.59;0.24;24.1;0.07;0.07;0.00;0.00;0.0;Matches;76eca7e2
90;Iago Herrerín;es ESP;GK;Leganés;es La Liga;28;1988;21;21;1825;20.3;1.23;1.23;3.25;2.22;66.7;0.20;0.34;0.49;0.30;28.6;0.20;0.15;0.05;0.00;25.0;Matches;9109185e
91;Daniel Heuer Fernandes;pt POR;GK;Darmstadt 98;de Bundesliga;23;1992;7;6;576;6.4;2.03;2.03;6.72;4.69;72.1;0.16;0.16;0.63;0.00;0.0;0.16;0.16;0.00;0.00;0.0;Matches;0c1f8f71
92;Marwin Hitz;ch SUI;GK;Augsburg;de Bundesliga;28;1987;32;32;2880;32.0;1.56;1.56;5.06;3.50;71.6;0.28;0.28;0.44;0.22;21.9;0.16;0.13;0.00;0.03;0.0;Matches;2e7ff968
93;Timo Horn;de GER;GK;Köln;de Bundesliga;23;1993;20;20;1800;20.0;1.20;1.20;4.55;3.35;76.9;0.45;0.30;0.25;0.30;30.0;0.15;0.15;0.00;0.00;0.0;Matches;3cd9e95a
94;Lukáš Hrádecký;fi FIN;GK;Eint Frankfurt;de Bundesliga;26;1989;33;33;2883;32.0;1.25;1.25;3.47;2.22;66.7;0.31;0.28;0.41;0.31;30.3;0.13;0.09;0.00;0.03;0.0;Matches;ad3389d5
95;Jannik Huth;de GER;GK;Mainz 05;de Bundesliga;22;1994;7;7;630;7.0;1.29;1.29;3.71;2.43;65.4;0.29;0.29;0.43;0.29;28.6;0.00;0.00;0.00;0.00;;Matches;e8fd2e5b
96;Gorka Iraizoz;es ESP;GK;Athletic Club;es La Liga;35;1981;16;15;1404;15.6;1.35;1.35;3.65;2.50;64.9;0.32;0.19;0.45;0.19;20.0;0.19;0.06;0.13;0.00;66.7;Matches;26f2473f
97;Eldin Jakupovi?;ch SUI;GK;Hull City;eng Premier League;31;1984;22;22;1980;22.0;1.64;1.64;4.86;3.23;70.1;0.36;0.18;0.45;0.23;22.7;0.32;0.18;0.09;0.05;33.3;Matches;1148323a
98;Rune Jarstein;no NOR;GK;Hertha BSC;de Bundesliga;31;1984;34;34;3060;34.0;1.38;1.38;4.41;3.03;71.3;0.44;0.12;0.44;0.32;32.4;0.15;0.12;0.03;0.00;20.0;Matches;27d2618c
99;Karl-Johan Johnsson;se SWE;GK;Guingamp;fr Ligue 1;26;1990;37;37;3280;36.4;1.40;1.40;4.20;2.80;70.6;0.36;0.22;0.41;0.22;21.6;0.27;0.16;0.05;0.05;25.0;Matches;a56bd2ee
100;Geoffrey Jourdren;fr FRA;GK;Montpellier;fr Ligue 1;30;1986;13;13;1170;13.0;2.15;2.15;4.92;2.77;60.9;0.23;0.31;0.46;0.08;7.7;0.23;0.23;0.00;0.00;0.0;Matches;aaa7b6bf
101;Carlos Kameni;cm CMR;GK;Málaga;es La Liga;32;1984;35;35;3150;35.0;1.37;1.37;3.80;2.63;68.4;0.34;0.23;0.43;0.23;22.9;0.20;0.17;0.03;0.00;14.3;Matches;867c7fb3
102;Loris Karius;de GER;GK;Liverpool;eng Premier League;23;1993;10;10;900;10.0;1.20;1.20;3.20;2.00;65.6;0.60;0.30;0.10;0.30;30.0;0.10;0.10;0.00;0.00;0.0;Matches;32e7ce92
103;Orestis Karnezis;gr GRE;GK;Udinese;it Serie A;31;1985;33;33;2958;32.9;1.37;1.37;3.92;2.55;70.5;0.33;0.21;0.46;0.21;21.2;0.24;0.21;0.00;0.03;0.0;Matches;85b011bb
104;Eiji Kawashima;jp JPN;GK;Metz;fr Ligue 1;33;1983;5;5;450;5.0;1.20;1.20;4.60;3.40;73.9;0.40;0.20;0.40;0.20;20.0;0.20;0.00;0.20;0.00;100.0;Matches;a4527d33
105;Thomas Kessler;de GER;GK;Köln;de Bundesliga;30;1986;13;13;1170;13.0;1.38;1.38;4.92;3.54;73.4;0.23;0.46;0.31;0.23;23.1;0.08;0.08;0.00;0.00;0.0;Matches;3967d651
106;Alban Lafont;fr FRA;GK;Toulouse;fr Ligue 1;17;1999;36;36;3240;36.0;1.14;1.14;4.39;3.25;79.1;0.28;0.33;0.39;0.28;27.8;0.25;0.22;0.03;0.00;11.1;Matches;4e7db402
107;Eugenio Lamanna;it ITA;GK;Genoa;it Serie A;26;1989;21;20;1883;20.9;1.77;1.77;4.55;2.78;62.1;0.24;0.19;0.57;0.10;10.0;0.14;0.05;0.05;0.05;50.0;Matches;349601c3
108;Jean-Louis Leca;fr FRA;GK;Bastia;fr Ligue 1;30;1985;34;34;3017;33.5;1.28;1.28;4.30;3.01;72.9;0.24;0.27;0.48;0.24;23.5;0.24;0.12;0.09;0.03;42.9;Matches;edbe46dc
109;Benjamin Lecomte;fr FRA;GK;Lorient;fr Ligue 1;25;1991;31;31;2790;31.0;1.68;1.68;5.23;3.55;69.1;0.26;0.13;0.61;0.13;12.9;0.13;0.06;0.03;0.03;33.3;Matches;2fa2a875
110;Bernd Leno;de GER;GK;Leverkusen;de Bundesliga;24;1992;34;34;3060;34.0;1.62;1.62;4.71;3.09;67.5;0.32;0.24;0.44;0.18;17.6;0.09;0.09;0.00;0.00;0.0;Matches;2628fd2b
111;Benjamin Leroy;fr FRA;GK;Dijon;fr Ligue 1;27;1989;1;1;90;1.0;0.00;0.00;2.00;2.00;100.0;0.00;1.00;0.00;1.00;100.0;1.00;0.00;0.00;1.00;;Matches;1e7aea56
112;Alexandre Letellier;fr FRA;GK;Angers;fr Ligue 1;25;1990;6;6;540;6.0;1.50;1.50;4.33;2.83;65.4;0.17;0.17;0.67;0.17;16.7;0.00;0.00;0.00;0.00;;Matches;96fcd380
113;Luca Lezzerini;it ITA;GK;Fiorentina;it Serie A;21;1995;1;0;51;0.6;0.00;0.00;3.33;3.33;100.0;1.67;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;c9c32262
114;Heinz Lindner;at AUT;GK;Eint Frankfurt;de Bundesliga;26;1990;2;1;175;1.9;1.58;1.54;4.74;3.16;66.7;0.53;0.00;0.53;0.53;100.0;0.00;0.00;0.00;0.00;;Matches;0bfaa3b2
