;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
397;Leandro Cabrera;uy URU;DF;Crotone;it Serie A;26;1991;4.1;18.5;28.0;66.1;443.7;263.4;3.41;3.90;87.5;11.2;15.9;70.8;3.90;7.80;50.0;0.00;0.02;0.00;-0.02;0.24;2.20;0.24;0.00;2.44;Matches;69cbc8b6
398;Leandro Cabrera;uy URU;DF;Getafe;es La Liga;26;1991;8.0;18.9;37.1;50.8;408.6;246.3;6.88;9.00;76.4;7.50;13.1;57.1;4.25;13.1;32.4;0.00;0.04;0.03;-0.04;0.25;3.63;0.88;0.38;4.00;Matches;69cbc8b6
399;Fabrizio Cacciatore;it ITA;DF;Chievo;it Serie A;30;1986;31.9;47.4;62.7;75.6;821.4;345.1;22.2;25.2;87.9;19.4;24.4;79.4;4.95;10.3;48.0;0.06;0.09;0.12;-0.03;1.10;3.61;1.91;0.82;4.80;Matches;00b0bb87
400;Martín Cáceres;uy URU;DF;Hellas Verona;it Serie A;30;1987;12.9;31.3;43.6;71.9;569.5;272.7;13.5;17.1;79.1;13.4;17.4;77.2;3.64;7.21;50.5;0.08;0.02;0.02;0.05;0.31;2.64;0.31;0.08;3.72;Matches;e94d79e3
401;Martín Cáceres;uy URU;DF;Lazio;it Serie A;30;1987;4.9;39.0;48.0;81.3;750.6;262.2;16.5;19.2;86.2;15.9;18.2;87.6;6.33;8.37;75.6;0.00;0.10;0.10;-0.10;1.02;4.49;0.82;0.61;4.08;Matches;e94d79e3
402;Cafú;pt POR;MF;Metz;fr Ligue 1;24;1993;7.6;30.5;38.0;80.3;579.2;151.7;10.8;13.2;82.0;15.0;18.2;82.6;4.21;5.39;78.0;0.00;0.03;0.01;-0.03;0.66;4.74;0.13;0.00;4.08;Matches;85322440
403;Jonathan Cafu;br BRA;FWMF;Bordeaux;fr Ligue 1;26;1991;7.0;35.1;45.1;77.8;457.3;98.7;22.0;24.6;89.5;8.57;11.7;73.2;1.71;2.57;66.7;0.14;0.13;0.10;0.01;1.86;2.00;0.86;0.00;2.29;Matches;8d043f1d
404;Gary Cahill;eng ENG;DF;Chelsea;eng Premier League;31;1985;23.2;51.5;58.1;88.6;915.6;348.6;19.7;21.2;93.1;26.5;29.0;91.4;3.92;5.73;68.4;0.00;0.00;0.01;-0.00;0.13;3.06;0.04;0.00;2.97;Matches;7914b9fe
405;Yannick Cahuzac;fr FRA;MF;Toulouse;fr Ligue 1;32;1985;16.9;27.6;33.6;82.2;479.9;154.7;12.8;15.1;85.1;11.4;13.2;86.5;2.78;3.96;70.1;0.00;0.02;0.03;-0.02;0.24;2.72;0.06;0.06;2.78;Matches;677ee102
406;Felipe Caicedo;ec ECU;FWMF;Lazio;it Serie A;28;1988;8.0;17.5;22.9;76.5;198.0;50.1;11.0;13.6;80.7;4.25;5.38;79.1;0.25;0.63;40.0;0.25;0.10;0.13;0.15;1.00;1.63;0.50;0.00;1.75;Matches;93b891d1
407;Caiuby;br BRA;FW;Augsburg;de Bundesliga;29;1988;31.7;22.1;33.8;65.3;324.4;100.4;11.8;16.5;71.8;5.74;8.86;64.8;2.11;3.41;62.0;0.22;0.13;0.10;0.09;1.01;2.15;0.91;0.57;2.65;Matches;c6637acf
408;Cala;es ESP;DF;Getafe;es La Liga;27;1989;20.0;20.7;32.8;63.2;587.6;248.9;3.80;5.00;76.0;8.40;12.2;69.1;8.15;14.8;54.9;0.10;0.03;0.04;0.07;0.30;2.20;0.00;0.00;2.10;Matches;fe05804b
409;Davide Calabria;it ITA;DF;Milan;it Serie A;20;1996;17.4;52.3;67.0;78.1;924.8;347.6;22.9;25.3;90.7;24.0;29.0;82.7;4.94;10.1;49.1;0.11;0.13;0.09;-0.02;0.98;4.48;1.09;0.57;5.75;Matches;2146785a
410;Mattia Caldara;it ITA;DF;Atalanta;it Serie A;23;1994;24.0;35.9;42.8;84.0;780.9;221.9;8.75;10.8;80.8;19.9;22.3;89.5;6.67;8.33;80.0;0.04;0.00;0.01;0.04;0.08;1.04;0.04;0.00;1.75;Matches;ac7e640b
411;Carlos Calderón;es ESP;MF;Getafe;es La Liga;22;1995;0.0;2;2;100.0;7;0;1;1;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matches;4e2c27bb
412;Luca Caldirola;it ITA;DF;Werder Bremen;de Bundesliga;26;1991;1.0;21.0;30.0;70.0;496.0;102.0;3.00;3.00;100.0;13.0;15.0;86.7;5.00;11.0;45.5;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;Matches;226008f1
413;Hakan Çalhano?lu;tr TUR;FWMF;Milan;it Serie A;23;1994;24.1;42.9;57.0;75.3;795.7;189.6;19.8;22.9;86.4;15.7;19.4;81.0;6.22;11.3;55.1;0.25;0.29;0.22;-0.05;2.95;3.94;1.91;0.46;5.35;Matches;cd0fa27b
414;Fabrizio Caligara;it ITA;MF;Cagliari;it Serie A;17;2000;0.2;20.0;25.0;80.0;305.0;0.00;10.0;10.0;100.0;10.0;10.0;100.0;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;22ca11f1
415;Daniel Caligiuri;it ITA;DFMF;Schalke 04;de Bundesliga;29;1988;32.4;38.9;55.6;70.0;713.0;310.2;16.6;19.7;84.6;17.4;23.7;73.3;4.41;10.2;43.3;0.31;0.17;0.13;0.14;1.48;2.78;0.65;0.34;4.41;Matches;d1273f09
416;José Callejón;es ESP;FW;Napoli;it Serie A;30;1987;36.0;35.6;46.6;76.4;520.6;97.6;21.1;24.0;87.7;9.39;12.2;77.2;3.06;6.44;47.4;0.25;0.20;0.17;0.05;2.06;1.92;1.08;0.25;3.00;Matches;78841da9
417;Jonathan Calleri;ar ARG;FW;Las Palmas;es La Liga;23;1993;34.5;13.4;21.7;62.0;190.8;39.4;7.51;10.8;69.8;3.68;6.00;61.4;0.90;2.12;42.5;0.09;0.08;0.08;0.01;0.78;0.93;0.43;0.03;1.86;Matches;6922f806
418;Simone Calvano;it ITA;MF;Hellas Verona;it Serie A;24;1993;7.2;25.8;34.0;75.9;430.3;129.4;13.8;16.3;84.6;9.17;12.1;75.9;2.22;4.31;51.6;0.00;0.07;0.01;-0.07;0.28;2.78;0.14;0.14;3.19;Matches;9dabfcf5
419;Dominic Calvert-Lewin;eng ENG;FW;Everton;eng Premier League;20;1997;20.9;14.9;24.8;59.9;178.4;43.1;9.47;14.4;65.6;3.01;5.36;56.3;0.53;1.15;45.8;0.29;0.12;0.06;0.16;0.96;0.62;0.57;0.29;1.29;Matches;59e6e5bf
420;Ignacio Camacho;es ESP;MFDF;Wolfsburg;de Bundesliga;27;1990;10.6;37.7;49.7;75.9;745.0;326.8;13.7;16.6;82.4;17.6;21.8;81.0;5.66;9.25;61.2;0.00;0.05;0.04;-0.05;0.38;3.11;0.28;0.00;4.43;Matches;8ed9b33a
421;Abdoul Camara;gn GUI;FWMF;Guingamp;fr Ligue 1;27;1990;9.9;22.5;31.2;72.2;299.3;68.9;14.2;16.8;84.9;5.86;8.18;71.6;0.81;2.73;29.6;0.10;0.08;0.11;0.02;1.01;0.71;0.91;0.40;2.42;Matches;7296190
422;Souleymane Camara;sn SEN;FW;Montpellier;fr Ligue 1;34;1982;10.4;16.4;25.6;64.3;235.7;47.1;9.52;11.9;79.8;4.71;7.88;59.8;1.15;2.02;57.1;0.19;0.09;0.06;0.11;1.06;1.15;0.48;0.00;2.02;Matches;c58270f8
423;Víctor Camarasa;es ESP;MF;Betis;es La Liga;23;1994;13.9;39.5;45.8;86.2;661.2;124.9;19.5;21.9;89.1;15.0;16.4;91.7;3.67;4.68;78.5;0.00;0.11;0.08;-0.11;1.01;4.24;0.29;0.14;4.89;Matches;b2d03887
424;Geoff Cameron;us USA;DFMF;Stoke City;eng Premier League;32;1985;16.9;23.9;34.4;69.5;435.6;192.7;9.82;11.3;86.9;11.1;14.4;76.6;2.60;7.10;36.7;0.00;0.01;0.02;-0.01;0.36;2.31;0.18;0.00;2.84;Matches;1a160ea3
425;José Campaña;es ESP;MF;Levante;es La Liga;24;1993;30.4;44.5;55.7;79.9;785.5;260.0;21.2;24.1;87.6;16.8;19.9;84.5;5.20;8.52;61.0;0.13;0.15;0.09;-0.02;1.61;5.16;1.12;0.26;7.63;Matches;61220da2
426;Joel Campbell;cr CRC;MFFW;Betis;es La Liga;25;1992;2.4;33.3;39.2;85.1;479.6;135.8;21.7;22.9;94.5;8.75;10.8;80.8;2.08;4.17;50.0;0.42;0.21;0.08;0.21;2.08;2.08;2.08;0.00;6.67;Matches;895ff3ca
427;Tyrese Campbell;eng ENG;FW;Stoke City;eng Premier League;17;1999;0.9;11.1;22.2;50.0;143.3;52.2;6.67;13.3;50.0;4.44;6.67;66.7;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;1.11;3.33;0.00;4.44;Matches;38aefb74
428;Emre Can;de GER;MF;Liverpool;eng Premier League;23;1994;23.2;57.7;67.7;85.2;995.6;235.9;25.9;28.5;90.6;25.5;28.8;88.5;5.04;7.72;65.4;0.17;0.13;0.10;0.04;1.08;5.86;0.99;0.09;5.91;Matches;a65ce836
429;Sergio Canales;es ESP;MFFW;Real Sociedad;es La Liga;26;1991;21.4;49.1;62.3;78.7;820.0;208.0;25.5;27.9;91.3;15.6;19.3;80.8;6.03;11.0;54.9;0.23;0.28;0.28;-0.05;2.66;4.63;1.87;0.47;6.45;Matches;a6de370d
430;João Cancelo;pt POR;DF;Inter;it Serie A;23;1994;20.6;60.9;79.0;77.1;988.8;366.4;32.0;34.8;91.9;22.0;28.9;76.1;5.34;11.5;46.6;0.10;0.20;0.19;-0.10;1.65;3.98;1.80;0.73;6.26;Matches;bd6351cd
431;João Cancelo;pt POR;MF;Valencia;es La Liga;23;1994;1.0;28.0;47.0;59.6;397.0;146.0;20.0;28.0;71.4;4.00;9.00;44.4;3.00;5.00;60.0;0.00;0.40;0.50;-0.40;5.00;3.00;3.00;0.00;6.00;Matches;bd6351cd
432;Antonio Candreva;it ITA;FW;Inter;it Serie A;30;1987;28.2;41.6;58.1;71.6;661.4;175.7;24.5;27.4;89.3;11.2;16.9;66.6;4.40;9.01;48.8;0.25;0.28;0.25;-0.03;2.52;2.20;2.23;0.99;4.26;Matches;356c9002
433;Paolo Cannavaro;it ITA;DF;Sassuolo;it Serie A;36;1981;16.0;27.1;34.9;77.8;563.6;252.4;9.06;10.3;87.9;14.1;15.9;89.0;3.81;8.19;46.6;0.00;0.01;0.01;-0.01;0.19;2.31;0.06;0.00;3.06;Matches;46ed55b6
434;Ander Capa;es ESP;DF;Eibar;es La Liga;25;1992;25.0;42.5;59.7;71.2;756.2;316.5;20.5;24.2;84.9;16.3;21.7;75.1;4.92;10.0;49.0;0.04;0.06;0.08;-0.02;0.56;3.80;1.04;0.56;5.72;Matches;37f1cf47
435;Pierrick Capelle;fr FRA;MF;Angers;fr Ligue 1;30;1987;20.9;30.1;39.6;76.0;470.1;149.6;16.4;18.9;86.6;10.4;13.7;76.0;2.11;3.73;56.4;0.05;0.10;0.10;-0.05;1.44;2.54;0.77;0.14;4.26;Matches;79b2399c
436;Leonardo Capezzi;it ITA;MF;Sampdoria;it Serie A;22;1995;2.4;46.7;62.9;74.2;719.2;340.8;25.4;27.5;92.4;15.8;21.7;73.1;3.75;12.1;31.0;0.42;0.29;0.33;0.13;4.17;6.67;1.25;0.00;8.33;Matches;07ea0ef2
437;Étienne Capoue;fr FRA;MF;Watford;eng Premier League;29;1988;17.1;42.3;51.6;81.9;752.4;197.7;20.0;22.8;87.7;15.8;18.7;84.7;5.32;7.89;67.4;0.00;0.04;0.07;-0.04;0.47;4.39;0.53;0.06;4.33;Matches;5acc4a10
438;Elio Capradossi;it ITA;DF;Roma;it Serie A;21;1996;0.9;45.6;52.2;87.2;823.3;246.7;20.0;22.2;90.0;20.0;21.1;94.7;4.44;6.67;66.7;0.00;0.00;0.00;0.00;0.00;3.33;0.00;0.00;3.33;Matches;174944a3
439;Gianluca Caprari;it ITA;FWMF;Sampdoria;it Serie A;24;1993;20.1;25.6;34.7;73.8;362.8;93.7;14.9;17.7;84.3;7.96;11.0;72.4;1.24;3.08;40.3;0.15;0.17;0.15;-0.02;1.84;1.49;1.69;0.10;3.78;Matches;54e53b7e
440;Marco Capuano;it ITA;DF;Crotone;it Serie A;25;1991;15.6;31.5;38.8;81.2;583.0;226.9;10.9;12.1;89.9;17.8;19.6;90.8;2.44;6.09;40.0;0.00;0.00;0.01;0.00;0.06;1.67;0.00;0.00;2.37;Matches;616aea37
441;Marco Capuano;it ITA;DF;Cagliari;it Serie A;25;1991;7.7;40.1;51.3;78.2;635.2;290.8;20.4;22.2;91.8;16.9;21.4;78.8;2.21;5.97;37.0;0.00;0.01;0.01;-0.01;0.26;3.25;0.13;0.13;3.90;Matches;616aea37
442;Antonio Caracciolo;it ITA;DF;Hellas Verona;it Serie A;27;1990;31.7;24.8;30.9;80.0;513.5;179.1;7.38;8.14;90.7;13.2;15.0;87.8;3.97;6.88;57.8;0.13;0.03;0.02;0.09;0.13;0.73;0.03;0.00;1.04;Matches;99d8fc35
443;Yoan Cardinale;fr FRA;GK;Nice;fr Ligue 1;23;1994;10.0;23.5;28.3;83.0;644.2;505.9;4.30;4.30;100.0;11.3;11.5;98.3;7.90;12.5;63.2;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.10;Matches;950ff24d
444;Diego Carlos;br BRA;DF;Nantes;fr Ligue 1;24;1993;25.5;26.7;35.4;75.4;534.2;256.5;9.96;11.4;87.3;12.3;14.0;88.0;3.84;8.59;44.7;0.00;0.02;0.03;-0.02;0.31;2.04;0.08;0.04;2.63;Matches;b4a014b1
445;Lionel Carole;fr FRA;DF;Sevilla;es La Liga;26;1991;6.0;49.0;60.0;81.7;786.3;290.5;26.0;29.0;89.7;19.7;22.8;86.1;3.17;6.33;50.0;0.17;0.02;0.03;0.15;0.50;2.83;0.67;0.17;4.00;Matches;5b5724d2
446;Yannick Carrasco;be BEL;MFFW;Atlético Madrid;es La Liga;23;1993;10.0;24.7;33.3;74.2;323.6;76.0;15.4;18.1;85.1;7.00;9.20;76.1;0.70;2.40;29.2;0.40;0.26;0.15;0.14;1.70;1.80;0.70;0.30;2.90;Matches;de39485a
447;Michael Carrick;eng ENG;MF;Manchester Utd;eng Premier League;36;1981;1.2;70.0;82.5;84.8;1335.0;697.5;33.3;34.2;97.6;24.2;24.2;100.0;11.7;20.8;56.0;0.00;0.08;0.17;-0.08;0.83;14.2;0.00;0.00;12.5;Matches;ab7263c1
448;Daniel Carriço;pt POR;DF;Sevilla;es La Liga;28;1988;5.1;42.0;48.8;85.9;836.3;338.2;15.3;16.5;92.9;20.2;22.5;89.6;6.08;8.82;68.9;0.00;0.04;0.02;-0.04;0.39;2.55;0.00;0.00;3.14;Matches;e1deea75
449;André Carrillo;pe PER;FWMF;Watford;eng Premier League;26;1991;17.1;32.8;45.1;72.7;473.2;125.6;19.8;23.2;85.6;8.48;12.9;65.6;2.75;4.50;61.0;0.12;0.16;0.14;-0.05;1.17;2.34;1.40;0.47;4.21;Matches;7527558b
450;Guido Carrillo;ar ARG;FW;Southampton;eng Premier League;26;1991;5.0;16.2;24.8;65.3;187.2;34.2;10.8;14.8;73.0;3.40;5.40;63.0;0.40;0.60;66.7;0.20;0.08;0.10;0.12;0.80;0.60;0.60;0.00;1.60;Matches;8f898ba8
451;Guido Carrillo;ar ARG;FW;Monaco;fr Ligue 1;26;1991;4.7;12.8;20.4;62.5;128.1;16.4;8.72;11.1;78.8;2.13;4.47;47.6;0.00;0.64;0.0;0.00;0.02;0.02;-0.02;0.64;1.06;0.00;0.00;1.28;Matches;8f898ba8
452;Thomas Carrique;fr FRA;DF;Bordeaux;fr Ligue 1;18;1999;1.0;39.0;49.0;79.6;505.0;260.0;29.0;34.0;85.3;8.00;10.0;80.0;1.00;3.00;33.3;0.00;0.00;0.00;0.00;1.00;3.00;1.00;1.00;5.00;Matches;23b6ab66
453;Andy Carroll;eng ENG;FW;West Ham;eng Premier League;28;1989;8.3;19.0;31.6;60.3;330.2;62.5;8.92;13.7;64.9;7.71;12.0;64.0;1.69;3.49;48.3;0.00;0.06;0.04;-0.06;0.84;1.57;0.72;0.36;1.33;Matches;b581987a
454;Tom Carroll;eng ENG;MF;Swansea City;eng Premier League;25;1992;28.6;43.2;55.1;78.3;754.6;254.9;20.1;22.4;89.8;16.5;19.8;83.4;5.14;9.90;51.9;0.14;0.14;0.14;-0.00;1.64;5.63;1.08;0.28;6.26;Matches;5a1900a4
455;Federico Cartabia;ar ARG;FWMF;La Coruña;es La Liga;24;1993;14.7;30.7;40.5;75.7;513.0;128.7;16.0;19.0;83.9;11.0;13.9;78.5;2.86;4.97;57.5;0.07;0.11;0.14;-0.04;1.56;1.97;1.29;0.34;5.31;Matches;a8e6bebf
456;Dani Carvajal;es ESP;DF;Real Madrid;es La Liga;25;1992;24.7;64.6;76.8;84.0;1042.6;289.6;36.0;39.8;90.4;21.8;25.4;85.8;5.34;8.14;65.7;0.08;0.17;0.14;-0.09;1.46;4.41;1.70;0.89;6.07;Matches;4958bfb2
457;Casemiro;br BRA;MF;Real Madrid;es La Liga;25;1992;28.8;53.6;61.2;87.7;991.0;276.9;24.3;26.4;92.4;20.7;23.1;89.3;7.26;9.03;80.4;0.10;0.09;0.08;0.01;0.80;5.38;0.45;0.07;5.03;Matches;4d224fe8
458;Kiko Casilla;es ESP;GK;Real Madrid;es La Liga;30;1986;10.0;21.1;26.8;78.7;598.8;416.8;2.30;2.30;100.0;11.2;11.5;97.4;7.50;12.8;58.6;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;Matches;58bc7d18
459;Francesco Cassata;it ITA;MF;Sassuolo;it Serie A;20;1997;5.1;16.1;25.9;62.1;302.4;95.5;8.24;10.2;80.8;4.71;7.45;63.2;2.75;7.06;38.9;0.00;0.02;0.02;-0.02;0.39;2.16;0.59;0.20;2.75;Matches;96960855
460;Timothy Castagne;be BEL;DF;Atalanta;it Serie A;21;1995;16.7;46.7;58.0;80.6;667.7;213.1;28.0;31.4;89.1;15.4;19.9;77.7;1.86;3.29;56.4;0.06;0.13;0.14;-0.07;0.90;2.63;1.14;0.36;3.47;Matches;197640fd
461;Leandro Castán;br BRA;DF;Cagliari;it Serie A;30;1986;12.7;32.8;42.3;77.7;652.7;237.8;10.5;11.5;91.1;17.8;20.6;86.6;4.09;8.98;45.6;0.08;0.02;0.06;0.06;0.08;2.68;0.24;0.00;3.15;Matches;019f4d0d
462;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;25;1992;34.0;26.1;39.3;66.4;856.1;659.8;2.76;2.79;98.9;11.5;11.7;98.2;11.9;24.6;48.2;0.00;0.00;0.00;0.00;0.03;0.53;0.03;0.00;0.00;Matches;db401046
463;Dani Castellano;es ESP;DF;Las Palmas;es La Liga;29;1987;22.5;36.9;48.0;77.0;544.3;222.0;21.1;23.9;88.3;12.9;17.1;75.6;1.69;3.96;42.7;0.09;0.03;0.03;0.06;0.40;2.31;0.36;0.22;2.44;Matches;21d4e122
464;Javi Castellano;es ESP;MF;Las Palmas;es La Liga;29;1987;17.4;55.8;62.4;89.5;896.1;260.5;29.9;32.6;91.5;20.4;21.8;93.4;4.25;5.34;79.6;0.00;0.01;0.01;-0.01;0.17;2.99;0.06;0.00;3.45;Matches;dac68523
465;Samu Castillejo;es ESP;MFFW;Villarreal;es La Liga;22;1995;23.0;33.2;43.3;76.6;565.5;149.4;16.5;18.9;87.6;12.0;14.7;82.0;3.52;6.78;51.9;0.22;0.19;0.17;0.03;1.87;2.52;1.39;0.35;4.83;Matches;130a7a3f
466;Chory Castro;uy URU;MFFW;Málaga;es La Liga;32;1984;22.9;29.3;44.2;66.3;501.6;171.6;16.1;19.1;84.0;8.17;12.8;63.6;3.84;8.17;47.1;0.09;0.11;0.11;-0.02;1.40;3.23;1.31;0.70;4.37;Matches;8cc3d96e
467;Gonzalo Castro;de GER;MF;Dortmund;de Bundesliga;30;1987;13.4;51.7;62.8;82.3;854.6;230.9;24.3;26.8;90.5;21.6;25.3;85.3;4.25;7.61;55.9;0.15;0.22;0.19;-0.07;2.69;6.57;1.49;0.37;7.24;Matches;68829001
468;Jonny Castro;es ESP;DF;Celta Vigo;es La Liga;23;1994;35.6;49.0;59.4;82.5;787.1;260.6;26.2;29.0;90.4;18.3;22.1;82.9;3.60;5.59;64.3;0.03;0.04;0.08;-0.02;0.62;3.37;0.81;0.22;4.55;Matches;e28868f3
469;Lucas Castro;ar ARG;MF;Chievo;it Serie A;28;1989;22.1;34.7;47.0;73.8;552.4;167.8;17.4;21.6;80.7;12.9;16.4;78.5;2.76;5.61;49.2;0.18;0.12;0.07;0.06;1.18;3.67;1.04;0.27;5.70;Matches;56b2957b
470;Rubén Castro;es ESP;FW;Betis;es La Liga;36;1981;4.0;12.3;14.8;83.1;173.5;33.0;6.50;7.25;89.7;3.25;3.50;92.9;1.00;1.25;80.0;0.25;0.15;0.05;0.10;0.50;0.50;0.00;0.00;1.50;Matches;d109f62b
471;Danilo Cataldi;it ITA;MF;Benevento;it Serie A;22;1994;25.4;44.3;53.9;82.1;752.8;210.4;21.1;23.6;89.5;16.2;18.7;86.7;5.04;8.23;61.2;0.16;0.09;0.08;0.07;1.46;3.86;0.71;0.24;5.31;Matches;ba3d3bea
472;Craig Cathcart;nir NIR;DF;Watford;eng Premier League;28;1989;5.8;24.7;32.1;76.9;535.0;211.2;7.41;8.28;89.6;12.9;15.2;85.2;4.14;7.76;53.3;0.00;0.00;0.00;0.00;0.00;1.38;0.17;0.00;1.90;Matches;89e4b358
473;Edinson Cavani;uy URU;FW;Paris S-G;fr Ligue 1;30;1987;28.7;14.4;18.5;78.0;193.0;33.3;8.99;10.7;84.3;3.52;4.25;82.8;0.77;1.18;64.7;0.21;0.21;0.15;0.00;1.25;0.45;0.80;0.00;1.50;Matches;527f063d
474;Marijan ?avar;ba BIH;MF;Eint Frankfurt;de Bundesliga;19;1998;0.4;17.5;20.0;87.5;190.0;57.5;15.0;17.5;85.7;2.50;2.50;100.0;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.50;Matches;33ec696b
475;Dani Ceballos;es ESP;MF;Real Madrid;es La Liga;20;1996;4.5;78.4;84.4;92.9;1209.6;271.1;43.3;45.6;95.1;22.7;23.8;95.3;8.00;9.33;85.7;0.00;0.04;0.11;-0.04;0.89;7.33;0.44;0.00;8.44;Matches;c0617e2b
476;Federico Ceccherini;it ITA;DF;Crotone;it Serie A;25;1992;35.9;28.5;35.3;80.8;594.2;227.9;7.24;8.38;86.4;17.2;19.3;89.3;3.68;6.69;55.0;0.00;0.02;0.02;-0.02;0.28;1.84;0.17;0.03;2.73;Matches;d9624b51
477;Emanuel Cecchini;ar ARG;MFDF;Málaga;es La Liga;20;1996;0.3;43.3;53.3;81.3;610.0;173.3;36.7;36.7;100.0;0.00;0.00;;6.67;6.67;100.0;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.00;10.0;Matches;5c256395
478;Petr ?ech;cz CZE;GK;Arsenal;eng Premier League;35;1982;33.8;22.2;30.7;72.1;654.0;491.0;2.19;2.22;98.7;11.8;11.8;99.5;8.17;16.4;49.6;0.00;0.00;0.00;0.00;0.00;0.33;0.03;0.00;0.03;Matches;71672fa0
479;Ricardo Centurión;ar ARG;MFFW;Genoa;it Serie A;24;1993;0.6;21.7;35.0;61.9;255.0;111.7;15.0;20.0;75.0;5.00;6.67;75.0;0.00;1.67;0.0;0.00;0.00;0.17;0.00;0.00;0.00;1.67;0.00;5.00;Matches;fac896b0
480;Luca Ceppitelli;it ITA;DF;Cagliari;it Serie A;27;1989;24.7;37.1;47.6;78.0;823.0;406.2;10.8;12.3;87.2;18.0;20.8;86.7;7.98;13.4;59.3;0.00;0.05;0.04;-0.05;0.32;3.89;0.28;0.00;2.96;Matches;7d50454d
481;Fabio Ceravolo;it ITA;FW;Benevento;it Serie A;30;1987;0.6;11.7;18.3;63.6;173.3;10.0;8.33;13.3;62.5;1.67;3.33;50.0;1.67;1.67;100.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;4cc93246
482;Alessio Cerci;it ITA;FW;Hellas Verona;it Serie A;30;1987;18.2;17.3;27.1;63.7;266.7;75.2;9.40;11.9;78.8;5.55;8.85;62.7;1.43;3.68;38.8;0.05;0.23;0.13;-0.17;1.37;0.99;1.04;0.22;2.31;Matches;5370cba7
483;Boštjan Cesar;si SVN;DF;Chievo;it Serie A;35;1982;6.1;32.3;39.2;82.4;667.7;288.4;10.0;10.7;93.8;16.9;20.5;82.4;5.08;7.54;67.4;0.00;0.00;0.00;0.00;0.00;1.64;0.00;0.00;3.28;Matches;c1d18f10
484;Damir Ceter;co COL;FW;Cagliari;it Serie A;19;1997;2.2;16.8;27.3;61.7;249.5;65.0;9.55;13.2;72.4;5.45;10.5;52.2;1.36;2.27;60.0;0.00;0.14;0.09;-0.14;1.82;1.82;0.45;0.00;2.73;Matches;eade5337
485;Nacer Chadli;be BEL;FWMF;West Brom;eng Premier League;27;1989;2.9;18.6;26.6;70.1;212.8;42.1;11.0;13.8;80.0;5.17;7.24;71.4;0.34;1.72;20.0;0.00;0.03;0.03;-0.03;0.69;1.03;0.69;0.00;2.41;Matches;5b54bf3b
486;Fouad Chafik;ma MAR;DF;Dijon;fr Ligue 1;30;1986;17.9;36.5;49.6;73.6;581.2;242.1;19.9;22.6;88.1;12.8;17.6;72.7;2.79;6.82;41.0;0.11;0.10;0.07;0.01;0.84;2.46;1.17;0.67;3.30;Matches;edd1466a
487;Nathaniel Chalobah;eng ENG;MF;Watford;eng Premier League;22;1994;5.0;26.4;36.8;71.7;447.0;167.2;12.2;15.2;80.3;10.2;13.4;76.1;2.40;5.60;42.9;0.00;0.00;0.02;0.00;0.20;3.60;0.20;0.00;4.40;Matches;422862ea
488;Calum Chambers;eng ENG;DF;Arsenal;eng Premier League;22;1995;9.6;54.3;65.6;82.7;1005.1;345.1;21.1;23.8;89.0;26.8;31.0;86.2;5.63;8.75;64.3;0.00;0.01;0.02;-0.01;0.21;3.13;0.63;0.10;4.48;Matches;dc6f5bdd
489;Nereo Champagne;ar ARG;GK;Leganés;es La Liga;32;1985;2.0;16.0;29.0;55.2;712.0;676.5;0.50;0.50;100.0;2.50;2.50;100.0;13.0;25.5;51.0;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;Matches;7a9fae62
490;Timothy Chandler;us USA;DFFW;Eint Frankfurt;de Bundesliga;27;1990;21.0;27.7;43.8;63.3;522.0;234.9;11.5;14.9;77.6;12.3;19.4;63.6;3.52;7.29;48.4;0.19;0.12;0.14;0.07;1.19;2.43;1.43;0.95;3.71;Matches;b3b7f5a6
