;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
152;Ezequiel Ávila;ar ARG;FWMF;Osasuna;es La Liga;26;1994;2.2;14.1;24.5;57.4;261.8;73.6;5.45;9.09;60.0;5.91;8.64;68.4;1.82;3.64;50.0;0.00;0.00;0.05;0.00;0.00;1.36;1.36;0.00;2.73;Matches;253a06b9
153;Taiwo Awoniyi;ng NGA;FW;Union Berlin;de Bundesliga;22;1997;15.1;12.8;19.5;65.8;171.4;30.2;7.95;10.9;73.2;3.58;5.36;66.7;0.66;1.19;55.6;0.13;0.09;0.05;0.05;1.32;0.53;0.13;0.00;1.06;Matches;e5478b87
154;Mehmet Aydin;de GER;DF;Schalke 04;de Bundesliga;18;2002;5.6;24.3;36.4;66.7;360.2;138.4;14.1;17.5;80.6;8.93;13.2;67.6;1.07;3.57;30.0;0.00;0.09;0.09;-0.09;0.18;1.25;0.36;0.00;1.25;Matches;fe46e261
155;Jordan Ayew;gh GHA;FWMF;Crystal Palace;eng Premier League;28;1991;23.3;22.3;28.6;77.8;276.1;52.3;13.9;15.8;87.8;5.84;7.60;76.8;0.56;1.07;52.0;0.13;0.03;0.06;0.10;0.56;0.99;0.52;0.09;1.50;Matches;da052c14
156;Kaan Ayhan;tr TUR;DF;Sassuolo;it Serie A;25;1994;8.8;58.5;64.4;90.8;974.2;274.0;26.6;28.0;95.1;28.5;30.5;93.7;2.95;4.66;63.4;0.00;0.00;0.02;0.00;0.00;5.80;0.23;0.00;4.66;Matches;2200181e
157;Luke Ayling;eng ENG;DF;Leeds United;eng Premier League;28;1991;37.8;57.2;73.3;78.0;1047.5;427.5;24.1;27.2;88.4;25.3;30.4;83.3;6.56;11.9;55.0;0.00;0.08;0.08;-0.08;0.71;4.74;0.85;0.32;5.93;Matches;420d7c7d
158;Ramon Azeez;ng NGA;MF;Granada;es La Liga;27;1992;1.1;26.4;33.6;78.4;331.8;39.1;20.0;23.6;84.6;6.36;10.0;63.6;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;2.73;0.00;0.00;0.91;Matches;0cc474e7
159;César Azpilicueta;es ESP;DF;Chelsea;eng Premier League;30;1989;24.3;73.5;85.6;85.9;1117.4;399.2;38.5;41.6;92.4;30.4;33.8;89.9;2.55;5.51;46.3;0.08;0.10;0.10;-0.02;1.11;5.06;0.91;0.12;5.56;Matches;53cad200
160;Ludovic Baal;gf GUF;DFMF;Brest;fr Ligue 1;34;1986;3.3;64.2;76.7;83.8;1178.8;473.3;25.8;28.8;89.5;28.5;32.1;88.7;8.48;13.0;65.1;0.00;0.12;0.03;-0.12;0.61;8.79;0.30;0.30;7.27;Matches;d3ce9f1f
161;Carlos Bacca;co COL;FW;Villarreal;es La Liga;33;1986;8.7;12.1;19.3;62.5;154.7;36.4;7.13;10.2;69.7;2.64;4.25;62.2;0.69;1.61;42.9;0.00;0.11;0.07;-0.11;0.57;1.03;0.57;0.00;1.61;Matches;09a9e921
