;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
242;Ishak Belfodil;dz ALG;FWMF;Hoffenheim;de Bundesliga;28;1992;6.6;15.8;22.6;69.8;189.2;40.3;9.39;11.4;82.7;3.94;6.36;61.9;0.45;0.76;60.0;0.15;0.14;0.21;0.02;1.06;0.91;0.45;0.00;1.21;Matches;ff182fdc
243;Erwan Belhadji;fr FRA;MF;Dijon;fr Ligue 1;19;2001;0.3;23.3;26.7;87.5;346.7;100.0;16.7;16.7;100.0;6.67;6.67;100.0;0.00;3.33;0.0;0.00;0.00;0.00;0.00;3.33;3.33;0.00;0.00;3.33;Matches;7615f332
244;Haris Belkebla;dz ALG;MF;Brest;fr Ligue 1;26;1994;30.3;40.8;46.9;87.1;734.5;214.7;17.1;18.7;91.4;18.8;20.8;90.3;4.16;5.38;77.3;0.00;0.03;0.04;-0.03;0.36;3.76;0.30;0.00;4.19;Matches;2b1bed19
245;Stefan Bell;de GER;DF;Mainz 05;de Bundesliga;28;1991;14.1;31.1;42.1;73.7;566.4;247.4;11.8;14.7;80.7;16.0;19.4;82.4;2.98;6.95;42.9;0.07;0.06;0.05;0.01;0.21;1.21;0.21;0.00;1.77;Matches;857a5abe
246;Karim Bellarabi;de GER;FWMF;Leverkusen;de Bundesliga;30;1990;8.9;32.7;46.1;71.0;465.8;127.4;19.2;22.8;84.2;9.78;14.0;69.6;2.13;4.49;47.5;0.00;0.29;0.27;-0.29;1.80;1.91;1.57;0.90;2.81;Matches;bee0bab1
247;Jean-Ricner Bellegarde;fr FRA;MFFW;Strasbourg;fr Ligue 1;22;1998;23.2;26.6;34.7;76.7;489.6;88.7;11.5;13.7;84.0;11.3;13.6;83.5;3.10;4.74;65.5;0.04;0.11;0.13;-0.06;0.82;1.77;0.69;0.30;2.93;Matches;10f0fdd3
248;Héctor Bellerín;es ESP;DFMF;Arsenal;eng Premier League;25;1995;23.2;46.6;57.1;81.6;685.5;184.5;26.0;29.1;89.2;17.9;21.4;83.7;1.34;2.33;57.4;0.09;0.10;0.11;-0.02;0.86;2.97;1.12;0.39;4.66;Matches;f874dd44
249;Jude Bellingham;eng ENG;MF;Dortmund;de Bundesliga;17;2003;18.9;45.8;55.5;82.6;754.4;171.1;21.9;25.3;86.4;17.9;20.1;88.9;3.92;5.34;73.3;0.16;0.17;0.18;-0.01;0.74;3.92;1.16;0.05;4.92;Matches;57d88cf9
250;Andrea Belotti;it ITA;FW;Torino;it Serie A;26;1993;32.1;15.0;22.3;67.2;220.1;47.3;8.47;10.8;78.4;4.27;6.17;69.2;1.21;1.81;67.2;0.19;0.22;0.13;-0.03;1.15;1.12;1.00;0.12;1.99;Matches;d705ba44
251;Fran Beltrán;es ESP;MFFW;Celta Vigo;es La Liga;21;1999;15.5;45.0;49.9;90.2;763.0;183.2;20.5;22.4;91.4;18.3;19.5;93.7;4.45;5.16;86.3;0.00;0.02;0.03;-0.02;0.26;3.68;0.58;0.06;3.55;Matches;ed5c5fa3
252;Sami Ben Amar;ma MAR;MF;Nîmes;fr Ligue 1;22;1998;0.1;20.0;40.0;50.0;280.0;240.0;10.0;10.0;100.0;10.0;30.0;33.3;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.0;Matches;c05d65d1
253;Hatem Ben Arfa;fr FRA;MFFW;Bordeaux;fr Ligue 1;33;1987;18.9;38.0;47.3;80.4;598.9;153.9;20.6;23.2;89.0;11.7;14.0;83.8;3.33;6.35;52.5;0.21;0.20;0.21;0.01;1.64;3.17;1.11;0.21;4.60;Matches;74dc806c
254;Salim Ben Seghir;fr FRA;DF;Nice;fr Ligue 1;17;2003;0.1;70.0;70.0;100.0;1110.0;540.0;30.0;30.0;100.0;10.0;10.0;100.0;20.0;20.0;100.0;0.00;0.00;0.00;0.00;0.00;10.0;10.0;0.00;20.0;Matches;1f6298f2
255;Wissam Ben Yedder;fr FRA;FW;Monaco;fr Ligue 1;29;1990;29.0;22.4;30.8;72.9;312.5;62.9;13.0;16.9;76.8;6.55;8.38;78.2;1.21;1.83;66.0;0.24;0.23;0.18;0.01;1.41;1.97;1.31;0.10;3.76;Matches;942b4f90
256;Ahmad Benali;ly LBY;MF;Crotone;it Serie A;28;1992;13.5;49.0;58.4;84.0;793.9;222.6;23.9;26.9;89.0;19.8;22.2;89.0;3.56;5.48;64.9;0.07;0.09;0.10;-0.01;1.04;4.07;0.74;0.07;4.96;Matches;a128b07e
257;Samy Benchamma;fr FRA;DFMF;Montpellier;fr Ligue 1;20;2000;0.5;40.0;46.0;87.0;686.0;126.0;20.0;22.0;90.9;14.0;16.0;87.5;6.00;8.00;75.0;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;2.00;Matches;90c99c5c
258;Lars Bender;de GER;DF;Leverkusen;de Bundesliga;31;1989;10.4;57.7;69.7;82.8;992.2;329.3;27.0;30.4;88.9;23.0;26.9;85.4;6.25;7.98;78.3;0.19;0.06;0.10;0.13;0.67;4.23;1.15;0.38;5.29;Matches;c50281a0
259;Sven Bender;de GER;DF;Leverkusen;de Bundesliga;31;1989;13.0;70.5;78.5;89.8;1377.4;419.9;19.0;21.1;90.1;44.3;47.4;93.5;6.23;8.62;72.3;0.00;0.02;0.04;-0.02;0.38;2.08;0.15;0.08;3.23;Matches;070ec0b1
260;Darío Benedetto;ar ARG;FW;Marseille;fr Ligue 1;30;1990;17.5;13.7;20.6;66.7;192.7;24.3;7.83;10.2;77.0;3.26;5.14;63.3;1.09;2.17;50.0;0.17;0.10;0.10;0.07;0.69;0.91;0.40;0.06;1.26;Matches;bef0a7ac
261;László Bénes;sk SVK;MF;Augsburg;de Bundesliga;22;1997;7.3;22.7;36.3;62.6;350.1;121.6;12.1;15.5;77.9;6.85;10.5;64.9;2.33;6.44;36.2;0.14;0.12;0.10;0.01;1.37;1.78;0.55;0.14;2.60;Matches;fe888e39
262;László Bénes;sk SVK;MF;M'Gladbach;de Bundesliga;22;1997;1.7;47.6;65.9;72.3;792.9;250.0;26.5;31.2;84.9;16.5;20.6;80.0;4.71;11.2;42.1;0.59;0.12;0.18;0.47;2.35;3.53;0.00;0.00;4.12;Matches;fe888e39
263;Walter Benítez;ar ARG;GK;Nice;fr Ligue 1;27;1993;38.0;26.2;32.2;81.3;595.5;400.2;6.76;6.79;99.6;14.1;14.4;97.8;5.29;10.8;48.8;0.00;0.00;0.00;0.00;0.00;0.13;0.00;0.00;0.03;Matches;8a2248b4
264;Loris Benito;ch SUI;DF;Bordeaux;fr Ligue 1;28;1992;29.5;51.4;61.0;84.2;833.3;316.3;25.6;27.5;93.1;21.4;24.6;87.0;3.25;6.44;50.5;0.00;0.04;0.03;-0.04;0.51;3.46;0.37;0.27;4.07;Matches;f5b6fb78
265;Sergio Benito;es ESP;FW;Valladolid;es La Liga;21;1999;0.0;0;0;;0;0;0;0;;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matches;608bcb88
266;Bilal Benkhedim;fr FRA;FW;Saint-Étienne;fr Ligue 1;19;2001;0.8;40.0;60.0;66.7;655.0;82.5;23.8;28.8;82.6;11.3;18.8;60.0;3.75;10.0;37.5;0.00;0.13;0.00;-0.13;1.25;0.00;0.00;0.00;1.25;Matches;b6047994
267;Djamel Benlamri;dz ALG;DF;Lyon;fr Ligue 1;30;1989;1.7;42.4;47.6;88.9;880.0;303.5;11.8;14.1;83.3;22.9;23.5;97.5;5.88;7.65;76.9;0.00;0.00;0.00;0.00;0.59;2.94;0.00;0.00;4.12;Matches;2ab14aaa
268;Ismaël Bennacer;dz ALG;MF;Milan;it Serie A;22;1997;14.7;57.9;66.9;86.5;956.3;332.7;29.7;31.6;93.8;21.3;23.4;91.0;5.51;8.23;66.9;0.14;0.04;0.05;0.10;0.34;7.14;0.88;0.00;5.58;Matches;db092d3b
269;Saïd Benrahma;dz ALG;FWMF;West Ham;eng Premier League;24;1995;15.5;26.5;34.6;76.7;362.5;106.3;16.2;18.0;90.0;7.74;10.4;74.5;1.10;2.97;37.0;0.39;0.26;0.21;0.12;1.74;2.77;1.29;0.52;3.87;Matches;5a04fd92
270;Yassine Benrahou;fr FRA;MF;Nîmes;fr Ligue 1;21;1999;13.8;32.0;43.8;73.2;509.8;146.2;16.4;18.4;89.4;8.77;12.2;72.0;3.99;8.77;45.5;0.00;0.20;0.20;-0.20;1.81;3.26;1.09;0.29;4.42;Matches;fbf76716
271;Ramy Bensebaini;dz ALG;DF;M'Gladbach;de Bundesliga;25;1995;20.1;49.6;61.5;80.6;805.1;313.4;24.5;27.5;89.0;19.9;23.9;83.1;3.63;6.47;56.2;0.00;0.06;0.05;-0.06;0.50;2.94;0.60;0.20;4.13;Matches;378825c7
272;Josh Benson;eng ENG;MF;Burnley;eng Premier League;20;1999;2.9;21.4;29.3;72.9;254.5;94.1;12.8;13.1;97.4;5.17;8.28;62.5;0.69;2.41;28.6;0.00;0.00;0.03;0.00;0.00;2.41;0.00;0.00;2.07;Matches;bf3aeb61
273;Nabil Bentaleb;dz ALG;MF;Schalke 04;de Bundesliga;25;1994;6.1;37.9;46.7;81.1;604.1;155.4;19.3;22.8;84.9;13.4;16.1;83.7;3.11;4.59;67.9;0.00;0.00;0.02;0.00;0.16;4.92;0.33;0.00;4.75;Matches;3189f61a
274;Rodrigo Bentancur;uy URU;MF;Juventus;it Serie A;23;1997;25.8;63.7;71.7;88.8;1120.7;322.4;29.2;31.2;93.7;27.0;29.2;92.3;6.36;8.57;74.2;0.16;0.09;0.07;0.07;1.12;6.63;0.54;0.12;6.71;Matches;3b8674e6
275;Christian Benteke;be BEL;FW;Crystal Palace;eng Premier League;29;1990;20.2;16.8;28.9;58.1;200.9;39.6;11.3;17.8;63.8;3.12;6.14;50.8;0.69;0.94;73.7;0.05;0.04;0.05;0.00;0.74;1.34;0.54;0.05;1.78;Matches;ab070c55
276;Karim Benzema;fr FRA;FW;Real Madrid;es La Liga;32;1987;32.2;32.0;38.4;83.3;407.7;70.2;19.7;22.1;88.9;7.36;8.88;82.9;1.65;2.17;75.7;0.28;0.20;0.19;0.08;1.18;1.74;1.06;0.00;3.54;Matches;70d74ece
277;Yassine Benzia;dz ALG;MFFW;Dijon;fr Ligue 1;25;1994;4.5;34.4;44.7;77.1;581.8;160.9;17.3;20.7;83.9;12.2;14.7;83.3;3.33;7.11;46.9;0.22;0.11;0.07;0.11;2.00;3.56;0.22;0.22;4.22;Matches;6fbde63a
278;Alessandro Berardi;it ITA;GK;Hellas Verona;it Serie A;29;1991;0.3;20.0;36.7;54.5;916.7;850.0;0.00;0.00;;3.33;3.33;100.0;16.7;33.3;50.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;ec1f737d
279;Domenico Berardi;it ITA;FW;Sassuolo;it Serie A;25;1994;27.5;35.8;47.6;75.1;620.4;159.9;17.2;19.7;87.3;13.8;17.2;80.3;3.82;7.49;51.0;0.25;0.23;0.19;0.03;2.11;2.62;3.05;0.47;5.96;Matches;53a0e358
280;Gaetano Berardi;ch SUI;DF;Leeds United;eng Premier League;31;1988;1.3;38.5;48.5;79.4;603.8;298.5;18.5;20.8;88.9;17.7;21.5;82.1;1.54;3.85;40.0;0.00;0.00;0.00;0.00;0.00;1.54;0.77;0.00;1.54;Matches;5348aada
281;Yuri Berchiche;es ESP;DF;Athletic Club;es La Liga;30;1990;18.7;48.6;60.5;80.3;803.6;288.5;24.8;28.0;88.5;17.6;21.1;83.5;4.39;6.47;67.8;0.16;0.11;0.11;0.05;0.91;3.10;1.71;0.70;5.24;Matches;b6e50615
282;Álex Berenguer;es ESP;MF;Torino;it Serie A;25;1995;1.5;21.3;31.3;68.1;311.3;81.3;14.0;17.3;80.8;6.00;8.00;75.0;0.67;4.00;16.7;0.00;0.00;0.07;0.00;0.00;2.67;0.67;0.00;4.00;Matches;dc1c2fce
283;Álex Berenguer;es ESP;MFFW;Athletic Club;es La Liga;25;1995;25.3;23.8;36.2;65.5;330.9;103.4;14.3;17.2;83.6;6.44;9.72;66.3;1.38;4.90;28.2;0.16;0.13;0.15;0.02;1.50;0.99;1.58;0.40;3.36;Matches;dc1c2fce
284;Bartosz Bereszy?ski;pl POL;DF;Sampdoria;it Serie A;28;1992;29.0;41.5;51.6;80.4;624.2;242.2;22.9;25.1;91.3;14.5;18.1;79.8;2.38;4.79;49.6;0.00;0.02;0.04;-0.02;0.28;2.62;0.66;0.21;3.55;Matches;61b3978f
285;Jóhann Berg Guðmundsson;is ISL;MF;Burnley;eng Premier League;29;1990;15.1;23.5;31.3;75.1;344.4;81.1;13.6;16.1;84.8;6.62;8.68;76.3;1.85;4.04;45.9;0.00;0.03;0.05;-0.03;0.60;1.66;0.79;0.26;2.05;Matches;f72293fc
286;Sander Berge;no NOR;MF;Sheffield Utd;eng Premier League;22;1998;12.4;30.5;37.4;81.5;479.4;109.4;16.0;18.5;86.5;11.1;12.4;89.6;2.26;3.63;62.2;0.08;0.09;0.06;-0.01;1.05;2.26;0.32;0.16;3.15;Matches;d0b6129f
287;Steven Bergwijn;nl NED;FWMF;Tottenham;eng Premier League;22;1997;13.4;26.1;32.1;81.4;317.0;53.3;17.0;19.0;89.8;6.72;8.73;76.9;0.30;1.27;23.5;0.22;0.07;0.06;0.16;0.97;1.12;0.60;0.00;1.87;Matches;a29b1131
288;Valon Berisha;xk KVX;MF;Reims;fr Ligue 1;27;1993;18.3;45.2;55.4;81.6;874.3;220.6;18.2;20.8;87.6;17.3;20.6;83.8;7.81;11.2;69.8;0.16;0.10;0.12;0.07;1.37;5.52;1.04;0.11;7.10;Matches;d5575935
289;Bernard;br BRA;MFFW;Everton;eng Premier League;27;1992;5.1;42.9;52.9;81.1;633.3;159.4;22.7;25.3;89.9;15.9;18.8;84.4;2.16;3.53;61.1;0.00;0.12;0.16;-0.12;1.96;3.33;2.16;0.59;7.25;Matches;ab4b3e35
290;Federico Bernardeschi;it ITA;MFDF;Juventus;it Serie A;26;1994;10.8;41.4;54.2;76.4;708.8;204.6;20.6;23.2;88.4;14.1;17.8;79.2;5.09;8.52;59.8;0.19;0.26;0.20;-0.07;2.31;2.87;1.30;0.46;3.61;Matches;ee93c1a9
291;Bernardo;br BRA;DFMF;Brighton;eng Premier League;25;1995;2.3;26.5;37.0;71.8;381.7;109.1;16.5;19.6;84.4;7.39;9.57;77.3;0.87;1.74;50.0;0.00;0.04;0.04;-0.04;0.87;1.30;1.30;0.43;3.91;Matches;17370b95
292;Paul Bernardoni;fr FRA;GK;Angers;fr Ligue 1;23;1997;38.0;16.8;25.9;65.0;503.6;380.4;2.34;2.34;100.0;7.97;8.13;98.1;6.47;15.3;42.4;0.00;0.00;0.00;0.00;0.00;0.18;0.00;0.00;0.00;Matches;28dabd43
293;Juan Bernat;es ESP;DF;Paris S-G;fr Ligue 1;27;1993;2.2;51.8;56.8;91.2;651.8;159.5;33.6;34.5;97.4;15.9;17.3;92.1;0.00;0.00;;0.00;0.09;0.09;-0.09;0.91;1.82;2.27;0.00;5.00;Matches;433dc9a2
294;Dimitry Bertaud;fr FRA;GK;Montpellier;fr Ligue 1;22;1998;8.3;26.1;37.6;69.6;998.0;812.5;2.05;2.05;100.0;8.43;8.55;98.6;15.7;26.9;58.3;0.00;0.00;0.00;0.00;0.00;1.33;0.00;0.00;0.00;Matches;380a15e2
295;Marco Bertini;it ITA;MF;Lazio;it Serie A;17;2002;0.1;20.0;20.0;100.0;370.0;240.0;10.0;10.0;100.0;10.0;10.0;100.0;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;4b520f96
296;Ryan Bertrand;eng ENG;DF;Southampton;eng Premier League;30;1989;28.9;41.0;54.3;75.6;596.7;222.1;23.4;26.7;87.3;14.4;18.6;77.7;1.56;4.88;31.9;0.03;0.04;0.07;-0.01;0.48;2.21;0.76;0.21;3.49;Matches;1226327
297;Daniel Bessa;it ITA;MF;Hellas Verona;it Serie A;27;1993;6.8;37.1;44.0;84.3;541.2;145.1;20.7;22.1;94.0;10.6;12.6;83.7;2.79;4.56;61.3;0.29;0.28;0.18;0.01;2.06;3.82;1.47;0.44;5.15;Matches;88895312
298;Loïc Bessile;tg TOG;DF;Bordeaux;fr Ligue 1;21;1999;1.0;38.0;44.0;86.4;788.0;195.0;7.00;7.00;100.0;29.0;29.0;100.0;2.00;8.00;25.0;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;2.00;Matches;4e9957ff
299;Jordan Beyer;de GER;DF;M'Gladbach;de Bundesliga;20;2000;2.1;37.6;47.1;79.8;641.0;227.6;14.3;15.7;90.9;19.0;21.9;87.0;2.38;5.24;45.5;0.00;0.00;0.00;0.00;0.00;1.43;0.48;0.00;2.38;Matches;9af1f9ff
300;Bartosz Bialek;pl POL;FWMF;Wolfsburg;de Bundesliga;18;2001;3.0;16.7;24.7;67.6;289.0;92.0;7.67;11.0;69.7;5.67;7.67;73.9;2.67;3.33;80.0;0.00;0.07;0.07;-0.07;1.33;2.67;1.00;0.00;4.00;Matches;763b8b37
301;Giulian Biancone;fr FRA;DFMF;Monaco;fr Ligue 1;20;2000;1.0;66.0;90.0;73.3;1105.0;347.0;31.0;38.0;81.6;26.0;34.0;76.5;7.00;10.0;70.0;0.00;0.10;0.30;-0.10;2.00;4.00;4.00;2.00;6.00;Matches;de40e38c
302;Ermin Bi?ak?i?;ba BIH;DF;Hoffenheim;de Bundesliga;30;1990;1.4;37.9;43.6;86.9;677.9;226.4;14.3;16.4;87.0;21.4;22.1;96.8;2.14;5.00;42.9;0.00;0.00;0.00;0.00;0.00;2.86;0.00;0.00;2.86;Matches;7aac47fe
303;Pedro Bigas;es ESP;DF;Eibar;es La Liga;29;1990;17.0;27.9;39.8;70.1;656.8;260.9;6.65;8.76;75.8;14.5;17.9;80.9;6.53;11.9;54.7;0.00;0.00;0.01;0.00;0.06;1.82;0.06;0.00;2.47;Matches;697295b1
304;El Bilal Touré;ml MLI;FW;Reims;fr Ligue 1;18;2001;13.8;14.9;20.9;71.2;190.0;30.7;8.91;11.4;78.3;4.57;6.45;70.8;0.22;0.58;37.5;0.07;0.05;0.03;0.02;0.72;1.16;0.22;0.00;1.45;Matches;47c609d5
305;Cristiano Biraghi;it ITA;DF;Fiorentina;it Serie A;27;1992;31.1;37.8;55.8;67.7;626.5;258.0;18.6;21.1;88.4;13.3;19.2;69.3;3.99;10.9;36.7;0.16;0.22;0.19;-0.05;1.58;2.51;1.25;0.87;3.76;Matches;9e1577aa
306;Davide Biraschi;it ITA;DF;Genoa;it Serie A;26;1994;10.2;39.7;50.8;78.2;696.1;253.7;17.2;19.4;88.4;19.3;22.7;84.9;2.84;6.37;44.6;0.00;0.00;0.01;0.00;0.00;3.33;0.59;0.20;3.82;Matches;64cd167d
307;Yves Bissouma;ml MLI;MF;Brighton;eng Premier League;23;1996;34.6;42.7;49.0;87.0;742.6;163.9;18.4;20.0;91.9;19.1;21.0;91.2;3.90;5.46;71.4;0.00;0.03;0.04;-0.03;0.46;4.19;0.46;0.03;4.22;Matches;6c203af0
308;Leonardo Bittencourt;de GER;MFFW;Werder Bremen;de Bundesliga;26;1993;16.8;27.3;39.0;70.0;443.4;101.5;14.0;17.0;82.5;9.05;12.2;74.1;2.80;5.42;51.6;0.06;0.06;0.09;0.00;1.01;2.20;0.89;0.42;2.50;Matches;dc62fbee
309;Blanco;es ESP;MFFW;Real Madrid;es La Liga;20;2000;2.4;65.4;71.3;91.8;1029.2;270.8;34.6;37.1;93.3;25.4;25.8;98.4;2.50;3.75;66.7;0.00;0.04;0.08;-0.04;0.83;5.00;0.42;0.42;7.50;Matches;506daeac
310;Alejandro Blanco;es ESP;MF;Valencia;es La Liga;21;1998;6.4;15.8;21.9;72.1;199.1;22.2;9.84;12.5;78.8;4.84;5.94;81.6;0.16;0.63;25.0;0.00;0.08;0.05;-0.08;1.25;0.47;0.16;0.16;0.31;Matches;c4dce677
311;Rubén Blanco;es ESP;GK;Celta Vigo;es La Liga;25;1995;18.2;25.9;36.5;71.0;702.9;496.7;5.33;5.38;99.0;12.9;13.1;98.3;7.64;17.9;42.8;0.00;0.00;0.00;0.00;0.00;0.33;0.00;0.00;0.00;Matches;967f34d3
312;Ludovic Blas;fr FRA;MFFW;Nantes;fr Ligue 1;22;1997;31.0;24.6;31.2;78.9;428.0;105.4;11.5;13.3;86.7;9.84;11.4;86.4;2.52;4.26;59.1;0.13;0.12;0.07;0.01;0.94;2.74;0.84;0.16;4.26;Matches;6191093d
313;Alejandro Blesa;es ESP;MF;Levante;es La Liga;18;2002;0.1;120.0;120.0;100.0;2250.0;170.0;30.0;30.0;100.0;90.0;90.0;100.0;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.00;10.0;Matches;d2ed99b4
314;Jérôme Boateng;de GER;DF;Bayern Munich;de Bundesliga;31;1988;26.3;67.5;77.2;87.4;1468.8;515.2;15.3;16.7;91.8;40.5;43.1;94.0;11.0;16.0;68.2;0.04;0.02;0.07;0.02;0.19;6.96;0.61;0.08;7.00;Matches;2db2fd7b
315;Antonin Bobichon;fr FRA;MFFW;Angers;fr Ligue 1;24;1995;10.1;43.7;54.3;80.5;708.2;197.3;23.9;26.3;90.6;13.7;16.2;84.1;4.65;8.51;54.7;0.10;0.14;0.15;-0.04;1.68;3.86;0.50;0.00;6.04;Matches;7d937aa1
316;Yann Bodiger;fr FRA;MF;Cádiz;es La Liga;25;1995;2.8;23.2;33.6;69.1;389.6;93.6;10.4;13.6;76.3;10.4;12.5;82.9;1.79;4.29;41.7;0.00;0.04;0.04;-0.04;0.71;2.86;0.00;0.00;2.86;Matches;8c2c48a9
317;Jean-Paul Boëtius;nl NED;MFFW;Mainz 05;de Bundesliga;26;1994;22.9;24.4;35.6;68.6;397.5;132.8;12.3;16.6;74.4;8.38;11.2;74.7;2.58;4.45;57.8;0.17;0.27;0.24;-0.09;1.44;3.06;1.31;0.26;4.76;Matches;635f2732
318;Sacha Boey;fr FRA;DF;Dijon;fr Ligue 1;19;2000;20.7;38.7;50.9;76.0;637.4;261.7;19.7;22.4;88.1;14.8;19.3;76.5;3.24;6.96;46.5;0.05;0.07;0.06;-0.02;0.87;2.32;0.82;0.58;3.14;Matches;6c8ddd52
319;Sacha Boey;fr FRA;DF;Rennes;fr Ligue 1;19;2000;1.4;53.6;62.9;85.2;875.7;257.9;27.1;31.4;86.4;18.6;21.4;86.7;5.71;6.43;88.9;0.00;0.07;0.14;-0.07;0.71;0.71;0.71;0.71;3.57;Matches;6c8ddd52
320;Jeremie Boga;ci CIV;FWMF;Sassuolo;it Serie A;23;1997;19.8;34.1;38.6;88.4;428.4;60.1;23.4;25.4;92.0;7.58;8.28;91.5;1.06;1.57;67.7;0.10;0.05;0.07;0.06;0.61;1.21;0.86;0.00;2.17;Matches;fe012aca
321;Melayro Bogarde;nl NED;DFMF;Hoffenheim;de Bundesliga;18;2002;3.1;46.1;54.8;84.1;810.0;249.4;19.4;21.9;88.2;21.3;23.5;90.4;4.19;5.81;72.2;0.32;0.06;0.06;0.26;1.61;5.16;0.65;0.32;5.81;Matches;1fda91b3
322;Jayden Bogle;eng ENG;DFMF;Sheffield Utd;eng Premier League;20;2000;12.3;24.1;31.5;76.5;311.7;114.6;15.4;17.4;88.3;5.77;7.80;74.0;0.65;2.28;28.6;0.00;0.02;0.03;-0.02;0.33;1.14;0.73;0.08;1.95;Matches;ae5019e6
323;Quentin Boisgard;fr FRA;MFFW;Lorient;fr Ligue 1;23;1997;14.6;24.7;38.0;64.9;361.8;107.4;13.7;15.8;86.6;7.67;10.8;70.9;1.64;6.85;24.0;0.14;0.12;0.12;0.02;1.51;1.44;0.55;0.14;2.95;Matches;f6496133
324;Willy Boly;ci CIV;DF;Wolves;eng Premier League;29;1991;20.9;40.9;49.6;82.4;705.6;267.5;16.2;18.6;87.1;20.6;22.9;89.8;2.78;5.98;46.4;0.05;0.01;0.01;0.03;0.14;2.34;0.05;0.00;2.11;Matches;a4ac4b8f
325;Giacomo Bonaventura;it ITA;MF;Fiorentina;it Serie A;30;1989;25.1;30.3;38.1;79.6;480.7;102.6;15.3;17.7;86.5;10.2;12.0;85.4;2.87;4.70;61.0;0.08;0.12;0.13;-0.04;0.96;2.99;1.00;0.24;3.71;Matches;d995ed27
326;Federico Bonazzoli;it ITA;FW;Torino;it Serie A;23;1997;6.3;20.5;24.6;83.2;362.1;38.9;11.0;12.9;85.2;6.35;7.30;87.0;2.70;3.02;89.5;0.32;0.11;0.11;0.21;0.63;1.43;0.48;0.00;2.38;Matches;bf57eaab
327;Federico Bonazzoli;it ITA;FW;Sampdoria;it Serie A;23;1997;1.5;12.7;18.0;70.4;206.7;41.3;4.67;6.67;70.0;6.00;8.67;69.2;1.33;1.33;100.0;0.67;0.33;0.33;0.33;1.33;2.67;0.67;0.00;2.00;Matches;bf57eaab
328;Kevin Bonifazi;it ITA;DF;Udinese;it Serie A;24;1996;27.4;43.9;49.6;88.5;836.5;328.8;15.0;16.4;91.6;23.8;24.9;95.7;4.27;6.72;63.6;0.00;0.01;0.01;-0.01;0.07;2.15;0.11;0.00;2.12;Matches;fb77bfef
329;Leonardo Bonucci;it ITA;DF;Juventus;it Serie A;33;1987;22.5;60.6;67.5;89.8;1300.3;524.8;15.2;16.0;95.0;36.2;38.0;95.3;8.80;12.2;72.0;0.00;0.02;0.03;-0.02;0.13;4.04;0.27;0.04;3.96;Matches;52ec54d0
330;Elias Bördner;de GER;GK;Eint Frankfurt;de Bundesliga;18;2002;1.0;29.0;43.0;67.4;699.0;549.0;8.00;8.00;100.0;16.0;16.0;100.0;5.00;19.0;26.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;8758ddf4
331;Dennis Borkowski;de GER;MFFW;RB Leipzig;de Bundesliga;18;2002;0.1;40.0;50.0;80.0;530.0;0.00;20.0;20.0;100.0;20.0;20.0;100.0;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;78b9e99c
332;Sebastiaan Bornauw;be BEL;DF;Köln;de Bundesliga;21;1999;23.1;32.6;39.9;81.6;731.8;244.0;7.10;8.44;84.1;19.1;21.1;90.6;6.10;9.13;66.8;0.04;0.00;0.00;0.04;0.04;1.13;0.13;0.04;1.86;Matches;01834aa0
333;Sven Botman;nl NED;DF;Lille;fr Ligue 1;20;2000;36.8;61.1;70.8;86.3;1164.4;455.6;22.6;24.5;92.0;31.7;34.3;92.3;6.01;10.2;58.6;0.00;0.01;0.02;-0.01;0.14;4.48;0.11;0.00;4.97;Matches;ccce7025
334;Denis Bouanga;ga GAB;MFFW;Saint-Étienne;fr Ligue 1;25;1994;30.2;16.8;26.3;63.7;248.1;65.3;9.93;13.2;75.4;4.50;6.92;65.1;1.42;3.71;38.4;0.13;0.10;0.10;0.03;0.79;0.93;0.53;0.17;1.69;Matches;0b0cbe5b
