;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
42;Paul Delecroix;gw GNB;GK;Metz;fr Ligue 1;30;1988;2;1;135;1.5;2.67;2.67;4.00;1.33;50.0;0.00;0.00;0.67;0.00;0.0;0.67;0.67;0.00;0.00;0.0;Matches;2ee1b96b
43;Lucas Dias;fr FRA;GK;Nîmes;fr Ligue 1;20;1999;4;3;316;3.5;1.71;1.71;5.43;3.71;68.4;0.00;0.57;0.29;0.29;33.3;0.00;0.00;0.00;0.00;;Matches;d83f8f69
44;Marko Dmitrovi?;rs SRB;GK;Eibar;es La Liga;27;1992;35;35;3150;35.0;1.46;1.46;3.49;2.03;61.5;0.26;0.26;0.49;0.29;28.6;0.14;0.11;0.03;0.00;20.0;Matches;ac295d9e
45;Jaume Doménech;es ESP;GK;Valencia;es La Liga;28;1990;15;14;1324;14.7;1.56;1.56;5.51;3.95;72.8;0.27;0.27;0.41;0.20;21.4;0.07;0.07;0.00;0.00;0.0;Matches;c9cb972b
46;Gianluigi Donnarumma;it ITA;GK;Milan;it Serie A;20;1999;36;36;3201;35.6;1.18;1.18;3.96;2.70;73.0;0.51;0.25;0.25;0.34;33.3;0.22;0.11;0.11;0.00;50.0;Matches;08f5afaa
47;Bart?omiej Dr?gowski;pl POL;GK;Fiorentina;it Serie A;21;1997;31;31;2790;31.0;1.39;1.39;4.48;3.03;73.4;0.23;0.39;0.39;0.26;25.8;0.26;0.19;0.06;0.00;25.0;Matches;085e71a7
48;Martin Dúbravka;sk SVK;GK;Newcastle Utd;eng Premier League;30;1989;38;38;3420;38.0;1.53;1.53;5.13;3.66;71.3;0.29;0.29;0.42;0.29;28.9;0.05;0.05;0.00;0.00;0.0;Matches;3a949a25
49;Ederson;br BRA;GK;Manchester City;eng Premier League;25;1993;35;35;3071;34.1;0.82;0.82;2.79;1.99;73.7;0.70;0.09;0.23;0.47;45.7;0.09;0.09;0.00;0.00;0.0;Matches;3bb7b8b4
50;Aarón Escandell;es ESP;GK;Granada;es La Liga;23;1995;3;3;270;3.0;1.00;1.00;4.67;3.67;78.6;0.33;0.00;0.67;0.33;33.3;0.00;0.00;0.00;0.00;;Matches;67669ce7
51;?ukasz Fabia?ski;pl POL;GK;West Ham;eng Premier League;34;1985;25;25;2117;23.5;1.45;1.45;4.43;3.02;70.2;0.34;0.30;0.43;0.21;20.0;0.17;0.13;0.04;0.00;25.0;Matches;9328b835
52;Fabricio;es ESP;GK;Mallorca;es La Liga;31;1987;2;2;90;1.0;3.00;3.00;6.00;3.00;66.7;0.00;0.00;1.00;0.00;0.0;1.00;1.00;0.00;0.00;0.0;Matches;af245161
53;Ralf Fährmann;de GER;GK;Norwich City;eng Premier League;30;1988;1;1;21;0.2;5.00;4.29;10.0;5.00;100.0;;;5.00;;;;5.00;;;;Matches;1e43fad8
54;Wladimiro Falcone;it ITA;GK;Sampdoria;it Serie A;24;1995;2;2;180;2.0;2.50;2.50;6.50;4.00;69.2;0.00;0.50;0.50;0.00;0.0;0.50;0.50;0.00;0.00;0.0;Matches;9f5a610b
55;Aitor Fernández;es ESP;GK;Levante;es La Liga;28;1991;36;36;3240;36.0;1.42;1.42;5.69;4.25;76.6;0.33;0.19;0.47;0.14;13.9;0.14;0.08;0.06;0.00;40.0;Matches;a01c3d54
56;Andrés Fernández;es ESP;GK;Villarreal;es La Liga;32;1986;4;4;360;4.0;2.00;2.00;4.75;3.00;73.7;0.25;0.50;0.25;0.25;25.0;0.75;0.75;0.00;0.00;0.0;Matches;307fcd26
57;Mark Flekken;nl NED;GK;Freiburg;de Bundesliga;26;1993;10;10;900;10.0;1.40;1.40;6.90;5.50;79.7;0.40;0.30;0.30;0.30;30.0;0.10;0.00;0.00;0.10;;Matches;a92ab7be
58;Ben Foster;eng ENG;GK;Watford;eng Premier League;36;1983;38;38;3420;38.0;1.68;1.68;4.68;3.05;68.5;0.21;0.26;0.53;0.24;23.7;0.24;0.21;0.03;0.00;11.1;Matches;d0b3ceb9
59;Daniel Fuzato;br BRA;GK;Roma;it Serie A;22;1997;1;1;90;1.0;1.00;1.00;2.00;1.00;50.0;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;82328faf
60;Gabriel;br BRA;GK;Lecce;it Serie A;26;1992;34;34;2997;33.3;2.28;2.28;6.82;4.56;70.9;0.18;0.24;0.60;0.06;5.9;0.36;0.30;0.06;0.00;16.7;Matches;f93ed0df
61;Paulo Gazzaniga;ar ARG;GK;Tottenham;eng Premier League;27;1992;18;17;1613;17.9;1.45;1.45;4.58;3.13;72.0;0.28;0.28;0.39;0.11;11.8;0.22;0.17;0.06;0.00;25.0;Matches;63d17038
62;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;28;1990;38;38;3420;38.0;0.95;0.95;3.45;2.53;74.8;0.47;0.32;0.21;0.34;34.2;0.08;0.08;0.00;0.00;0.0;Matches;7ba6d84e
63;Rafa? Gikiewicz;pl POL;GK;Union Berlin;de Bundesliga;31;1987;33;33;2970;33.0;1.64;1.64;4.82;3.18;67.9;0.36;0.15;0.48;0.24;24.2;0.12;0.09;0.03;0.00;25.0;Matches;17376543
64;Mauro Goicoechea;uy URU;GK;Toulouse;fr Ligue 1;31;1988;2;2;180;2.0;2.50;2.50;6.50;4.00;61.5;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;132bb875
65;Pierluigi Gollini;it ITA;GK;Atalanta;it Serie A;24;1995;33;33;2884;32.0;1.31;1.31;3.75;2.53;70.0;0.59;0.28;0.16;0.25;24.2;0.19;0.19;0.00;0.00;0.0;Matches;f0f7f62f
66;Alfred Gomis;sn SEN;GK;Dijon;fr Ligue 1;25;1993;19;19;1620;18.0;1.11;1.11;4.50;3.44;76.5;0.33;0.39;0.33;0.33;31.6;0.06;0.06;0.00;0.00;0.0;Matches;cecbce23
67;Vicente Guaita;es ESP;GK;Crystal Palace;eng Premier League;32;1987;35;35;3150;35.0;1.20;1.20;4.26;3.11;71.8;0.31;0.26;0.43;0.29;28.6;0.03;0.00;0.00;0.03;;Matches;ab13a5aa
68;Péter Gulácsi;hu HUN;GK;RB Leipzig;de Bundesliga;29;1990;32;32;2880;32.0;1.06;1.06;3.63;2.56;72.4;0.50;0.38;0.13;0.31;31.3;0.06;0.06;0.00;0.00;0.0;Matches;bcb2ccd8
69;Angus Gunn;eng ENG;GK;Southampton;eng Premier League;23;1996;10;10;900;10.0;2.50;2.50;5.50;3.00;58.2;0.20;0.20;0.60;0.20;20.0;0.20;0.20;0.00;0.00;0.0;Matches;e082af5b
70;Régis Gurtner;fr FRA;GK;Amiens;fr Ligue 1;32;1986;28;28;2520;28.0;1.79;1.79;5.07;3.32;65.5;0.14;0.39;0.46;0.18;17.9;0.04;0.04;0.00;0.00;0.0;Matches;bc270726
71;Samir Handanovi?;si SVN;GK;Inter;it Serie A;35;1984;35;35;3150;35.0;0.91;0.91;3.14;2.23;72.7;0.63;0.29;0.09;0.37;37.1;0.09;0.06;0.03;0.00;33.3;Matches;74419746
72;Tom Heaton;eng ENG;GK;Aston Villa;eng Premier League;33;1986;20;20;1794;19.9;1.76;1.76;5.13;3.42;68.6;0.30;0.15;0.55;0.20;20.0;0.15;0.15;0.00;0.00;0.0;Matches;a6de6361
73;Dean Henderson;eng ENG;GK;Sheffield Utd;eng Premier League;22;1997;36;36;3240;36.0;0.92;0.92;3.56;2.61;75.0;0.39;0.31;0.31;0.36;36.1;0.08;0.03;0.03;0.03;50.0;Matches;e5a76dfe
74;Wayne Hennessey;wls WAL;GK;Crystal Palace;eng Premier League;32;1987;3;3;270;3.0;2.67;2.67;7.67;5.00;65.2;0.00;0.33;0.67;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;76eca7e2
75;Sergio Herrera;es ESP;GK;Osasuna;es La Liga;26;1993;19;18;1655;18.4;1.47;1.47;4.35;2.88;67.5;0.38;0.16;0.43;0.38;38.9;0.05;0.05;0.00;0.00;0.0;Matches;a4995f48
76;Iago Herrerín;es ESP;GK;Athletic Club;es La Liga;31;1988;5;4;425;4.7;1.91;1.91;4.04;2.13;52.6;0.00;0.64;0.21;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;9109185e
77;Marwin Hitz;ch SUI;GK;Dortmund;de Bundesliga;31;1987;4;3;290;3.2;0.31;0.31;2.19;1.88;85.7;0.63;0.31;0.00;0.94;100.0;0.00;0.00;0.00;0.00;;Matches;2e7ff968
78;Timo Horn;de GER;GK;Köln;de Bundesliga;26;1993;34;34;3060;34.0;2.03;2.03;4.59;2.56;58.3;0.29;0.18;0.53;0.18;17.6;0.18;0.12;0.06;0.00;33.3;Matches;3cd9e95a
79;Lukáš Hrádecký;fi FIN;GK;Leverkusen;de Bundesliga;29;1989;34;34;3060;34.0;1.29;1.29;4.21;2.91;70.6;0.56;0.18;0.26;0.29;29.4;0.06;0.06;0.00;0.00;0.0;Matches;ad3389d5
80;Jannik Huth;de GER;GK;Paderborn 07;de Bundesliga;25;1994;6;6;540;6.0;2.83;2.83;5.50;2.67;51.5;0.00;0.17;0.83;0.00;0.0;0.17;0.17;0.00;0.00;0.0;Matches;e8fd2e5b
81;Rune Jarstein;no NOR;GK;Hertha BSC;de Bundesliga;34;1984;29;29;2547;28.3;1.63;1.63;5.05;3.50;72.7;0.39;0.18;0.46;0.32;31.0;0.25;0.25;0.00;0.00;0.0;Matches;27d2618c
82;Jesse Joronen;fi FIN;GK;Brescia;it Serie A;26;1993;29;29;2610;29.0;2.03;2.03;6.24;4.28;72.4;0.17;0.21;0.62;0.17;17.2;0.34;0.31;0.03;0.00;10.0;Matches;7f66ea09
83;Lovre Kalini?;hr CRO;GK;Toulouse;fr Ligue 1;29;1990;4;4;306;3.4;1.18;1.18;4.41;3.24;73.3;0.00;0.29;0.88;0.29;25.0;0.00;0.00;0.00;0.00;;Matches;3a74f92b
84;Stefanos Kapino;gr GRE;GK;Werder Bremen;de Bundesliga;25;1994;1;1;90;1.0;2.00;2.00;5.00;3.00;60.0;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;62ba5881
85;Florian Kastenmeier;de GER;GK;Düsseldorf;de Bundesliga;22;1997;17;17;1530;17.0;1.82;1.82;4.59;2.88;62.8;0.12;0.53;0.35;0.12;11.8;0.18;0.12;0.06;0.00;33.3;Matches;dc2e4736
86;Tomáš Koubek;cz CZE;GK;Augsburg;de Bundesliga;26;1992;24;24;2160;24.0;2.13;2.12;5.08;3.00;58.2;0.25;0.25;0.50;0.17;16.7;0.04;0.00;0.04;0.00;100.0;Matches;dc366c36
87;Thomas Kraft;de GER;GK;Hertha BSC;de Bundesliga;31;1988;4;4;360;4.0;2.25;2.25;4.75;2.50;52.6;0.00;0.75;0.25;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;bb25c778
88;Tim Krul;nl NED;GK;Norwich City;eng Premier League;31;1988;36;36;3240;36.0;1.89;1.89;5.42;3.56;66.7;0.14;0.17;0.69;0.14;13.9;0.14;0.08;0.06;0.00;40.0;Matches;f23f9d20
89;Alban Lafont;fr FRA;GK;Nantes;fr Ligue 1;20;1999;27;27;2430;27.0;1.07;1.07;3.52;2.37;72.6;0.41;0.15;0.44;0.37;37.0;0.22;0.11;0.07;0.04;40.0;Matches;4e7db402
90;Gautier Larsonneur;fr FRA;GK;Brest;fr Ligue 1;22;1997;27;27;2398;26.6;1.28;1.28;4.96;3.61;76.5;0.26;0.38;0.38;0.26;25.9;0.19;0.11;0.08;0.00;40.0;Matches;b49729cb
91;Benjamin Lecomte;fr FRA;GK;Monaco;fr Ligue 1;28;1991;28;28;2520;28.0;1.57;1.57;4.79;3.25;71.6;0.39;0.25;0.36;0.25;25.0;0.21;0.21;0.00;0.00;0.0;Matches;2fa2a875
92;Nicolas Lemaître;fr FRA;GK;Reims;fr Ligue 1;22;1997;1;1;90;1.0;3.00;3.00;4.00;1.00;50.0;0.00;0.00;1.00;0.00;0.0;1.00;1.00;0.00;0.00;0.0;Matches;586ef3a3
93;Bernd Leno;de GER;GK;Arsenal;eng Premier League;27;1992;30;30;2649;29.4;1.33;1.33;5.14;3.78;78.1;0.31;0.44;0.27;0.24;23.3;0.24;0.20;0.03;0.00;14.3;Matches;2628fd2b
94;Donovan Léon;gf GUF;GK;Brest;fr Ligue 1;26;1992;2;1;122;1.4;2.14;2.21;7.86;5.71;81.8;0.71;0.00;0.00;0.71;100.0;0.71;0.71;0.00;0.00;0.0;Matches;51c83a90
95;Karlo Letica;hr CRO;GK;SPAL;it Serie A;22;1997;10;10;900;10.0;2.90;2.90;6.50;3.60;55.4;0.00;0.10;0.90;0.00;0.0;0.10;0.00;0.10;0.00;100.0;Matches;4a6914ff
96;Hugo Lloris;fr FRA;GK;Tottenham;eng Premier League;32;1986;21;21;1807;20.1;1.04;1.05;4.93;3.88;80.8;0.55;0.30;0.20;0.30;28.6;0.15;0.10;0.05;0.00;33.3;Matches;8f62b6ee
97;Anthony Lopes;pt POR;GK;Lyon;fr Ligue 1;28;1990;26;26;2340;26.0;0.96;0.96;3.31;2.46;73.3;0.38;0.27;0.35;0.31;30.8;0.12;0.08;0.00;0.04;0.0;Matches;f00de885
98;Diego López;es ESP;GK;Espanyol;es La Liga;37;1981;36;36;3232;35.9;1.62;1.62;4.46;2.87;67.5;0.11;0.25;0.64;0.11;11.1;0.19;0.17;0.03;0.00;14.3;Matches;73683fa9
99;Pau López;es ESP;GK;Roma;it Serie A;24;1994;32;32;2880;32.0;1.41;1.41;4.13;2.69;72.0;0.56;0.19;0.25;0.16;15.6;0.28;0.25;0.03;0.00;11.1;Matches;20b9f052
100;Andreas Luthe;de GER;GK;Augsburg;de Bundesliga;32;1987;10;10;900;10.0;1.20;1.20;3.30;2.20;63.6;0.30;0.30;0.40;0.30;30.0;0.00;0.00;0.00;0.00;;Matches;7fe12375
101;Mike Maignan;fr FRA;GK;Lille;fr Ligue 1;24;1995;28;28;2520;28.0;0.96;0.96;2.96;2.07;72.3;0.54;0.14;0.32;0.43;42.9;0.21;0.14;0.04;0.04;20.0;Matches;fcb38f57
102;Steve Mandanda;fr FRA;GK;Marseille;fr Ligue 1;34;1985;27;27;2371;26.3;1.03;1.02;3.50;2.55;75.0;0.57;0.30;0.15;0.42;40.7;0.15;0.15;0.00;0.00;0.0;Matches;1d2d5cc8
103;Daniel Martín;es ESP;GK;Betis;es La Liga;21;1998;6;5;531;5.9;2.03;2.03;4.07;2.03;50.0;0.17;0.00;0.68;0.17;20.0;0.00;0.00;0.00;0.00;;Matches;4df0dff8
104;David Martin;eng ENG;GK;West Ham;eng Premier League;33;1986;5;4;436;4.8;1.25;1.24;4.38;3.13;71.4;0.42;0.00;0.42;0.42;50.0;0.00;0.00;0.00;0.00;;Matches;07666c20
105;Emiliano Martínez;ar ARG;GK;Arsenal;eng Premier League;26;1992;9;8;771;8.6;1.05;1.05;4.88;3.84;81.0;0.58;0.12;0.23;0.35;37.5;0.12;0.12;0.00;0.00;0.0;Matches;7956236f
106;Jordi Masip;es ESP;GK;Valladolid;es La Liga;30;1989;35;35;3150;35.0;1.11;1.11;3.57;2.43;73.6;0.23;0.43;0.34;0.31;31.4;0.20;0.17;0.03;0.00;14.3;Matches;8fae77ea
107;Alex McCarthy;eng ENG;GK;Southampton;eng Premier League;29;1989;28;28;2520;28.0;1.25;1.25;4.04;2.79;69.9;0.46;0.18;0.36;0.25;25.0;0.07;0.04;0.04;0.00;50.0;Matches;36c2ca73
108;Michael McGovern;nir NIR;GK;Norwich City;eng Premier League;35;1984;2;1;159;1.8;3.33;3.40;7.22;3.33;53.8;0.00;0.00;0.56;0.00;0.0;0.56;0.00;0.56;0.00;100.0;Matches;51a19d04
109;Edouard Mendy;sn SEN;GK;Rennes;fr Ligue 1;27;1992;24;24;2160;24.0;0.79;0.79;3.29;2.50;79.7;0.54;0.21;0.25;0.38;37.5;0.17;0.13;0.04;0.00;25.0;Matches;33887998
110;Alex Meret;it ITA;GK;Napoli;it Serie A;22;1997;22;21;1951;21.7;1.52;1.52;3.87;2.35;66.7;0.41;0.23;0.32;0.14;14.3;0.28;0.23;0.05;0.00;16.7;Matches;9413b19f
111;Antonio Mirante;it ITA;GK;Roma;it Serie A;36;1983;5;5;450;5.0;1.00;1.00;4.80;3.80;83.3;0.40;0.20;0.40;0.40;40.0;0.20;0.20;0.00;0.00;0.0;Matches;30223b33
112;Simon Moore;eng ENG;GK;Sheffield Utd;eng Premier League;29;1990;2;2;180;2.0;3.00;3.00;5.50;2.50;45.5;0.00;0.50;0.50;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;e7434f04
113;Jessy Moulin;fr FRA;GK;Saint-Étienne;fr Ligue 1;33;1986;5;5;450;5.0;0.80;0.80;4.60;3.80;91.3;0.40;0.40;0.20;0.40;40.0;0.40;0.40;0.00;0.00;0.0;Matches;28a65a2c
114;Florian Müller;de GER;GK;Mainz 05;de Bundesliga;21;1997;13;12;1125;12.5;2.00;2.00;5.28;3.20;65.2;0.24;0.16;0.56;0.16;16.7;0.24;0.16;0.08;0.00;33.3;Matches;cbac6ec9
