;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
1;Antonio Adán;es ESP;GK;Atlético Madrid;es La Liga;32;1987;1;0;25;0.3;0.00;0.00;3.33;3.33;100.0;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;65d62814
2;Adrián;es ESP;GK;Liverpool;eng Premier League;32;1987;11;9;875;9.7;1.03;1.03;2.78;1.75;63.0;0.93;0.00;0.00;0.21;22.2;0.00;0.00;0.00;0.00;;Matches;f76e6b4e
3;Rúnar Alex Rúnarsson;is ISL;GK;Dijon;fr Ligue 1;24;1995;11;9;900;10.0;1.70;1.70;4.70;3.10;63.8;0.10;0.20;0.60;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;8fa8f8d2
4;Enrico Alfonso;it ITA;GK;Brescia;it Serie A;31;1988;4;4;279;3.1;1.29;1.29;3.55;2.26;63.6;0.32;0.00;0.97;0.32;25.0;0.00;0.00;0.00;0.00;;Matches;95adf1e1
5;Alisson;br BRA;GK;Liverpool;eng Premier League;26;1992;29;29;2543;28.3;0.81;0.81;2.83;2.05;72.5;0.81;0.11;0.11;0.46;44.8;0.04;0.04;0.00;0.00;0.0;Matches;7a2e46a8
6;Sergio Álvarez;es ESP;GK;Celta Vigo;es La Liga;32;1986;4;4;180;2.0;0.50;0.50;1.50;1.00;66.7;0.50;0.50;0.00;0.50;25.0;0.00;0.00;0.00;0.00;;Matches;8875b8c9
7;Lorenzo Andrenacci;it ITA;GK;Brescia;it Serie A;24;1995;6;5;531;5.9;2.71;2.71;7.46;4.75;63.6;0.00;0.17;0.68;0.00;0.0;0.17;0.00;0.00;0.17;;Matches;fe471a89
8;Miguel Ángel Moyá;es ESP;GK;Real Sociedad;es La Liga;35;1984;13;13;1170;13.0;1.23;1.23;3.92;2.77;68.6;0.38;0.31;0.31;0.23;23.1;0.08;0.00;0.00;0.08;;Matches;011d8c56
9;Alphonse Areola;fr FRA;GK;Real Madrid;es La Liga;26;1993;4;4;360;4.0;1.25;1.25;3.50;2.25;78.6;0.75;0.25;0.00;0.25;25.0;0.50;0.50;0.00;0.00;0.0;Matches;2f965a72
10;Alphonse Areola;fr FRA;GK;Paris S-G;fr Ligue 1;26;1993;3;3;270;3.0;0.67;0.67;1.00;0.33;33.3;0.67;0.00;0.33;0.67;66.7;0.00;0.00;0.00;0.00;;Matches;2f965a72
11;Kepa Arrizabalaga;es ESP;GK;Chelsea;eng Premier League;24;1994;33;33;2970;33.0;1.42;1.42;3.00;1.64;54.5;0.55;0.12;0.33;0.24;24.2;0.06;0.06;0.00;0.00;0.0;Matches;28d596a0
12;Sergio Asenjo;es ESP;GK;Villarreal;es La Liga;30;1989;34;34;3060;34.0;1.21;1.21;4.26;3.06;75.2;0.50;0.12;0.38;0.32;32.4;0.18;0.15;0.03;0.00;16.7;Matches;9f0ea33f
13;Emil Audero;it ITA;GK;Sampdoria;it Serie A;22;1997;36;36;3240;36.0;1.67;1.67;4.58;3.03;67.9;0.33;0.14;0.53;0.25;25.0;0.22;0.19;0.00;0.03;0.0;Matches;649b01d8
14;Stefan Bajic;fr FRA;GK;Saint-Étienne;fr Ligue 1;17;2001;1;1;90;1.0;1.00;1.00;2.00;1.00;50.0;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;be13e5a8
15;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;29;1990;30;30;2700;30.0;1.63;1.63;4.87;3.23;69.9;0.43;0.23;0.33;0.23;23.3;0.23;0.17;0.07;0.00;28.6;Matches;47064058
16;Asmir Begovi?;ba BIH;GK;Milan;it Serie A;32;1987;2;1;129;1.4;2.14;2.09;5.00;2.86;71.4;0.00;0.00;0.71;0.00;0.0;0.71;0.71;0.00;0.00;0.0;Matches;7b4de647
17;Walter Benítez;ar ARG;GK;Nice;fr Ligue 1;26;1993;26;26;2340;26.0;1.38;1.38;5.00;3.65;75.4;0.35;0.31;0.35;0.15;15.4;0.23;0.15;0.04;0.04;20.0;Matches;8a2248b4
18;Etrit Berisha;al ALB;GK;SPAL;it Serie A;30;1989;26;26;2340;26.0;1.69;1.69;5.65;4.04;74.1;0.19;0.12;0.69;0.12;11.5;0.23;0.23;0.00;0.00;0.0;Matches;ee833569
19;Paul Bernardoni;fr FRA;GK;Nîmes;fr Ligue 1;22;1997;25;25;2204;24.5;1.55;1.55;4.41;2.90;68.5;0.29;0.16;0.57;0.24;24.0;0.16;0.16;0.00;0.00;0.0;Matches;28dabd43
20;Dimitry Bertaud;fr FRA;GK;Montpellier;fr Ligue 1;21;1998;3;3;196;2.2;1.36;1.38;2.27;0.91;40.0;0.00;0.00;1.36;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;380a15e2
21;Rubén Blanco;es ESP;GK;Celta Vigo;es La Liga;24;1995;33;33;2960;32.9;1.31;1.31;4.10;2.80;71.9;0.18;0.43;0.40;0.30;30.3;0.15;0.15;0.00;0.00;0.0;Matches;967f34d3
22;Yassine Bounou;ma MAR;GK;Sevilla;es La Liga;28;1991;6;5;495;5.5;0.55;0.55;3.64;3.09;90.0;0.73;0.18;0.00;0.73;80.0;0.18;0.18;0.00;0.00;0.0;Matches;f6798fc3
23;Federico Brancolini;it ITA;GK;Fiorentina;it Serie A;18;2001;1;0;6;0.1;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;10.0;;0.00;0.00;0.00;0.00;;Matches;d4890c25
24;Claudio Bravo;cl CHI;GK;Manchester City;eng Premier League;36;1983;4;3;347;3.9;1.79;1.82;3.85;2.05;53.3;0.51;0.00;0.26;0.26;33.3;0.00;0.00;0.00;0.00;;Matches;10072610
25;Gianluigi Buffon;it ITA;GK;Juventus;it Serie A;41;1978;9;9;810;9.0;1.11;1.11;3.67;2.56;72.7;0.78;0.11;0.11;0.11;11.1;0.22;0.11;0.00;0.11;0.0;Matches;e40d028b
26;Roman Bürki;ch SUI;GK;Dortmund;de Bundesliga;28;1990;31;31;2770;30.8;1.30;1.30;3.08;1.88;61.1;0.62;0.16;0.23;0.39;38.7;0.10;0.10;0.00;0.00;0.0;Matches;9d12e142
27;Ludovic Butelle;fr FRA;GK;Angers;fr Ligue 1;36;1983;26;26;2340;26.0;1.23;1.23;3.19;1.96;65.1;0.38;0.23;0.38;0.42;42.3;0.12;0.12;0.00;0.00;0.0;Matches;26975a92
28;Marcin Bu?ka;pl POL;GK;Paris S-G;fr Ligue 1;19;1999;1;1;90;1.0;0.00;0.00;2.00;2.00;100.0;1.00;0.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;db87a2c4
29;Willy Caballero;ar ARG;GK;Chelsea;eng Premier League;37;1981;5;5;450;5.0;1.40;1.40;3.20;2.00;56.3;0.40;0.40;0.20;0.20;20.0;0.00;0.00;0.00;0.00;;Matches;a179d516
30;Matis Carvalho;pt POR;GK;Montpellier;fr Ligue 1;20;1999;1;0;71;0.8;5.00;5.07;10.0;6.25;50.0;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;8608f269
31;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;27;1992;26;26;2340;26.0;1.46;1.46;4.04;2.58;67.6;0.42;0.23;0.35;0.19;19.2;0.15;0.15;0.00;0.00;0.0;Matches;db401046
32;Churripi;es ESP;GK;Valladolid;es La Liga;25;1994;3;3;244;2.7;1.11;1.11;4.81;3.70;76.9;0.37;0.00;0.74;0.37;33.3;0.00;0.00;0.00;0.00;;Matches;81a606fc
33;Jasper Cillessen;nl NED;GK;Valencia;es La Liga;30;1989;24;24;2096;23.3;1.29;1.29;4.68;3.35;78.0;0.43;0.30;0.30;0.21;20.8;0.34;0.26;0.09;0.00;25.0;Matches;04ac8285
34;Yannis Clementia;mq MTQ;GK;Nice;fr Ligue 1;22;1997;2;2;180;2.0;1.00;1.00;3.50;2.50;85.7;1.00;0.00;0.00;0.00;0.0;0.50;0.50;0.00;0.00;0.0;Matches;7800bdb8
35;Simone Colombi;it ITA;GK;Parma;it Serie A;28;1991;4;4;360;4.0;1.00;1.00;4.75;3.75;84.2;0.25;0.25;0.50;0.25;25.0;0.50;0.25;0.00;0.25;0.0;Matches;72be9309
36;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;32;1987;31;31;2790;31.0;1.77;1.77;4.68;2.97;66.9;0.39;0.16;0.45;0.16;16.1;0.26;0.23;0.03;0.00;12.5;Matches;8cabdc1e
37;Angelo da Costa Júnior;br BRA;GK;Bologna;it Serie A;35;1983;1;1;90;1.0;1.00;1.00;2.00;1.00;50.0;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;18736214
38;Benoît Costil;fr FRA;GK;Bordeaux;fr Ligue 1;32;1987;28;28;2520;28.0;1.21;1.21;3.86;2.64;70.4;0.32;0.36;0.32;0.21;21.4;0.11;0.07;0.04;0.00;33.3;Matches;2434f24a
39;Thibaut Courtois;be BEL;GK;Real Madrid;es La Liga;27;1992;34;34;3060;34.0;0.59;0.59;2.82;2.24;79.2;0.68;0.24;0.09;0.53;52.9;0.00;0.00;0.00;0.00;;Matches;1840e36d
40;Alessio Cragno;it ITA;GK;Cagliari;it Serie A;25;1994;16;16;1440;16.0;1.31;1.31;5.56;4.25;77.5;0.13;0.38;0.50;0.19;18.8;0.13;0.06;0.06;0.00;50.0;Matches;f554e29b
41;Iván Cuéllar;es ESP;GK;Leganés;es La Liga;35;1984;27;27;2429;27.0;1.22;1.22;3.67;2.41;67.7;0.26;0.33;0.41;0.26;25.9;0.07;0.04;0.04;0.00;50.0;Matches;75751c99
