;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
9;Amir Abrashi;al ALB;MF;Freiburg;de Bundesliga;29;1990;7.4;37.8;44.6;84.8;544.5;124.2;21.9;24.1;91.0;13.6;15.1;90.2;1.35;2.43;55.6;0.00;0.01;0.03;-0.01;0.54;3.24;0.54;0.41;3.65;Matches;1c08a3c8
10;Francesco Acerbi;it ITA;DF;Lazio;it Serie A;31;1988;35.1;52.5;59.1;89.0;1084.0;408.6;18.1;19.5;92.7;25.7;27.6;93.1;7.95;10.6;75.2;0.06;0.05;0.05;0.01;0.23;4.25;0.43;0.14;4.27;Matches;b96b595c
11;Che Adams;sct SCO;FW;Southampton;eng Premier League;23;1996;12.3;13.2;21.4;61.6;186.3;42.4;7.89;10.1;78.2;3.58;5.93;60.3;0.73;1.54;47.4;0.16;0.14;0.05;0.02;1.06;0.73;0.24;0.00;1.30;Matches;f2bf1b0f
12;Tyler Adams;us USA;MFDF;RB Leipzig;de Bundesliga;20;1999;10.6;55.1;66.3;83.1;826.4;224.9;29.2;32.9;88.5;20.2;23.1;87.3;2.45;4.25;57.8;0.00;0.06;0.06;-0.06;0.66;3.30;0.94;0.28;3.21;Matches;2b09d998
13;Sargis Adamyan;am ARM;FWMF;Hoffenheim;de Bundesliga;26;1993;8.3;15.4;21.7;71.1;202.0;42.3;10.1;12.7;80.0;3.98;4.94;80.5;0.48;0.84;57.1;0.12;0.07;0.10;0.05;0.72;0.72;0.60;0.24;1.93;Matches;2,29E+101
14;Antonio Adán;es ESP;GK;Atlético Madrid;es La Liga;32;1987;0.3;13.3;20.0;66.7;333.3;280.0;6.67;6.67;100.0;3.33;3.33;100.0;3.33;10.0;33.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;65d62814
15;Bobby Adekanye;nl NED;FW;Lazio;it Serie A;20;1999;2.1;18.1;20.5;88.4;238.1;30.5;9.52;11.4;83.3;5.71;5.71;100.0;0.95;0.95;100.0;0.00;0.10;0.05;-0.10;1.43;0.00;0.48;0.48;0.95;Matches;3ed84b2c
16;Claud Adjapong;it ITA;DF;Hellas Verona;it Serie A;21;1998;2.6;22.3;31.9;69.9;327.7;120.8;13.5;16.2;83.3;6.15;9.62;64.0;1.15;2.69;42.9;0.00;0.00;0.00;0.00;0.00;1.15;0.00;0.00;1.92;Matches;ce5b170a
17;Amine Adli;fr FRA;MFFW;Toulouse;fr Ligue 1;19;2000;0.5;40.0;52.0;76.9;594.0;210.0;22.0;24.0;91.7;12.0;14.0;85.7;4.00;12.0;33.3;0.00;0.20;0.00;-0.20;4.00;6.00;2.00;0.00;6.00;Matches;dcfb17f4
18;Yacine Adli;fr FRA;MF;Bordeaux;fr Ligue 1;19;2000;11.3;39.6;50.5;78.5;658.1;163.3;19.9;22.7;87.9;14.6;17.9;81.7;3.89;6.73;57.9;0.27;0.19;0.12;0.07;1.68;4.51;0.44;0.00;5.75;Matches;26777636
19;Adrián;es ESP;GK;Liverpool;eng Premier League;32;1987;9.7;24.5;32.1;76.5;644.4;427.7;4.95;4.95;100.0;11.5;11.6;99.1;8.04;15.3;52.7;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;Matches;f76e6b4e
20;Aritz Aduriz;es ESP;FWMF;Athletic Club;es La Liga;38;1981;2.3;13.9;24.8;56.1;182.2;29.6;9.13;13.9;65.6;2.61;5.65;46.2;0.87;2.17;40.0;0.00;0.00;0.00;0.00;0.00;1.74;0.00;0.00;2.61;Matches;2,93E+06
21;Lumor Agbenyenu;gh GHA;DF;Mallorca;es La Liga;22;1996;20.1;34.4;48.4;71.1;526.1;246.2;18.7;21.6;86.4;12.5;16.9;73.8;1.89;5.37;35.2;0.00;0.08;0.08;-0.08;0.80;2.19;1.14;0.60;3.43;Matches;073b1b37
22;Martin Agirregabiria;es ESP;DF;Alavés;es La Liga;23;1996;23.3;30.6;44.1;69.5;496.9;232.6;16.1;19.3;83.3;11.5;16.1;71.5;2.23;5.49;40.6;0.04;0.03;0.03;0.01;0.43;1.59;0.52;0.21;2.40;Matches;355c883a
23;Lucien Agoume;fr FRA;MF;Inter;it Serie A;17;2002;0.8;43.8;47.5;92.1;773.8;260.0;17.5;17.5;100.0;21.3;23.8;89.5;5.00;5.00;100.0;0.00;0.13;0.13;-0.13;1.25;6.25;2.50;1.25;8.75;Matches;8bc8829a
24;Kevin Agudelo;co COL;MFFW;Fiorentina;it Serie A;20;1998;0.7;41.4;52.9;78.4;575.7;192.9;25.7;32.9;78.3;11.4;12.9;88.9;2.86;4.29;66.7;0.00;0.14;0.14;-0.14;2.86;2.86;1.43;0.00;5.71;Matches;46fa7204
25;Kevin Agudelo;co COL;MFFW;Genoa;it Serie A;20;1998;7.4;32.3;39.6;81.6;442.8;120.7;19.3;21.8;88.8;9.46;10.8;87.5;1.62;2.43;66.7;0.14;0.22;0.18;-0.08;1.62;2.84;0.68;0.00;5.54;Matches;46fa7204
26;Nayef Aguerd;ma MAR;DF;Dijon;fr Ligue 1;23;1996;10.6;46.4;56.3;82.4;1017.0;416.1;15.1;16.1;93.6;22.5;25.4;88.8;8.49;13.5;62.9;0.00;0.00;0.00;0.00;0.00;2.17;0.00;0.00;2.55;Matches;288e1e13
27;Sergio Agüero;ar ARG;FW;Manchester City;eng Premier League;31;1988;16.1;17.8;22.7;78.4;189.4;41.9;11.6;13.5;85.3;3.73;4.72;78.9;0.12;0.31;40.0;0.19;0.14;0.16;0.04;1.12;0.93;1.18;0.00;2.11;Matches;4d034881
28;Ruben Aguilar;fr FRA;DF;Monaco;fr Ligue 1;26;1993;11.9;55.6;66.1;84.1;812.9;291.1;33.5;35.5;94.5;17.8;21.1;84.5;2.61;5.80;44.9;0.17;0.15;0.16;0.02;1.51;3.36;2.35;1.26;4.37;Matches;3dd738a1
29;Emmanuel Agyemang-Badu;gh GHA;MF;Hellas Verona;it Serie A;28;1990;2.6;34.6;40.0;86.5;600.4;93.5;15.8;17.3;91.1;15.4;17.7;87.0;3.08;3.85;80.0;0.00;0.00;0.04;0.00;0.38;1.92;0.38;0.00;2.69;Matches;fe0b8f0e
30;Jean-Eudes Aholou;ci CIV;MF;Saint-Étienne;fr Ligue 1;25;1994;7.0;37.1;44.3;83.9;597.9;121.1;17.4;20.3;85.9;16.3;17.4;93.4;2.00;4.14;48.3;0.14;0.07;0.01;0.07;0.71;2.43;0.00;0.00;4.86;Matches;48b28bfd
31;Joseph Aidoo;gh GHA;DF;Celta Vigo;es La Liga;23;1995;27.8;38.8;45.0;86.2;774.7;252.0;11.0;12.1;90.8;23.3;25.5;91.4;4.03;6.01;67.1;0.04;0.03;0.02;0.01;0.11;2.05;0.07;0.00;3.20;Matches;18abe173
32;Ola Aina;ng NGA;DF;Torino;it Serie A;22;1996;23.1;37.3;51.3;72.7;598.5;238.0;21.1;24.4;86.5;12.2;16.4;74.4;3.33;7.58;44.0;0.09;0.11;0.08;-0.02;0.95;2.47;0.74;0.56;3.46;Matches;246d153b
33;Youssef Aït Bennasser;ma MAR;MF;Bordeaux;fr Ligue 1;23;1996;6.0;58.3;67.7;86.2;903.2;272.7;31.7;34.3;92.2;21.7;23.8;90.9;3.17;5.33;59.4;0.17;0.02;0.07;0.15;0.67;6.00;0.50;0.00;7.83;Matches;c46fa34c
34;Rayan Aït Nouri;dz ALG;DF;Angers;fr Ligue 1;18;2001;14.2;43.5;56.9;76.5;649.7;289.7;22.6;24.9;90.7;15.5;20.1;76.9;3.03;6.90;43.9;0.14;0.05;0.06;0.09;0.63;2.39;1.20;0.92;3.94;Matches;9b398aea
35;Albian Ajeti;ch SUI;FW;West Ham;eng Premier League;22;1997;1.5;8.00;10.0;80.0;78.0;4.00;6.00;8.00;75.0;0.67;0.67;100.0;0.00;0.00;;0.00;0.07;0.00;-0.07;1.33;0.67;0.00;0.00;0.00;Matches;2b1c4abd
36;Ludovic Ajorque;fr FRA;FW;Strasbourg;fr Ligue 1;25;1994;22.9;15.5;22.5;68.6;215.0;30.9;8.12;11.5;70.7;4.76;6.59;72.2;1.05;1.66;63.2;0.17;0.12;0.10;0.05;0.70;0.66;0.57;0.13;1.31;Matches;462475ed
37;Manuel Akanji;ch SUI;DF;Dortmund;de Bundesliga;24;1995;25.7;68.6;75.8;90.6;1269.8;446.9;25.5;27.5;92.9;36.5;38.4;95.0;5.88;8.29;70.9;0.04;0.02;0.03;0.02;0.12;3.74;0.08;0.04;4.05;Matches;89ac64a6
38;Marley Aké;fr FRA;FWMF;Marseille;fr Ligue 1;18;2001;1.1;22.7;25.5;89.3;331.8;44.5;10.9;11.8;92.3;7.27;9.09;80.0;1.82;1.82;100.0;0.00;0.00;0.00;0.00;0.00;0.91;0.00;0.00;3.64;Matches;414e1f69
39;Nathan Aké;nl NED;DF;Bournemouth;eng Premier League;24;1995;27.8;38.8;44.5;87.2;694.8;251.4;15.6;17.0;92.2;19.9;21.9;91.1;2.95;4.75;62.1;0.07;0.08;0.01;-0.01;0.25;2.09;0.25;0.00;2.91;Matches;eaeca114
40;Chadrac Akolo;cd COD;FWMF;Amiens;fr Ligue 1;24;1995;6.0;28.2;34.8;80.9;386.5;110.7;17.3;19.3;89.7;9.17;11.5;79.7;0.83;1.67;50.0;0.17;0.22;0.13;-0.05;1.00;2.83;0.50;0.00;4.33;Matches;debc2f28
41;Kevin Akpoguma;ng NGA;DF;Hoffenheim;de Bundesliga;24;1995;12.7;52.3;59.6;87.7;900.8;306.5;21.6;23.1;93.5;27.0;29.2;92.5;3.07;6.06;50.6;0.00;0.01;0.01;-0.01;0.16;2.20;0.08;0.00;2.52;Matches;6ec6fde0
42;David Alaba;at AUT;DF;Bayern Munich;de Bundesliga;27;1992;27.8;81.4;90.5;89.9;1513.7;530.1;31.0;32.7;94.8;40.6;43.5;93.4;8.35;11.6;72.0;0.04;0.09;0.10;-0.05;0.68;10.0;0.79;0.18;10.3;Matches;05439de2
43;Sofiane Alakouch;ma MAR;DF;Nîmes;fr Ligue 1;21;1998;15.6;41.5;51.2;81.2;664.5;268.3;21.9;24.1;91.0;16.7;19.6;85.2;2.56;5.06;50.6;0.00;0.03;0.03;-0.03;0.71;2.95;0.83;0.45;5.00;Matches;5,31E+70
44;Lucas Alario;ar ARG;FW;Leverkusen;de Bundesliga;26;1992;13.0;16.8;23.8;70.6;215.4;29.5;10.2;13.6;74.6;3.08;4.08;75.5;1.15;1.54;75.0;0.08;0.12;0.07;-0.05;1.00;0.77;0.54;0.00;1.23;Matches;834d0be5
45;Jordi Alba;es ESP;DF;Barcelona;es La Liga;30;1989;24.3;76.5;88.4;86.5;1084.0;320.4;45.6;49.5;92.2;23.3;26.8;86.8;3.91;5.64;69.3;0.21;0.18;0.17;0.03;1.23;4.94;1.65;0.45;6.17;Matches;4,60E+197
46;Luis Alberto;es ESP;MF;Lazio;it Serie A;26;1992;34.6;51.8;66.4;78.1;872.6;312.4;24.4;27.5;88.7;19.8;23.4;84.6;5.66;10.5;53.8;0.43;0.33;0.26;0.10;3.06;8.76;2.60;0.20;10.7;Matches;5294a83f
47;Raúl Albiol;es ESP;DF;Villarreal;es La Liga;33;1985;36.0;45.4;54.3;83.7;1024.8;353.4;10.8;12.4;86.6;25.3;27.5;91.8;8.89;13.2;67.2;0.00;0.01;0.02;-0.01;0.11;2.72;0.14;0.03;3.28;Matches;4bd414c1
48;Marc Albrighton;eng ENG;MFDF;Leicester City;eng Premier League;29;1989;9.6;35.3;52.0;67.9;576.3;212.0;18.6;22.5;82.9;11.5;15.1;75.9;3.75;10.1;37.1;0.31;0.23;0.17;0.08;1.98;4.06;2.19;0.83;4.69;Matches;b827d5b3
49;Paco Alcácer;es ESP;FW;Villarreal;es La Liga;25;1993;10.3;17.4;22.0;78.9;213.3;31.7;11.2;12.8;87.1;3.69;5.24;70.4;0.58;0.78;75.0;0.10;0.14;0.13;-0.04;0.87;0.49;0.49;0.00;1.46;Matches;a7a9d95a
50;Paco Alcácer;es ESP;FW;Dortmund;de Bundesliga;25;1993;5.9;13.7;18.8;73.0;168.5;28.8;7.12;9.49;75.0;3.22;4.58;70.4;0.85;1.53;55.6;0.17;0.15;0.08;0.02;0.85;0.85;0.17;0.00;1.36;Matches;a7a9d95a
51;Thiago Alcántara;es ESP;MF;Bayern Munich;de Bundesliga;28;1991;19.7;82.8;92.0;90.0;1548.4;430.2;33.4;35.9;93.1;35.6;38.2;93.2;11.3;13.9;81.0;0.00;0.05;0.11;-0.05;1.02;9.59;0.71;0.00;11.7;Matches;77e84962
52;Rubén Alcaraz;es ESP;MF;Valladolid;es La Liga;28;1991;21.4;38.8;49.8;77.9;801.4;234.4;14.8;17.1;86.3;16.5;19.0;86.9;6.92;11.6;59.7;0.09;0.05;0.06;0.05;0.75;4.63;0.19;0.05;4.67;Matches;036bba5f
53;Toby Alderweireld;be BEL;DF;Tottenham;eng Premier League;30;1989;32.9;49.5;61.1;81.1;1025.5;315.8;14.6;16.1;90.4;28.1;31.0;90.5;6.57;12.6;52.2;0.06;0.04;0.04;0.02;0.33;3.34;0.40;0.06;2.92;Matches;f7d50789
54;Haitam Aleesami;no NOR;DF;Amiens;fr Ligue 1;28;1991;21.3;42.5;56.1;75.8;629.2;273.0;24.6;28.0;87.6;14.8;20.9;71.0;1.78;4.23;42.2;0.05;0.06;0.06;-0.01;0.66;3.52;0.47;0.19;5.63;Matches;4085f08e
55;Álex Alegría;es ESP;FW;Mallorca;es La Liga;26;1992;1.2;17.5;28.3;61.8;246.7;24.2;12.5;16.7;75.0;1.67;4.17;40.0;1.67;1.67;100.0;0.00;0.00;0.00;0.00;0.00;0.83;0.00;0.00;2.50;Matches;46166b49
56;Carles Aleñá;es ESP;MF;Barcelona;es La Liga;21;1998;1.9;74.2;82.6;89.8;1187.9;292.6;39.5;41.1;96.2;24.7;26.3;94.0;6.84;10.0;68.4;0.00;0.00;0.11;0.00;0.00;8.95;0.53;0.00;8.42;Matches;6c811eb7
57;Carles Aleñá;es ESP;MFFW;Betis;es La Liga;21;1998;8.2;40.6;47.9;84.7;711.0;155.7;17.8;20.4;87.4;17.6;19.6;89.4;3.78;4.76;79.5;0.00;0.01;0.04;-0.01;0.49;4.15;0.24;0.00;6.10;Matches;6c811eb7
58;Rúnar Alex Rúnarsson;is ISL;GK;Dijon;fr Ligue 1;24;1995;10.0;24.7;33.0;74.8;705.4;553.5;3.80;3.90;97.4;12.8;13.1;97.7;8.10;15.9;50.9;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;Matches;8fa8f8d2
59;Trent Alexander-Arnold;eng ENG;DF;Liverpool;eng Premier League;20;1998;35.3;64.5;91.5;70.5;1225.2;455.3;28.1;31.0;90.7;25.8;35.4;73.0;8.92;19.8;45.0;0.37;0.31;0.27;0.06;2.46;5.38;2.49;0.88;7.00;Matches;cd1acf9d
60;Enrico Alfonso;it ITA;GK;Brescia;it Serie A;31;1988;3.1;18.7;25.8;72.5;476.8;335.2;3.55;3.55;100.0;10.0;10.3;96.9;5.16;11.9;43.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;95adf1e1
61;Rachid Alioui;ma MAR;FW;Angers;fr Ligue 1;27;1992;17.4;19.8;27.4;72.5;262.0;37.0;11.4;14.6;78.3;5.75;7.70;74.6;0.80;1.44;56.0;0.06;0.07;0.09;-0.02;1.03;1.09;0.52;0.11;2.01;Matches;bdedd861
62;Alisson;br BRA;GK;Liverpool;eng Premier League;26;1992;28.3;29.0;33.5;86.6;692.9;446.3;7.21;7.21;100.0;14.6;15.0;97.6;7.03;11.1;63.4;0.04;0.01;0.00;0.02;0.04;0.25;0.00;0.00;0.04;Matches;7a2e46a8
63;Allan;br BRA;MF;Napoli;it Serie A;28;1991;14.2;51.1;59.3;86.2;836.8;226.5;25.8;28.2;91.5;19.2;21.1;91.0;4.58;5.99;76.5;0.07;0.08;0.06;-0.01;1.06;5.21;0.70;0.14;5.77;Matches;cc700722
64;Dele Alli;eng ENG;MFFW;Tottenham;eng Premier League;23;1996;20.5;30.8;41.0;75.1;431.5;106.0;16.8;20.2;83.3;10.3;12.3;84.1;1.37;2.73;50.0;0.20;0.17;0.14;0.02;1.12;2.10;1.07;0.00;3.37;Matches;cea4ee8f
65;Miguel Almirón;py PAR;MFFW;Newcastle Utd;eng Premier League;25;1994;33.6;20.3;26.3;77.0;275.7;64.2;11.8;13.6;86.7;5.71;7.38;77.4;1.10;1.93;56.9;0.06;0.09;0.06;-0.03;0.92;1.19;0.63;0.15;2.29;Matches;862a1c15
66;Marcos Alonso;es ESP;DF;Chelsea;eng Premier League;28;1990;15.9;57.6;71.4;80.6;878.1;257.2;31.2;35.5;87.8;21.8;26.0;84.0;2.96;6.04;49.0;0.13;0.16;0.15;-0.04;1.57;2.45;1.82;0.88;4.34;Matches;f4290206
67;Mickaël Alphonse;gp GLP;DF;Dijon;fr Ligue 1;30;1989;15.3;32.1;48.1;66.7;572.2;205.3;13.7;16.4;83.3;14.6;20.1;72.6;3.33;8.56;38.9;0.07;0.05;0.05;0.02;0.52;2.09;0.78;0.39;2.88;Matches;0a63446f
68;Sergio Álvarez;es ESP;MFDF;Eibar;es La Liga;27;1992;12.7;24.3;34.5;70.3;471.9;131.7;8.74;11.4;76.6;12.1;14.9;81.5;3.07;6.77;45.3;0.00;0.01;0.02;-0.01;0.39;2.91;0.16;0.00;3.15;Matches;88d91621
69;Sergio Álvarez;es ESP;GK;Celta Vigo;es La Liga;32;1986;2.0;19.5;27.0;72.2;478.0;318.0;6.00;6.00;100.0;7.50;8.00;93.8;6.00;13.0;46.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;8875b8c9
70;Yeray Álvarez;es ESP;DF;Athletic Club;es La Liga;24;1995;31.2;37.3;48.1;77.6;748.1;282.3;12.1;14.2;85.6;19.3;22.2;86.7;5.26;9.90;53.1;0.00;0.03;0.01;-0.03;0.16;2.44;0.16;0.06;3.53;Matches;3ecc11d8
71;Bruno Alves;pt POR;DF;Parma;it Serie A;37;1981;29.7;37.3;45.4;82.2;948.4;383.0;6.09;7.54;80.8;20.3;22.7;89.5;10.6;14.1;74.8;0.00;0.02;0.02;-0.02;0.24;2.49;0.13;0.03;3.33;Matches;585a73a8
72;Steven Alzate;co COL;MFDF;Brighton;eng Premier League;20;1998;13.2;42.1;50.1;84.1;627.5;153.9;23.9;26.8;89.3;15.9;18.3;87.1;1.52;2.12;71.4;0.00;0.05;0.07;-0.05;1.06;2.12;1.29;0.23;5.00;Matches;ad1f61f3
73;Ibrahim Amadou;fr FRA;DFMF;Norwich City;eng Premier League;26;1993;8.4;38.6;44.5;86.6;701.9;217.4;15.1;17.0;88.8;18.6;20.7;89.7;4.29;5.60;76.6;0.00;0.00;0.00;0.00;0.12;1.19;0.12;0.00;1.55;Matches;9260926b
74;Ibrahim Amadou;fr FRA;MF;Leganés;es La Liga;26;1993;8.6;25.8;32.6;79.3;383.3;86.4;14.1;16.4;85.8;9.42;11.4;82.7;1.16;2.09;55.6;0.00;0.00;0.01;0.00;0.23;2.21;0.12;0.00;2.33;Matches;9260926b
75;Romain Amalfitano;fr FRA;MF;Dijon;fr Ligue 1;29;1989;18.8;37.3;47.8;78.2;689.4;232.1;16.2;18.4;88.1;16.2;19.6;82.6;4.47;8.09;55.3;0.05;0.06;0.07;-0.01;0.64;3.88;0.74;0.21;5.00;Matches;d7bf3d19
76;Amath;sn SEN;MF;Getafe;es La Liga;23;1996;0.7;15.7;24.3;64.7;237.1;72.9;10.0;11.4;87.5;2.86;2.86;100.0;1.43;1.43;100.0;0.00;0.00;0.00;0.00;0.00;4.29;0.00;0.00;4.29;Matches;f3b1d9a2
77;Jordan Amavi;fr FRA;DF;Marseille;fr Ligue 1;25;1994;24.0;40.6;51.5;78.8;645.5;218.9;20.6;23.7;87.0;15.0;19.2;78.5;3.33;5.25;63.5;0.04;0.04;0.05;0.00;0.50;1.75;0.46;0.17;3.00;Matches;22721b88
78;Thierry Ambrose;gp GLP;FW;Metz;fr Ligue 1;22;1997;6.1;22.3;31.3;71.2;358.2;103.8;11.3;14.3;79.3;8.36;10.2;82.3;1.80;3.61;50.0;0.00;0.08;0.10;-0.08;1.97;2.62;1.15;0.33;3.77;Matches;2945f4b7
79;Kelvin Amian;fr FRA;DF;Toulouse;fr Ligue 1;21;1998;18.1;30.2;37.3;80.8;480.4;189.1;15.1;16.6;90.7;11.6;13.8;84.3;2.38;4.75;50.0;0.11;0.03;0.03;0.08;0.28;2.32;0.44;0.11;3.76;Matches;bcc81786
80;Nadiem Amiri;de GER;MFFW;Leverkusen;de Bundesliga;22;1996;20.6;43.0;55.6;77.4;669.3;185.5;23.0;25.6;89.8;14.0;17.0;82.3;3.64;7.72;47.2;0.10;0.31;0.22;-0.21;2.62;3.30;1.17;0.24;5.15;Matches;555d5edd
81;Ethan Ampadu;wls WAL;DF;RB Leipzig;de Bundesliga;18;2000;0.9;83.3;92.2;90.4;1355.6;441.1;24.4;26.7;91.7;44.4;47.8;93.0;3.33;5.56;60.0;0.00;0.00;0.00;0.00;0.00;3.33;0.00;0.00;3.33;Matches;10b9fa99
82;Opoku Ampomah;gh GHA;FWMF;Düsseldorf;de Bundesliga;23;1996;5.6;10.7;18.6;57.7;194.5;51.1;6.07;7.68;79.1;2.50;4.64;53.8;1.96;3.39;57.9;0.00;0.05;0.05;-0.05;1.25;1.43;0.71;0.36;2.14;Matches;e7199efb
83;Sofyan Amrabat;ma MAR;MF;Hellas Verona;it Serie A;22;1996;32.4;46.6;53.6;86.9;864.8;202.4;17.8;19.9;89.6;22.0;23.9;92.1;5.25;6.88;76.2;0.03;0.07;0.06;-0.04;0.90;4.72;0.90;0.28;6.14;Matches;5a2cb25d
84;Joachim Andersen;dk DEN;DF;Lyon;fr Ligue 1;23;1996;17.0;70.3;78.4;89.6;1457.9;440.9;18.4;20.3;90.4;42.4;44.5;95.4;8.94;12.3;72.7;0.00;0.01;0.01;-0.01;0.24;3.35;0.12;0.00;4.65;Matches;e34fc66d
85;Djavan Anderson;nl NED;FWDF;Lazio;it Serie A;24;1995;1.9;30.5;34.7;87.9;484.7;73.2;13.2;13.7;96.2;13.7;16.3;83.9;2.11;2.11;100.0;0.00;0.00;0.05;0.00;0.00;0.53;0.53;0.53;0.00;Matches;ca241ad3
86;Felipe Anderson;br BRA;MFFW;West Ham;eng Premier League;26;1993;16.6;43.8;56.9;76.9;666.4;182.6;26.5;31.7;83.5;12.5;15.5;80.5;3.49;5.36;65.2;0.24;0.19;0.17;0.05;1.51;3.37;2.05;0.24;6.02;Matches;9f1893b9
87;Sebastian Andersson;se SWE;FW;Union Berlin;de Bundesliga;28;1991;29.8;15.5;26.8;57.9;186.4;38.5;9.40;14.2;66.0;3.79;7.01;54.1;0.34;0.91;37.0;0.03;0.06;0.05;-0.03;0.77;1.41;0.30;0.07;1.81;Matches;b4cf5806
88;Florin Andone;ro ROU;FW;Brighton;eng Premier League;26;1993;0.8;8.75;15.0;58.3;88.8;27.5;8.75;10.0;87.5;0.00;2.50;0.0;0.00;0.00;;0.00;0.13;0.00;-0.13;1.25;0.00;0.00;0.00;0.00;Matches;dc008610
89;Benjamin André;fr FRA;MF;Lille;fr Ligue 1;28;1990;22.8;42.3;54.2;78.1;664.1;185.4;20.6;23.9;86.2;15.1;18.8;80.2;3.07;5.22;58.8;0.04;0.04;0.03;0.00;0.66;4.56;0.22;0.13;5.70;Matches;ef9c1c95
90;Lorenzo Andrenacci;it ITA;GK;Brescia;it Serie A;24;1995;5.9;21.0;27.5;76.5;616.1;450.7;3.05;3.05;100.0;10.3;10.3;100.0;7.63;14.1;54.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;fe471a89
91;Robert Andrich;de GER;MF;Union Berlin;de Bundesliga;24;1994;28.6;30.0;42.4;70.6;485.6;181.4;13.6;17.2;79.1;11.9;15.8;75.0;2.48;5.49;45.2;0.07;0.07;0.09;-0.00;1.12;3.81;1.05;0.31;5.28;Matches;e0b113a7
92;Victorien Angban;ci CIV;MF;Metz;fr Ligue 1;22;1996;11.4;47.5;54.4;87.4;796.7;201.6;22.7;25.1;90.6;19.6;21.4;91.8;3.68;5.09;72.4;0.00;0.01;0.03;-0.01;0.26;4.47;0.26;0.00;6.14;Matches;d8992b84
