;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
1;Patrick van Aanholt;nl NED;DF;Crystal Palace;eng Premier League;28;1990;27.9;44.5;57.2;77.8;682.9;294.2;23.9;27.2;88.1;16.8;21.1;79.7;2.62;5.84;44.8;0.07;0.13;0.11;-0.06;1.15;3.19;0.82;0.11;5.13;Matches;5f09991f
2;Max Aarons;eng ENG;DF;Norwich City;eng Premier League;19;2000;36.0;37.0;47.5;77.8;496.6;158.1;24.4;27.3;89.6;9.75;13.0;74.8;1.36;3.36;40.5;0.03;0.11;0.08;-0.08;0.64;1.53;0.78;0.33;2.17;Matches;774cf58b
3;Yunis Abdelhamid;ma MAR;DF;Reims;fr Ligue 1;31;1987;28.0;47.3;56.1;84.3;978.8;368.1;13.2;15.0;88.1;27.2;30.5;89.2;6.61;9.61;68.8;0.00;0.04;0.01;-0.04;0.18;1.89;0.04;0.00;3.43;Matches;32c2d95f
4;Suleiman Abdullahi;ng NGA;FWMF;Union Berlin;de Bundesliga;22;1996;1.7;11.2;24.7;45.2;164.1;58.2;6.47;11.8;55.0;4.12;8.24;50.0;0.59;2.35;25.0;0.00;0.12;0.06;-0.12;0.59;1.18;1.18;0.59;1.76;Matches;abf0cad0
5;Mehdi Abeid;dz ALG;MF;Nantes;fr Ligue 1;26;1992;20.2;39.2;47.9;81.9;643.4;179.9;19.4;21.1;92.0;15.5;17.5;88.4;2.92;6.34;46.1;0.10;0.09;0.08;0.01;1.34;3.96;0.30;0.10;5.15;Matches;a4c3f7af
6;Charles Abi;fr FRA;FW;Saint-Étienne;fr Ligue 1;19;2000;6.9;10.9;19.1;56.8;135.1;33.9;6.67;10.9;61.3;2.32;4.20;55.2;0.58;0.87;66.7;0.00;0.17;0.12;-0.17;1.01;0.43;0.58;0.14;1.45;Matches;469d3d84
7;David Abraham;ar ARG;DF;Eint Frankfurt;de Bundesliga;33;1986;18.8;39.3;48.5;81.0;787.7;295.9;13.2;15.3;86.8;20.2;23.7;85.2;5.59;8.30;67.3;0.00;0.01;0.02;-0.01;0.11;3.51;0.43;0.11;5.27;Matches;565bf0da
8;Tammy Abraham;eng ENG;FW;Chelsea;eng Premier League;21;1997;24.6;11.2;17.0;65.8;142.8;28.3;6.54;8.98;72.9;2.56;3.50;73.3;0.53;0.85;61.9;0.12;0.11;0.08;0.01;0.85;0.69;0.28;0.04;1.38;Matches;f586779e
