;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
153;Emil Audero;it ITA;GK;Sampdoria;it Serie A;26-068;1997;25.0;24.7;36.8;67.1;772.8;569.4;3.64;3.64;100.0;9.84;9.92;99.2;11.2;22.9;48.8;0.00;0.00;0.00;0.00;0.00;0.64;0.00;0.00;0.00;Matches;649b01d8
154;Tommaso Augello;it ITA;DF;Sampdoria;it Serie A;28-209;1994;23.0;37.7;52.6;71.7;652.9;282.5;17.5;19.9;88.0;16.3;22.0;73.8;3.35;6.83;49.0;0.09;0.08;0.10;0.01;1.13;2.48;1.43;1.00;3.57;Matches;3cd3b384
155;Ludwig Augustinsson;se SWE;DF;Aston Villa;eng Premier League;28-340;1994;0.9;28.9;47.8;60.5;467.8;195.6;14.4;17.8;81.3;11.1;17.8;62.5;2.22;8.89;25.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;9fec8860
156;Ludwig Augustinsson;se SWE;DF;Mallorca;es La Liga;28-340;1994;1.3;33.1;48.5;68.3;485.4;183.1;21.5;23.1;93.3;8.46;16.2;52.4;1.54;7.69;20.0;0.00;0.00;0.08;0.00;0.77;0.77;1.54;1.54;2.31;Matches;9fec8860
157;Serge Aurier;ci CIV;DF;Nott'ham Forest;eng Premier League;30-093;1992;15.9;35.7;50.1;71.1;542.7;233.1;20.1;24.6;81.8;12.5;17.7;70.8;2.14;4.72;45.3;0.00;0.06;0.05;-0.06;0.63;2.20;0.75;0.38;3.71;Matches;5c2b4f07
158;Mathias Autret;fr FRA;MFFW;Auxerre;fr Ligue 1;32-026;1991;14.0;31.5;41.6;75.8;649.7;195.7;11.9;14.1;84.3;12.4;15.4;80.5;6.36;9.71;65.4;0.14;0.14;0.14;0.00;1.93;4.14;1.07;0.29;5.14;Matches;7dfbba27
159;Ezequiel Ávila;ar ARG;FWMF;Osasuna;es La Liga;29-049;1994;16.3;15.0;28.2;53.0;311.3;82.1;6.99;9.88;70.8;4.17;7.91;52.7;3.44;7.61;45.2;0.12;0.10;0.13;0.02;1.04;1.41;1.41;0.86;2.02;Matches;253a06b9
160;Cédric Avinel;gp GLP;DF;Ajaccio;fr Ligue 1;36-197;1986;16.2;32.0;37.7;84.9;628.8;222.9;9.14;10.2;89.7;18.2;20.4;89.4;3.77;5.74;65.6;0.00;0.00;0.01;0.00;0.00;0.74;0.00;0.00;1.85;Matches;a94d93be
161;Taiwo Awoniyi;ng NGA;FW;Nott'ham Forest;eng Premier League;25-227;1997;8.1;11.1;15.3;72.6;129.5;17.0;7.78;9.38;82.9;2.35;3.21;73.1;0.12;0.49;25.0;0.00;0.12;0.04;-0.12;0.99;0.37;0.12;0.00;0.86;Matches;e5478b87
162;Mehmet Aydin;de GER;DFFW;Schalke 04;de Bundesliga;21-046;2002;5.4;22.8;39.1;58.3;400.0;146.7;10.7;14.4;74.4;9.44;15.2;62.2;2.04;5.19;39.3;0.00;0.13;0.06;-0.13;0.56;1.11;0.74;0.37;1.48;Matches;fe46e261
163;André Ayew;gh GHA;FW;Nott'ham Forest;eng Premier League;33-100;1989;2.5;15.6;20.4;76.5;194.4;30.4;12.4;14.8;83.8;2.80;4.80;58.3;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.80;0.00;0.00;2.40;Matches;5dbefa9d
164;Jordan Ayew;gh GHA;FWMF;Crystal Palace;eng Premier League;31-197;1991;20.9;21.6;28.5;75.7;284.8;58.9;13.7;15.8;86.7;6.41;8.42;76.1;0.62;1.58;39.4;0.05;0.08;0.07;-0.03;1.05;1.29;0.43;0.29;2.06;Matches;da052c14
165;Kaan Ayhan;tr TUR;DF;Sassuolo;it Serie A;28-137;1994;6.1;47.2;54.4;86.7;983.6;279.0;13.8;14.3;96.6;25.2;27.4;92.2;7.87;11.8;66.7;0.00;0.00;0.00;0.00;0.00;3.28;0.00;0.00;2.46;Matches;2200181e
166;Luke Ayling;eng ENG;DF;Leeds United;eng Premier League;31-214;1991;13.8;34.1;48.5;70.4;560.4;285.1;18.6;21.6;85.9;12.0;16.3;73.8;2.90;6.67;43.5;0.07;0.11;0.12;-0.04;0.51;2.75;0.94;0.43;3.55;Matches;420d7c7d
167;Ayman Azhil;ma MAR;MF;Leverkusen;de Bundesliga;21-351;2001;0.0;0;0;;0;0;0;0;;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matches;ce81d82d
168;Sardar Azmoun;ir IRN;FWMF;Leverkusen;de Bundesliga;28-085;1995;6.2;16.5;24.7;66.7;250.3;93.9;8.71;12.1;72.0;4.03;6.13;65.8;1.94;2.58;75.0;0.16;0.34;0.15;-0.18;1.61;2.26;0.97;0.00;4.03;Matches;10549b49
169;César Azpilicueta;es ESP;DF;Chelsea;eng Premier League;33-211;1989;12.3;53.7;66.5;80.8;800.4;277.3;30.1;32.6;92.3;21.7;26.5;81.9;1.14;4.80;23.7;0.00;0.08;0.08;-0.08;0.81;2.52;1.30;0.33;4.80;Matches;53cad200
170;Sanoussy Ba;de GER;DF;RB Leipzig;de Bundesliga;19-081;2004;0.0;0;0;;0;0;0;0;;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matches;f582d5c1
171;Iddrisu Baba;gh GHA;MF;Mallorca;es La Liga;27-064;1996;12.7;26.6;32.0;83.3;478.9;126.6;11.4;12.6;90.6;12.0;13.3;89.9;2.83;4.57;62.1;0.00;0.02;0.02;-0.02;0.39;2.76;0.16;0.00;2.76;Matches;bfd381b3
172;Sr?an Babi?;rs SRB;DF;Almería;es La Liga;26-339;1996;22.5;37.2;43.6;85.3;738.8;270.3;12.3;13.3;92.3;20.1;22.3;90.2;4.49;7.07;63.5;0.00;0.01;0.01;-0.01;0.27;1.69;0.09;0.04;2.09;Matches;075fe5a3
173;Loïc Bade;fr FRA;DF;Sevilla;es La Liga;22-350;2000;7.0;65.7;73.0;90.0;1194.7;420.9;24.9;25.9;96.1;35.0;37.1;94.2;5.14;7.57;67.9;0.00;0.01;0.01;-0.01;0.29;4.29;0.00;0.00;3.86;Matches;114bbdee
174;Loïc Bade;fr FRA;DF;Rennes;fr Ligue 1;22-350;2000;1.0;52.0;59.0;88.1;1163.0;396.0;8.00;10.0;80.0;35.0;36.0;97.2;9.00;13.0;69.2;1.00;0.10;0.00;0.90;1.00;2.00;0.00;0.00;3.00;Matches;114bbdee
175;Édgar Badía;es ESP;GK;Elche;es La Liga;31-043;1992;26.0;19.5;28.2;69.1;636.9;501.7;2.35;2.38;98.4;8.54;8.96;95.3;8.50;16.6;51.3;0.00;0.00;0.00;0.00;0.00;0.38;0.00;0.00;0.00;Matches;e4346678
176;Benoît Badiashile;fr FRA;DF;Chelsea;eng Premier League;22-001;2001;7.1;76.1;83.9;90.6;1397.6;501.4;28.6;31.5;90.6;41.0;43.4;94.5;6.06;8.31;72.9;0.00;0.07;0.03;-0.07;0.42;4.93;0.70;0.00;6.06;Matches;06df8256
177;Benoît Badiashile;fr FRA;DF;Monaco;fr Ligue 1;22-001;2001;9.3;43.3;50.3;86.1;892.0;368.2;13.2;14.7;89.8;22.6;25.3;89.4;6.45;8.92;72.3;0.00;0.04;0.09;-0.04;0.11;4.95;0.32;0.00;4.19;Matches;06df8256
178;Alex Baena;es ESP;MFFW;Villarreal;es La Liga;21-250;2001;14.4;27.3;34.7;78.6;440.6;127.8;13.6;15.1;89.9;10.4;12.8;81.5;2.29;3.68;62.3;0.07;0.27;0.16;-0.20;1.60;3.13;1.74;0.07;5.07;Matches;518f2234
179;Jaime Báez;uy URU;DF;Cremonese;it Serie A;27-336;1995;1.1;29.1;43.6;66.7;581.8;344.5;7.27;9.09;80.0;11.8;15.5;76.5;6.36;12.7;50.0;0.00;0.09;0.27;-0.09;1.82;6.36;1.82;1.82;3.64;Matches;dfd24c07
180;Leon Bailey;jm JAM;FWMF;Aston Villa;eng Premier League;25-230;1997;17.9;15.8;25.4;62.3;259.0;64.7;8.55;11.1;76.9;4.58;7.15;64.1;1.84;3.85;47.8;0.17;0.18;0.19;-0.02;1.23;0.95;1.06;0.78;1.45;Matches;3a233281
181;Eric Bailly;ci CIV;DF;Marseille;fr Ligue 1;28-349;1994;4.8;33.8;40.2;83.9;663.8;244.0;11.5;13.1;87.3;15.6;18.5;84.3;6.04;7.29;82.9;0.00;0.00;0.00;0.00;0.00;2.29;0.00;0.00;1.25;Matches;a1232f4e
182;Dénys Bain;fr FRA;DF;Auxerre;fr Ligue 1;29-268;1993;1.4;37.1;40.0;92.9;649.3;197.1;12.9;12.9;100.0;22.9;25.7;88.9;1.43;1.43;100.0;0.00;0.00;0.00;0.00;0.00;0.71;0.00;0.00;2.14;Matches;5065d67d
183;Brandon Baiye;be BEL;MF;Clermont Foot;fr Ligue 1;22-090;2000;0.6;45.0;53.3;84.4;693.3;200.0;23.3;25.0;93.3;16.7;21.7;76.9;3.33;3.33;100.0;0.00;0.17;0.17;-0.17;1.67;1.67;0.00;0.00;3.33;Matches;7e3e825e
184;Stefan Bajcetic;es ESP;MF;Liverpool;eng Premier League;18-156;2004;5.8;34.5;44.5;77.5;556.4;119.7;16.9;20.3;83.1;12.8;15.3;83.1;3.10;5.00;62.1;0.00;0.07;0.09;-0.07;0.69;2.93;1.21;0.17;4.14;Matches;32e8417f
185;Nedim Bajrami;al ALB;MFFW;Empoli;it Serie A;24-027;1999;10.4;25.0;33.5;74.7;381.5;127.2;14.3;17.5;81.9;7.60;9.23;82.3;1.92;4.13;46.5;0.10;0.12;0.07;-0.02;1.44;1.83;0.58;0.00;2.79;Matches;f42d6c13
186;Nedim Bajrami;al ALB;FW;Sassuolo;it Serie A;24-027;1999;3.5;26.0;37.1;70.0;381.4;77.4;14.6;18.0;81.0;9.43;12.3;76.7;1.43;4.00;35.7;0.00;0.14;0.20;-0.14;0.86;1.43;0.57;0.00;4.57;Matches;f42d6c13
187;Cédric Bakambu;cd COD;MF;Marseille;fr Ligue 1;31-350;1991;0.7;27.1;32.9;82.6;375.7;80.0;17.1;18.6;92.3;5.71;7.14;80.0;1.43;1.43;100.0;1.43;1.43;1.00;0.00;2.86;1.43;0.00;0.00;0.00;Matches;0af4dcf0
188;Tiemoué Bakayoko;fr FRA;MF;Milan;it Serie A;28-222;1994;0.4;37.5;42.5;88.2;675.0;237.5;10.0;12.5;80.0;25.0;27.5;90.9;2.50;2.50;100.0;0.00;0.00;0.00;0.00;0.00;7.50;0.00;0.00;5.00;Matches;59bf127b
189;Mitchel Bakker;nl NED;DFMF;Leverkusen;de Bundesliga;22-280;2000;12.8;43.4;55.1;78.9;676.2;207.2;24.4;28.1;86.7;15.6;19.6;79.7;2.58;5.08;50.8;0.16;0.13;0.09;0.02;1.09;1.80;0.86;0.08;3.52;Matches;a8567629
190;Ridle Baku;de GER;DFFW;Wolfsburg;de Bundesliga;24-353;1998;22.4;42.9;54.7;78.4;788.2;263.0;17.0;19.6;86.8;20.9;25.3;82.7;4.38;7.50;58.3;0.04;0.13;0.17;-0.08;1.03;4.20;1.16;0.40;4.69;Matches;442b56fa
191;Tommaso Baldanzi;it ITA;MF;Empoli;it Serie A;20-004;2003;12.9;29.8;36.4;82.1;423.6;105.8;16.5;18.2;90.6;10.1;11.5;87.8;1.32;2.64;50.0;0.00;0.07;0.08;-0.07;1.24;2.33;1.16;0.08;4.19;Matches;102e2599
192;Alejandro Balde;es ESP;DF;Barcelona;es La Liga;19-160;2003;18.4;57.1;64.1;89.1;846.1;168.5;33.6;35.7;94.2;19.2;21.0;91.2;3.10;4.51;68.7;0.27;0.19;0.19;0.08;0.98;3.04;0.65;0.38;2.88;Matches;5ccc9672
193;Thierno Balde;fr FRA;DF;Troyes;fr Ligue 1;20-290;2002;18.1;33.6;41.0;82.0;526.1;161.3;17.6;20.0;87.8;13.7;16.8;81.6;1.60;2.49;64.4;0.00;0.04;0.07;-0.04;0.72;1.49;0.94;0.22;2.71;Matches;3975195f
194;Carlos Baleba;cm CMR;MF;Lille;fr Ligue 1;19-083;2004;3.2;52.8;63.1;83.7;1049.1;168.1;20.6;23.4;88.0;21.6;25.0;86.3;9.06;10.6;85.3;0.00;0.03;0.03;-0.03;0.63;7.19;0.31;0.00;6.56;Matches;a1390d2f
195;Mikel Balenziaga;es ESP;DF;Athletic Club;es La Liga;35-026;1988;1.3;37.7;53.1;71.0;630.0;186.2;19.2;22.3;86.2;14.6;20.0;73.1;3.85;6.92;55.6;0.00;0.00;0.08;0.00;0.00;3.08;1.54;0.77;5.38;Matches;1fe67e86
196;Leonardo Balerdi;ar ARG;DF;Marseille;fr Ligue 1;24-060;1999;22.9;46.3;54.9;84.3;917.9;263.5;13.2;15.1;87.8;25.4;28.6;88.7;6.16;8.47;72.7;0.04;0.00;0.01;0.04;0.17;3.45;0.09;0.04;3.10;Matches;7c3ed041
197;Iván Balliu;al ALB;DF;Rayo Vallecano;es La Liga;31-085;1992;24.2;43.1;55.3;77.8;714.9;280.7;21.3;23.2;92.0;17.2;21.8;78.8;3.68;7.23;50.9;0.00;0.10;0.09;-0.10;1.03;2.81;0.99;0.54;3.93;Matches;cee88597
