;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
1;Antonio Adán;es ESP;GK;Betis;es La Liga;30;1987;30;30;2700;30.0;1.77;1.77;4.40;2.73;62.1;0.47;0.13;0.40;0.30;30.0;0.13;0.10;0.03;0.00;25.0;Matches;65d62814
2;René Adler;de GER;GK;Mainz 05;de Bundesliga;32;1985;14;14;1260;14.0;1.29;1.29;3.79;2.50;67.9;0.36;0.21;0.43;0.29;28.6;0.14;0.07;0.00;0.07;0.0;Matches;f71890f5
3;Adrián;es ESP;GK;West Ham;eng Premier League;30;1987;19;19;1710;19.0;1.53;1.53;5.05;3.58;70.8;0.37;0.32;0.32;0.32;31.6;0.05;0.05;0.00;0.00;0.0;Matches;f76e6b4e
4;Alisson;br BRA;GK;Roma;it Serie A;24;1992;37;37;3330;37.0;0.76;0.76;3.65;2.84;81.5;0.59;0.22;0.19;0.46;45.9;0.14;0.08;0.05;0.00;40.0;Matches;7a2e46a8
5;Sergio Álvarez;es ESP;GK;Celta Vigo;es La Liga;30;1986;17;16;1475;16.4;1.77;1.77;4.57;2.87;62.7;0.18;0.37;0.43;0.18;18.8;0.06;0.06;0.00;0.00;0.0;Matches;8875b8c9
6;Ibrahim Amadou;fr FRA;MFDF;Lille;fr Ligue 1;24;1993;1;0;17;26.7;0.07;10.59;0.11;0.04;66.7;0.00;0.00;0.00;0.00;;0.04;0.04;0.00;0.00;0.0;Matches;9260926b
7;Jon Ander Serantes;es ESP;GK;Leganés;es La Liga;27;1989;1;1;90;1.0;2.00;2.00;8.00;6.00;75.0;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;983ccabe
8;Nícolas Andrade;br BRA;GK;Hellas Verona;it Serie A;29;1988;36;36;3240;36.0;1.97;1.97;6.47;4.50;72.1;0.19;0.11;0.69;0.19;19.4;0.22;0.17;0.06;0.00;25.0;Matches;326d09ef
9;Miguel Ángel Moyá;es ESP;GK;Real Sociedad;es La Liga;33;1984;9;9;765;8.5;0.94;0.94;3.88;2.82;81.8;0.35;0.24;0.47;0.24;22.2;0.35;0.24;0.12;0.00;33.3;Matches;011d8c56
10;Alphonse Areola;fr FRA;GK;Paris S-G;fr Ligue 1;24;1993;34;34;3060;34.0;0.74;0.74;3.00;2.26;76.5;0.76;0.18;0.06;0.50;50.0;0.09;0.03;0.03;0.03;50.0;Matches;2f965a72
11;Kepa Arrizabalaga;es ESP;GK;Athletic Club;es La Liga;22;1994;30;30;2700;30.0;1.43;1.43;4.53;3.13;69.1;0.23;0.30;0.47;0.23;23.3;0.10;0.03;0.07;0.00;66.7;Matches;28d596a0
12;Sergio Asenjo;es ESP;GK;Villarreal;es La Liga;28;1989;23;23;2070;23.0;1.30;1.30;4.04;2.61;71.0;0.52;0.13;0.35;0.26;26.1;0.26;0.13;0.13;0.00;50.0;Matches;9f0ea33f
13;Mariano Barbosa;ar ARG;GK;Villarreal;es La Liga;33;1984;13;12;1125;12.5;1.12;1.12;3.84;2.72;72.9;0.48;0.24;0.24;0.40;41.7;0.08;0.08;0.00;0.00;0.0;Matches;aad4f74f
14;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;27;1990;34;34;3060;34.0;1.41;1.41;4.32;2.94;69.4;0.44;0.29;0.26;0.29;29.4;0.12;0.09;0.03;0.00;25.0;Matches;47064058
15;Asmir Begovi?;ba BIH;GK;Bournemouth;eng Premier League;30;1987;38;38;3420;38.0;1.61;1.61;4.47;2.87;65.3;0.29;0.29;0.42;0.16;15.8;0.08;0.05;0.03;0.00;33.3;Matches;7b4de647
16;Vid Belec;si SVN;GK;Benevento;it Serie A;27;1990;13;13;1113;12.4;2.18;2.18;5.97;3.95;67.6;0.16;0.00;0.89;0.08;7.7;0.24;0.24;0.00;0.00;0.0;Matches;4f8ce0e1
17;Vid Belec;si SVN;GK;Sampdoria;it Serie A;27;1990;2;2;180;2.0;2.50;2.50;7.50;5.00;73.3;0.00;0.00;1.00;0.00;0.0;0.50;0.50;0.00;0.00;0.0;Matches;4f8ce0e1
18;Diego Benaglio;ch SUI;GK;Monaco;fr Ligue 1;33;1983;3;2;225;2.5;0.00;0.00;2.40;2.40;100.0;0.80;0.00;0.00;1.20;150.0;0.00;0.00;0.00;0.00;;Matches;b7e7937d
19;Walter Benítez;ar ARG;GK;Nice;fr Ligue 1;24;1993;28;28;2520;28.0;1.29;1.29;4.04;2.71;70.8;0.43;0.29;0.29;0.25;25.0;0.18;0.11;0.07;0.00;40.0;Matches;8a2248b4
20;Etrit Berisha;al ALB;GK;Atalanta;it Serie A;28;1989;31;31;2790;31.0;1.10;1.10;3.19;2.06;66.7;0.42;0.32;0.26;0.26;25.8;0.06;0.03;0.03;0.00;50.0;Matches;ee833569
21;Quentin Beunardeau;fr FRA;GK;Metz;fr Ligue 1;23;1994;1;0;38;0.4;5.00;4.74;10.0;5.00;50.0;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;15285503
22;Albano Bizzarri;ar ARG;GK;Udinese;it Serie A;39;1977;32;32;2880;32.0;1.63;1.62;4.47;2.88;65.0;0.34;0.13;0.53;0.25;25.0;0.16;0.06;0.06;0.03;50.0;Matches;32b9b5fa
23;Rubén Blanco;es ESP;GK;Celta Vigo;es La Liga;22;1995;22;22;1941;21.6;1.44;1.44;3.98;2.55;67.4;0.46;0.19;0.37;0.19;18.2;0.19;0.14;0.00;0.05;0.0;Matches;967f34d3
24;Landry Bonnefoi;fr FRA;GK;Strasbourg;fr Ligue 1;33;1983;4;3;271;3.0;2.00;1.99;5.67;3.67;64.7;0.67;0.00;0.33;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;e65dd8dc
25;Jean-Christophe Bouet;fr FRA;GK;Amiens;fr Ligue 1;34;1983;1;1;90;1.0;1.00;1.00;7.00;6.00;85.7;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;96908f80
26;Yassine Bounou;ma MAR;GK;Girona;es La Liga;26;1991;30;30;2655;29.5;1.56;1.56;4.71;3.19;69.8;0.44;0.20;0.37;0.31;30.0;0.17;0.14;0.00;0.03;0.0;Matches;f6798fc3
27;Claudio Bravo;cl CHI;GK;Manchester City;eng Premier League;34;1983;3;2;226;2.5;0.40;0.40;2.00;1.60;80.0;0.80;0.00;0.00;0.80;100.0;0.00;0.00;0.00;0.00;;Matches;10072610
28;Alberto Brignoli;it ITA;GK;Benevento;it Serie A;25;1991;13;11;1126;12.5;2.48;2.48;5.60;3.12;58.6;0.08;0.16;0.64;0.08;9.1;0.32;0.16;0.00;0.16;0.0;Matches;6989550f
29;Gianluigi Buffon;it ITA;GK;Juventus;it Serie A;39;1978;21;21;1862;20.7;0.68;0.68;2.71;2.08;80.4;0.82;0.10;0.10;0.53;52.4;0.19;0.14;0.05;0.00;25.0;Matches;e40d028b
30;Roman Bürki;ch SUI;GK;Dortmund;de Bundesliga;26;1990;33;33;2969;33.0;1.30;1.30;4.39;3.09;72.4;0.45;0.27;0.27;0.36;36.4;0.09;0.09;0.00;0.00;0.0;Matches;9d12e142
31;Ludovic Butelle;fr FRA;GK;Angers;fr Ligue 1;34;1983;19;19;1653;18.4;1.20;1.20;3.70;2.61;72.1;0.33;0.27;0.43;0.22;21.1;0.16;0.16;0.00;0.00;0.0;Matches;26975a92
32;Jack Butland;eng ENG;GK;Stoke City;eng Premier League;24;1993;35;35;3150;35.0;1.74;1.74;5.74;4.06;72.1;0.20;0.31;0.49;0.17;17.1;0.14;0.14;0.00;0.00;0.0;Matches;cc70a1d5
33;Willy Caballero;ar ARG;GK;Chelsea;eng Premier League;35;1981;3;3;270;3.0;1.33;1.33;3.67;2.33;63.6;0.33;0.33;0.33;0.33;33.3;0.00;0.00;0.00;0.00;;Matches;a179d516
34;Yoan Cardinale;fr FRA;GK;Nice;fr Ligue 1;23;1994;10;10;900;10.0;1.60;1.60;4.10;2.60;61.0;0.30;0.10;0.60;0.30;30.0;0.00;0.00;0.00;0.00;;Matches;950ff24d
35;Kiko Casilla;es ESP;GK;Real Madrid;es La Liga;30;1986;10;10;900;10.0;1.10;1.10;2.90;1.90;62.1;0.60;0.20;0.20;0.30;30.0;0.00;0.00;0.00;0.00;;Matches;58bc7d18
36;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;25;1992;34;34;3060;34.0;1.41;1.41;4.50;3.06;72.5;0.18;0.44;0.38;0.24;23.5;0.26;0.18;0.09;0.00;33.3;Matches;db401046
37;Petr ?ech;cz CZE;GK;Arsenal;eng Premier League;35;1982;34;34;3039;33.8;1.42;1.42;3.99;2.51;68.1;0.47;0.18;0.36;0.33;32.4;0.18;0.15;0.03;0.00;16.7;Matches;71672fa0
38;Nereo Champagne;ar ARG;GK;Leganés;es La Liga;32;1985;2;2;180;2.0;3.00;3.00;4.50;1.50;44.4;0.00;0.00;1.00;0.00;0.0;0.50;0.50;0.00;0.00;0.0;Matches;7a9fae62
39;Leandro Chichizola;ar ARG;GK;Las Palmas;es La Liga;27;1990;27;27;2430;27.0;1.74;1.74;5.52;3.81;70.5;0.15;0.19;0.67;0.15;14.8;0.11;0.11;0.00;0.00;0.0;Matches;8d957256
40;Jasper Cillessen;nl NED;GK;Barcelona;es La Liga;28;1989;1;1;90;1.0;1.00;1.00;7.00;6.00;85.7;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;04ac8285
41;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;30;1987;37;37;3316;36.8;1.58;1.57;4.67;3.10;67.4;0.30;0.27;0.43;0.27;27.0;0.08;0.05;0.03;0.00;33.3;Matches;8cabdc1e
