;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
42;Alex Cordaz;it ITA;GK;Crotone;it Serie A;34;1983;38;38;3420;38.0;1.74;1.74;5.26;3.50;70.0;0.24;0.21;0.55;0.13;13.2;0.21;0.16;0.03;0.03;14.3;Matches;e66ebabb
43;Angelo da Costa Júnior;br BRA;GK;Bologna;it Serie A;33;1983;4;4;360;4.0;1.25;1.25;4.25;3.00;76.5;0.25;0.00;0.75;0.25;25.0;0.25;0.25;0.00;0.00;0.0;Matches;18736214
44;Benoît Costil;fr FRA;GK;Bordeaux;fr Ligue 1;30;1987;36;36;3240;36.0;1.25;1.25;3.42;2.08;66.7;0.44;0.19;0.36;0.28;27.8;0.22;0.11;0.11;0.00;50.0;Matches;2434f24a
45;Thibaut Courtois;be BEL;GK;Chelsea;eng Premier League;25;1992;35;35;3150;35.0;0.97;0.97;3.03;2.11;69.8;0.57;0.17;0.26;0.43;42.9;0.06;0.06;0.00;0.00;0.0;Matches;1840e36d
46;Alessio Cragno;it ITA;GK;Cagliari;it Serie A;23;1994;29;29;2536;28.2;1.67;1.67;4.61;2.91;68.5;0.25;0.18;0.60;0.25;24.1;0.35;0.21;0.07;0.07;25.0;Matches;f554e29b
47;Luca Crosta;it ITA;GK;Cagliari;it Serie A;19;1998;1;1;90;1.0;3.00;3.00;3.00;0.00;33.3;0.00;0.00;1.00;0.00;0.0;1.00;1.00;0.00;0.00;0.0;Matches;a4ec7d09
48;Iván Cuéllar;es ESP;GK;Leganés;es La Liga;33;1984;35;35;3150;35.0;1.23;1.23;3.97;2.71;72.7;0.31;0.20;0.49;0.40;40.0;0.17;0.14;0.03;0.00;16.7;Matches;75751c99
49;Karl Darlow;eng ENG;GK;Newcastle Utd;eng Premier League;26;1990;10;10;900;10.0;1.50;1.50;4.70;3.40;74.5;0.10;0.50;0.40;0.20;20.0;0.30;0.30;0.00;0.00;0.0;Matches;cde3309f
50;Abdoulaye Diallo;sn SEN;GK;Rennes;fr Ligue 1;25;1992;3;3;270;3.0;1.67;1.67;5.00;3.33;73.3;0.00;0.67;0.33;0.00;0.0;0.33;0.33;0.00;0.00;0.0;Matches;26383ea5
51;Thomas Didillon;fr FRA;GK;Metz;fr Ligue 1;21;1995;9;9;810;9.0;1.56;1.56;3.89;2.44;68.6;0.11;0.11;0.78;0.22;22.2;0.33;0.33;0.00;0.00;0.0;Matches;a3d524cb
52;Marko Dmitrovi?;rs SRB;GK;Eibar;es La Liga;25;1992;36;36;3240;36.0;1.36;1.36;3.44;2.17;63.7;0.36;0.22;0.42;0.28;27.8;0.11;0.11;0.00;0.00;0.0;Matches;ac295d9e
53;Jaume Doménech;es ESP;GK;Valencia;es La Liga;26;1990;5;5;450;5.0;1.00;1.00;4.20;3.20;76.2;0.80;0.00;0.20;0.40;40.0;0.00;0.00;0.00;0.00;;Matches;c9cb972b
54;Gianluigi Donnarumma;it ITA;GK;Milan;it Serie A;18;1999;38;38;3420;38.0;1.11;1.11;3.47;2.39;69.7;0.47;0.26;0.26;0.32;31.6;0.08;0.05;0.00;0.03;0.0;Matches;08f5afaa
55;Bart?omiej Dr?gowski;pl POL;GK;Fiorentina;it Serie A;19;1997;3;1;217;2.4;3.33;3.32;7.08;3.75;52.9;0.00;0.00;0.42;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;085e71a7
56;Martin Dúbravka;sk SVK;GK;Newcastle Utd;eng Premier League;28;1989;12;12;1080;12.0;0.92;0.92;3.08;2.08;70.3;0.50;0.08;0.42;0.33;33.3;0.08;0.00;0.08;0.00;100.0;Matches;3a949a25
57;Maxime Dupé;fr FRA;GK;Nantes;fr Ligue 1;24;1993;1;1;90;1.0;3.00;3.00;5.00;2.00;60.0;0.00;0.00;1.00;0.00;0.0;1.00;1.00;0.00;0.00;0.0;Matches;0e12089d
58;Ederson;br BRA;GK;Manchester City;eng Premier League;23;1993;36;36;3194;35.5;0.73;0.73;2.25;1.52;67.5;0.85;0.11;0.06;0.45;44.4;0.06;0.00;0.06;0.00;100.0;Matches;3bb7b8b4
59;Rob Elliot;ie IRL;GK;Newcastle Utd;eng Premier League;31;1986;16;16;1440;16.0;1.31;1.31;4.00;2.69;68.8;0.31;0.13;0.56;0.19;18.8;0.13;0.06;0.06;0.00;50.0;Matches;b1b25949
60;Michael Esser;de GER;GK;Hannover 96;de Bundesliga;29;1987;3;3;270;3.0;3.00;3.00;6.67;3.67;55.0;0.33;0.00;0.67;0.00;0.0;0.33;0.00;0.00;0.33;;Matches;83e0eeb4
61;?ukasz Fabia?ski;pl POL;GK;Swansea City;eng Premier League;32;1985;38;38;3420;38.0;1.47;1.47;5.00;3.50;72.1;0.21;0.24;0.55;0.24;23.7;0.16;0.08;0.08;0.00;50.0;Matches;9328b835
62;Ralf Fährmann;de GER;GK;Schalke 04;de Bundesliga;28;1988;34;34;3015;33.5;1.10;1.10;3.79;2.66;73.2;0.54;0.27;0.21;0.36;35.3;0.18;0.09;0.06;0.03;40.0;Matches;1e43fad8
63;Andrés Fernández;es ESP;GK;Villarreal;es La Liga;30;1986;3;3;225;2.5;2.40;2.40;6.40;4.00;68.8;0.00;0.40;0.80;0.00;0.0;0.40;0.40;0.00;0.00;0.0;Matches;307fcd26
64;Raúl Fernández;es ESP;GK;Levante;es La Liga;29;1988;11;11;990;11.0;1.36;1.36;4.82;3.45;71.7;0.18;0.55;0.27;0.27;27.3;0.00;0.00;0.00;0.00;;Matches;6fb59070
65;Fraser Forster;eng ENG;GK;Southampton;eng Premier League;29;1988;20;20;1800;20.0;1.50;1.50;4.85;3.30;69.1;0.20;0.35;0.45;0.20;20.0;0.05;0.00;0.05;0.00;100.0;Matches;c3e39f12
66;Ben Foster;eng ENG;GK;West Brom;eng Premier League;34;1983;37;37;3330;37.0;1.49;1.49;4.08;2.65;64.2;0.16;0.32;0.51;0.27;27.0;0.03;0.03;0.00;0.00;0.0;Matches;d0b3ceb9
67;Paulo Gazzaniga;ar ARG;GK;Tottenham;eng Premier League;25;1992;1;1;90;1.0;0.00;0.00;3.00;3.00;100.0;1.00;0.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;63d17038
68;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;26;1990;37;37;3330;37.0;0.76;0.76;3.78;3.08;80.7;0.65;0.16;0.19;0.49;48.6;0.03;0.03;0.00;0.00;0.0;Matches;7ba6d84e
69;Rafa? Gikiewicz;pl POL;GK;Freiburg;de Bundesliga;29;1987;2;1;154;1.7;1.76;1.75;4.12;2.35;57.1;0.00;0.59;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;17376543
70;Dani Giménez;es ESP;GK;Betis;es La Liga;34;1983;4;4;309;3.4;0.00;0.00;2.35;2.35;100.0;0.88;0.29;0.00;0.88;75.0;0.00;0.00;0.00;0.00;;Matches;7c218bf9
71;Pierluigi Gollini;it ITA;GK;Atalanta;it Serie A;22;1995;7;7;622;6.9;0.58;0.58;2.46;1.88;76.5;0.43;0.29;0.29;0.43;42.9;0.00;0.00;0.00;0.00;;Matches;f0f7f62f
72;Heurelho Gomes;br BRA;GK;Watford;eng Premier League;36;1981;24;24;2128;23.6;1.69;1.69;4.24;2.58;63.0;0.30;0.21;0.51;0.21;20.8;0.13;0.13;0.00;0.00;0.0;Matches;d596e193
73;Alfred Gomis;sn SEN;GK;SPAL;it Serie A;23;1993;26;25;2261;25.1;1.71;1.71;5.58;3.90;73.6;0.24;0.28;0.48;0.12;12.0;0.28;0.24;0.04;0.00;14.3;Matches;cecbce23
74;Mathieu Gorgelin;fr FRA;GK;Lyon;fr Ligue 1;26;1990;4;4;360;4.0;1.50;1.50;3.25;1.75;53.8;0.50;0.25;0.25;0.25;25.0;0.00;0.00;0.00;0.00;;Matches;4d3e9033
75;Lee Grant;eng ENG;GK;Stoke City;eng Premier League;34;1983;3;3;270;3.0;2.33;2.33;5.00;2.67;53.3;0.00;0.33;0.67;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;9dab6e3b
76;Vicente Guaita;es ESP;GK;Getafe;es La Liga;30;1987;33;33;2970;33.0;0.79;0.79;3.36;2.55;77.5;0.39;0.27;0.33;0.36;36.4;0.09;0.03;0.03;0.03;50.0;Matches;ab13a5aa
77;Péter Gulácsi;hu HUN;GK;RB Leipzig;de Bundesliga;27;1990;33;33;2970;33.0;1.58;1.58;4.45;2.88;68.0;0.45;0.24;0.30;0.18;18.2;0.15;0.15;0.00;0.00;0.0;Matches;bcb2ccd8
78;Régis Gurtner;fr FRA;GK;Amiens;fr Ligue 1;30;1986;37;37;3330;37.0;1.11;1.11;4.62;3.51;78.4;0.32;0.24;0.43;0.30;29.7;0.11;0.11;0.00;0.00;0.0;Matches;bc270726
79;Ben Hamer;eng ENG;GK;Leicester City;eng Premier League;29;1987;4;3;275;3.1;2.26;2.29;4.19;1.94;53.8;0.00;0.32;0.65;0.32;33.3;0.32;0.32;0.00;0.00;0.0;Matches;d822a850
80;Samir Handanovi?;si SVN;GK;Inter;it Serie A;33;1984;38;38;3420;38.0;0.79;0.79;3.08;2.39;76.1;0.53;0.32;0.16;0.45;44.7;0.05;0.05;0.00;0.00;0.0;Matches;74419746
81;Joe Hart;eng ENG;GK;West Ham;eng Premier League;30;1987;19;19;1710;19.0;2.05;2.05;4.79;2.68;61.5;0.16;0.32;0.53;0.21;21.1;0.26;0.21;0.05;0.00;20.0;Matches;cb4f24c6
82;Tom Heaton;eng ENG;GK;Burnley;eng Premier League;31;1986;4;4;305;3.4;1.18;1.18;3.53;2.35;66.7;0.59;0.29;0.29;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;a6de6361
83;Wayne Hennessey;wls WAL;GK;Crystal Palace;eng Premier League;30;1987;27;27;2430;27.0;1.52;1.52;4.70;3.26;68.5;0.30;0.22;0.48;0.26;25.9;0.04;0.04;0.00;0.00;0.0;Matches;76eca7e2
84;Iago Herrerín;es ESP;GK;Athletic Club;es La Liga;29;1988;8;8;720;8.0;0.75;0.75;3.75;2.88;86.7;0.38;0.50;0.13;0.50;50.0;0.38;0.25;0.13;0.00;33.3;Matches;9109185e
85;Marwin Hitz;ch SUI;GK;Augsburg;de Bundesliga;29;1987;32;32;2880;32.0;1.31;1.31;4.97;3.63;74.2;0.31;0.31;0.38;0.28;28.1;0.06;0.03;0.03;0.00;50.0;Matches;2e7ff968
86;Timo Horn;de GER;GK;Köln;de Bundesliga;24;1993;34;34;3060;34.0;2.06;2.06;5.91;3.82;69.2;0.15;0.21;0.65;0.15;14.7;0.26;0.24;0.03;0.00;11.1;Matches;3cd9e95a
87;Lukáš Hrádecký;fi FIN;GK;Eint Frankfurt;de Bundesliga;27;1989;34;34;3060;34.0;1.32;1.32;3.91;2.65;67.7;0.41;0.21;0.38;0.21;20.6;0.09;0.06;0.00;0.03;0.0;Matches;ad3389d5
88;Gorka Iraizoz;es ESP;GK;Girona;es La Liga;36;1981;9;8;765;8.5;1.53;1.53;4.24;2.94;63.9;0.12;0.35;0.47;0.24;25.0;0.00;0.00;0.00;0.00;;Matches;26f2473f
89;Eldin Jakupovi?;ch SUI;GK;Leicester City;eng Premier League;32;1984;2;2;180;2.0;3.00;3.00;6.50;4.00;53.8;0.50;0.00;0.50;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;1148323a
90;Rune Jarstein;no NOR;GK;Hertha BSC;de Bundesliga;32;1984;31;31;2790;31.0;1.42;1.42;4.52;3.13;72.1;0.32;0.32;0.35;0.23;22.6;0.19;0.16;0.00;0.03;0.0;Matches;27d2618c
91;Karl-Johan Johnsson;se SWE;GK;Guingamp;fr Ligue 1;27;1990;38;38;3420;38.0;1.55;1.55;4.50;2.92;68.4;0.32;0.29;0.39;0.29;28.9;0.18;0.13;0.05;0.00;28.6;Matches;a56bd2ee
92;Bingourou Kamara;sn SEN;GK;Strasbourg;fr Ligue 1;20;1996;19;19;1692;18.8;1.70;1.70;4.57;2.87;65.1;0.21;0.32;0.48;0.11;10.5;0.11;0.11;0.00;0.00;0.0;Matches;3814120d
93;Loris Karius;de GER;GK;Liverpool;eng Premier League;24;1993;19;19;1710;19.0;0.74;0.74;2.37;1.58;73.3;0.58;0.26;0.16;0.53;52.6;0.16;0.11;0.05;0.00;33.3;Matches;32e7ce92
94;Orestis Karnezis;gr GRE;GK;Watford;eng Premier League;32;1985;15;14;1292;14.4;1.67;1.67;3.89;2.22;62.5;0.28;0.21;0.49;0.28;28.6;0.21;0.21;0.00;0.00;0.0;Matches;85b011bb
95;Eiji Kawashima;jp JPN;GK;Metz;fr Ligue 1;34;1983;29;29;2569;28.5;2.11;2.10;5.86;3.72;64.1;0.18;0.25;0.60;0.07;6.9;0.07;0.00;0.07;0.00;100.0;Matches;a4527d33
96;Hervé Koffi;bf BFA;GK;Lille;fr Ligue 1;20;1996;4;4;360;4.0;2.75;2.75;5.00;2.50;50.0;0.00;0.25;0.75;0.00;0.0;0.25;0.25;0.00;0.00;0.0;Matches;faf873a7
97;Tomáš Koubek;cz CZE;GK;Rennes;fr Ligue 1;24;1992;34;34;3060;34.0;1.06;1.06;3.74;2.68;73.2;0.47;0.24;0.29;0.29;29.4;0.15;0.06;0.06;0.03;50.0;Matches;dc366c36
98;Maksym Koval;ua UKR;GK;La Coruña;es La Liga;24;1992;2;2;121;1.3;2.31;2.23;3.85;1.54;40.0;;0.77;0.77;;;;;;;;Matches;60713cb3
99;Thomas Kraft;de GER;GK;Hertha BSC;de Bundesliga;29;1988;3;3;270;3.0;0.67;0.67;4.67;4.00;92.9;0.00;1.00;0.00;0.33;33.3;0.33;0.33;0.00;0.00;0.0;Matches;bb25c778
100;Alban Lafont;fr FRA;GK;Toulouse;fr Ligue 1;18;1999;38;38;3420;38.0;1.42;1.42;4.16;2.79;69.6;0.24;0.26;0.50;0.32;31.6;0.16;0.16;0.00;0.00;0.0;Matches;4e7db402
101;Eugenio Lamanna;it ITA;GK;Genoa;it Serie A;27;1989;1;1;90;1.0;1.00;1.00;3.00;2.00;66.7;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;349601c3
102;Benjamin Lecomte;fr FRA;GK;Montpellier;fr Ligue 1;26;1991;38;38;3420;38.0;0.87;0.87;3.08;2.21;76.1;0.29;0.47;0.24;0.37;36.8;0.16;0.13;0.00;0.03;0.0;Matches;2fa2a875
103;Bernd Leno;de GER;GK;Leverkusen;de Bundesliga;25;1992;33;33;2970;33.0;1.21;1.21;3.33;2.12;68.2;0.45;0.30;0.24;0.30;30.3;0.15;0.15;0.00;0.00;0.0;Matches;2628fd2b
104;Alexandre Letellier;fr FRA;GK;Angers;fr Ligue 1;26;1990;13;13;1170;13.0;1.31;1.31;3.38;2.15;65.9;0.15;0.54;0.31;0.08;7.7;0.15;0.15;0.00;0.00;0.0;Matches;96fcd380
105;Raúl Lizoain;es ESP;GK;Las Palmas;es La Liga;26;1991;11;11;990;11.0;2.45;2.45;6.00;3.55;62.1;0.09;0.18;0.73;0.09;9.1;0.18;0.18;0.00;0.00;0.0;Matches;f69e9eee
106;Hugo Lloris;fr FRA;GK;Tottenham;eng Premier League;30;1986;36;36;3240;36.0;0.97;0.97;3.25;2.28;71.8;0.61;0.19;0.19;0.42;41.7;0.08;0.06;0.00;0.03;0.0;Matches;8f62b6ee
107;Anthony Lopes;pt POR;GK;Lyon;fr Ligue 1;26;1990;34;34;3060;34.0;1.09;1.09;4.03;2.97;76.6;0.62;0.24;0.15;0.41;41.2;0.24;0.15;0.06;0.03;28.6;Matches;f00de885
108;Diego López;es ESP;GK;Espanyol;es La Liga;35;1981;10;10;854;9.5;1.16;1.16;4.21;3.16;75.0;0.32;0.53;0.21;0.32;30.0;0.21;0.11;0.11;0.00;50.0;Matches;73683fa9
109;Pau López;es ESP;GK;Espanyol;es La Liga;22;1994;29;28;2566;28.5;1.09;1.09;4.35;3.23;77.4;0.32;0.28;0.39;0.32;32.1;0.14;0.11;0.04;0.00;25.0;Matches;20b9f052
110;Pedro López;es ESP;GK;Betis;es La Liga;22;1995;5;4;411;4.6;1.74;1.75;3.48;1.74;50.0;0.22;0.22;0.43;0.22;25.0;0.00;0.00;0.00;0.00;;Matches;bfa29677
111;Jonas Lössl;dk DEN;GK;Huddersfield;eng Premier League;28;1989;38;38;3420;38.0;1.53;1.53;4.16;2.61;65.8;0.24;0.26;0.50;0.26;26.3;0.16;0.11;0.05;0.00;33.3;Matches;939bc634
112;Andreas Luthe;de GER;GK;Augsburg;de Bundesliga;30;1987;2;2;180;2.0;2.00;2.00;3.50;1.50;57.1;0.00;0.50;0.50;0.00;0.0;0.50;0.50;0.00;0.00;0.0;Matches;7fe12375
113;Raïs M'Bolhi;dz ALG;GK;Rennes;fr Ligue 1;31;1986;1;1;90;1.0;3.00;3.00;6.00;3.00;83.3;0.00;0.00;1.00;0.00;0.0;2.00;2.00;0.00;0.00;0.0;Matches;c121a641
114;Mike Maignan;fr FRA;GK;Lille;fr Ligue 1;22;1995;34;34;3032;33.7;1.57;1.57;4.75;3.18;68.8;0.30;0.21;0.50;0.15;14.7;0.15;0.09;0.06;0.00;40.0;Matches;fcb38f57
