;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
87;Mike Maignan;fr FRA;GK;Milan;it Serie A;27-252;1995;9;9;810;9.0;1.11;1.11;3.22;2.00;72.4;0.56;0.22;0.22;0.33;33.3;0.33;0.22;0.11;0.00;33.3;Matches;fcb38f57
88;Giorgi Mamardashvili;ge GEO;GK;Valencia;es La Liga;22-164;2000;25;25;2250;25.0;1.12;1.12;4.04;3.00;74.3;0.28;0.20;0.52;0.20;20.0;0.20;0.08;0.00;0.12;0.0;Matches;d4b73232
89;Steve Mandanda;fr FRA;GK;Rennes;fr Ligue 1;37-349;1985;25;25;2205;24.5;1.02;1.02;3.51;2.49;72.1;0.53;0.20;0.29;0.33;32.0;0.08;0.04;0.04;0.00;50.0;Matches;1d2d5cc8
90;Vito Mannone;it ITA;GK;Lorient;fr Ligue 1;35-010;1988;13;12;1158;12.9;1.32;1.32;5.19;3.88;76.1;0.23;0.31;0.39;0.23;25.0;0.08;0.08;0.00;0.00;0.0;Matches;c4173f1a
91;Agustín Marchesín;ar ARG;GK;Celta Vigo;es La Liga;34-361;1988;19;19;1710;19.0;1.53;1.53;3.79;2.21;62.5;0.26;0.26;0.47;0.32;31.6;0.21;0.11;0.11;0.00;50.0;Matches;853b7c48
92;Federico Marchetti;it ITA;GK;Spezia;it Serie A;40-033;1983;1;0;66;0.7;2.86;2.73;4.29;1.43;33.3;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;f794b426
93;Diego Mariño;es ESP;GK;Almería;es La Liga;32-307;1990;1;0;45;0.5;4.00;4.00;10.0;6.00;60.0;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;d9235a45
94;Emiliano Martínez;ar ARG;GK;Aston Villa;eng Premier League;30-191;1992;23;23;2014;22.4;1.38;1.39;3.93;2.68;67.0;0.40;0.18;0.45;0.27;26.1;0.13;0.09;0.04;0.00;33.3;Matches;7956236f
95;Jordi Masip;es ESP;GK;Valladolid;es La Liga;34-068;1989;17;17;1517;16.9;1.36;1.36;5.09;3.55;76.7;0.36;0.12;0.53;0.30;29.4;0.36;0.18;0.18;0.00;50.0;Matches;8fae77ea
96;Luís Maximiano;pt POR;GK;Lazio;it Serie A;24-066;1999;1;1;5;0.1;;;;;;10.0;;;;;;;;;;Matches;3318286e
97;Edouard Mendy;sn SEN;GK;Chelsea;eng Premier League;31-011;1992;9;8;765;8.5;1.41;1.41;4.35;2.94;67.6;0.35;0.12;0.47;0.12;12.5;0.00;0.00;0.00;0.00;;Matches;33887998
98;Alex Meret;it ITA;GK;Napoli;it Serie A;25-355;1997;25;25;2250;25.0;0.64;0.64;2.48;1.80;75.8;0.84;0.08;0.08;0.48;48.0;0.08;0.04;0.04;0.00;50.0;Matches;9413b19f
99;Illan Meslier;fr FRA;GK;Leeds United;eng Premier League;23-010;2000;26;26;2340;26.0;1.62;1.62;4.46;2.88;65.5;0.19;0.31;0.50;0.19;19.2;0.08;0.08;0.00;0.00;0.0;Matches;6b625ac2
100;Alexander Meyer;de GER;GK;Dortmund;de Bundesliga;31-333;1991;6;6;540;6.0;1.83;1.83;4.50;2.67;59.3;0.33;0.33;0.33;0.17;16.7;0.00;0.00;0.00;0.00;;Matches;b56dd813
101;Vanja Milinkovi?-Savi?;rs SRB;GK;Torino;it Serie A;26-020;1997;25;25;2250;25.0;1.16;1.16;3.80;2.64;72.6;0.36;0.28;0.36;0.24;24.0;0.16;0.12;0.00;0.04;0.0;Matches;9fa26bc2
102;Lorenzo Montipò;it ITA;GK;Hellas Verona;it Serie A;27-020;1996;24;24;2160;24.0;1.54;1.54;5.08;3.54;69.7;0.17;0.21;0.63;0.13;12.5;0.04;0.00;0.04;0.00;100.0;Matches;c1d95617
103;Florian Müller;de GER;GK;Stuttgart;de Bundesliga;25-119;1997;19;19;1710;19.0;1.79;1.79;4.58;2.79;62.1;0.16;0.37;0.47;0.05;5.3;0.05;0.05;0.00;0.00;0.0;Matches;cbac6ec9
104;Juan Musso;ar ARG;GK;Atalanta;it Serie A;28-310;1994;20;20;1717;19.1;1.10;1.10;3.82;2.83;72.6;0.52;0.21;0.31;0.37;35.0;0.05;0.05;0.00;0.00;0.0;Matches;a111cf41
105;Yvon Mvogo;ch SUI;GK;Lorient;fr Ligue 1;28-279;1994;14;14;1182;13.1;1.45;1.45;4.89;3.51;70.3;0.61;0.23;0.23;0.23;21.4;0.00;0.00;0.00;0.00;;Matches;dc29b608
106;Keylor Navas;cr CRC;GK;Nott'ham Forest;eng Premier League;36-087;1986;6;6;540;6.0;2.00;2.00;4.50;2.67;63.0;0.17;0.33;0.50;0.17;16.7;0.33;0.33;0.00;0.00;0.0;Matches;ecada4fc
107;Neto;br BRA;GK;Bournemouth;eng Premier League;33-236;1989;16;16;1395;15.5;1.29;1.29;4.90;3.68;78.9;0.26;0.39;0.39;0.26;25.0;0.32;0.26;0.00;0.06;0.0;Matches;a9dc785c
108;Manuel Neuer;de GER;GK;Bayern Munich;de Bundesliga;36-350;1986;12;12;1080;12.0;0.92;0.92;3.67;2.75;79.5;0.58;0.33;0.08;0.33;33.3;0.17;0.17;0.00;0.00;0.0;Matches;8778c910
109;Alexander Nübel;de GER;GK;Monaco;fr Ligue 1;26-163;1996;26;26;2340;26.0;1.38;1.38;4.85;3.54;74.6;0.58;0.23;0.19;0.27;26.9;0.15;0.15;0.00;0.00;0.0;Matches;afb0c500
110;Ørjan Nyland;no NOR;GK;RB Leipzig;de Bundesliga;32-183;1990;1;1;90;1.0;0.00;0.00;1.00;1.00;100.0;1.00;0.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;bdedffac
111;Jan Oblak;si SVN;GK;Atlético Madrid;es La Liga;30-064;1993;22;22;1952;21.7;0.78;0.78;2.95;2.17;75.0;0.55;0.23;0.23;0.37;36.4;0.09;0.05;0.00;0.05;0.0;Matches;ee8508c0
112;Guillermo Ochoa;mx MEX;GK;Salernitana;it Serie A;37-242;1985;8;8;720;8.0;2.13;2.12;6.25;4.00;70.0;0.25;0.25;0.50;0.25;25.0;0.38;0.25;0.13;0.00;33.3;Matches;1e9bde92
113;Robin Olsen;se SWE;GK;Aston Villa;eng Premier League;33-063;1990;3;2;236;2.6;2.69;2.67;6.15;3.46;62.5;0.38;0.00;0.38;0.38;50.0;0.38;0.38;0.00;0.00;0.0;Matches;e7ee38c3
114;Jonas Omlin;ch SUI;GK;Montpellier;fr Ligue 1;29-061;1994;14;14;1166;13.0;2.00;2.01;5.62;3.69;68.5;0.38;0.08;0.62;0.15;14.3;0.31;0.23;0.08;0.00;25.0;Matches;c631f952
115;Jonas Omlin;ch SUI;GK;M'Gladbach;de Bundesliga;29-061;1994;7;7;570;6.3;1.90;1.89;4.76;2.86;63.3;0.32;0.16;0.63;0.16;14.3;0.16;0.16;0.00;0.00;0.0;Matches;c631f952
116;André Onana;cm CMR;GK;Inter;it Serie A;26-344;1996;16;16;1440;16.0;0.88;0.87;3.25;2.44;76.9;0.69;0.13;0.19;0.44;43.8;0.13;0.13;0.00;0.00;0.0;Matches;e9c0c1b2
117;Fernando Pacheco;es ESP;GK;Almería;es La Liga;30-298;1992;1;1;90;1.0;2.00;2.00;5.00;3.00;60.0;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;97852360
118;Fernando Pacheco;es ESP;GK;Espanyol;es La Liga;30-298;1992;4;4;360;4.0;1.50;1.50;5.25;3.75;71.4;0.50;0.00;0.50;0.25;25.0;0.00;0.00;0.00;0.00;;Matches;97852360
119;Rui Patrício;pt POR;GK;Roma;it Serie A;35-025;1988;25;25;2250;25.0;0.84;0.84;2.84;2.04;71.8;0.56;0.20;0.24;0.40;40.0;0.04;0.04;0.00;0.00;0.0;Matches;79b0d6a0
120;Ji?í Pavlenka;cz CZE;GK;Werder Bremen;de Bundesliga;30-332;1992;23;23;2008;22.3;1.88;1.88;5.20;3.36;64.7;0.40;0.13;0.49;0.18;17.4;0.09;0.04;0.04;0.00;50.0;Matches;0a1cb833
121;Gianluca Pegolo;it ITA;GK;Sassuolo;it Serie A;41-352;1981;2;2;180;2.0;1.50;1.50;3.00;1.50;66.7;0.00;0.50;0.50;0.00;0.0;0.50;0.50;0.00;0.00;0.0;Matches;f058ed1f
122;Patrick Pentz;at AUT;GK;Reims;fr Ligue 1;26-069;1997;7;7;630;7.0;2.00;2.00;4.14;2.29;58.6;0.14;0.43;0.43;0.00;0.0;0.29;0.29;0.00;0.00;0.0;Matches;0810b6df
123;Simone Perilli;it ITA;GK;Hellas Verona;it Serie A;28-064;1995;1;1;90;1.0;0.00;0.00;4.00;4.00;100.0;0.00;1.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;b9e11c1d
124;Mattia Perin;it ITA;GK;Juventus;it Serie A;30-122;1992;8;7;678;7.5;0.53;0.53;4.13;3.47;90.3;0.40;0.40;0.13;0.67;71.4;0.27;0.13;0.13;0.00;50.0;Matches;4c62d0c8
125;Samuele Perisan;it ITA;GK;Empoli;it Serie A;25-203;1997;2;2;180;2.0;1.50;1.50;3.00;1.50;50.0;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;00a17eba
126;Jordan Pickford;eng ENG;GK;Everton;eng Premier League;29-005;1994;26;26;2340;26.0;1.46;1.46;4.85;3.38;72.2;0.19;0.27;0.54;0.23;23.1;0.12;0.12;0.00;0.00;0.0;Matches;4806ec67
127;Nick Pope;eng ENG;GK;Newcastle Utd;eng Premier League;30-327;1992;24;24;2091;23.2;0.73;0.73;3.10;2.37;77.8;0.43;0.47;0.13;0.52;50.0;0.09;0.04;0.00;0.04;0.0;Matches;4b40d9ca
128;Ivan Provedel;it ITA;GK;Lazio;it Serie A;28-360;1994;26;25;2333;25.9;0.73;0.73;3.36;2.63;79.3;0.50;0.27;0.19;0.58;60.0;0.04;0.04;0.00;0.00;0.0;Matches;277da414
129;Ghjuvanni Quilichini;fr FRA;GK;Ajaccio;fr Ligue 1;20-192;2002;1;0;82;0.9;0.00;0.00;4.44;4.44;100.0;0.00;0.00;0.00;1.11;;0.00;0.00;0.00;0.00;;Matches;1b729a98
130;Ionu? Radu;ro ROU;GK;Cremonese;it Serie A;25-288;1997;9;9;810;9.0;2.11;2.11;7.11;5.00;75.0;0.00;0.33;0.67;0.11;11.1;0.33;0.33;0.00;0.00;0.0;Matches;67f649be
131;Ionu? Radu;ro ROU;GK;Auxerre;fr Ligue 1;25-288;1997;8;8;720;8.0;1.00;1.00;4.13;3.13;75.8;0.25;0.50;0.25;0.38;37.5;0.13;0.00;0.13;0.00;100.0;Matches;67f649be
132;Predrag Rajkovi?;rs SRB;GK;Mallorca;es La Liga;27-132;1995;24;24;2160;24.0;1.04;1.04;3.50;2.42;76.2;0.38;0.17;0.46;0.33;33.3;0.25;0.21;0.04;0.00;16.7;Matches;58ad9383
133;Diant Ramaj;de GER;GK;Eint Frankfurt;de Bundesliga;21-174;2001;1;1;90;1.0;1.00;1.00;5.00;4.00;80.0;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;b90c4a43
134;Aaron Ramsdale;eng ENG;GK;Arsenal;eng Premier League;24-302;1998;26;26;2340;26.0;0.96;0.96;3.19;2.27;72.3;0.77;0.12;0.12;0.42;42.3;0.12;0.08;0.00;0.04;0.0;Matches;466fb2c5
135;David Raya;es ESP;GK;Brentford;eng Premier League;27-178;1995;25;25;2250;25.0;1.32;1.32;5.56;4.32;77.0;0.36;0.44;0.20;0.32;32.0;0.04;0.04;0.00;0.00;0.0;Matches;98ea5115
136;Pepe Reina;es ESP;GK;Villarreal;es La Liga;40-193;1982;9;9;810;9.0;1.33;1.33;3.89;2.56;74.3;0.56;0.11;0.33;0.22;22.2;0.33;0.33;0.00;0.00;0.0;Matches;e358587b
137;Álex Remiro;es ESP;GK;Real Sociedad;es La Liga;27-353;1995;24;24;2160;24.0;0.96;0.96;3.58;2.67;73.3;0.54;0.21;0.25;0.38;37.5;0.04;0.00;0.04;0.00;100.0;Matches;374ee424
138;Manuel Riemann;de GER;GK;Bochum;de Bundesliga;34-184;1988;24;24;2160;24.0;2.33;2.33;6.13;3.79;66.7;0.29;0.04;0.67;0.13;12.5;0.50;0.29;0.13;0.08;30.0;Matches;9f941969
139;Rémy Riou;fr FRA;GK;Lyon;fr Ligue 1;35-218;1987;6;5;511;5.7;1.23;1.23;2.98;2.11;82.4;0.35;0.53;0.00;0.18;20.0;0.70;0.70;0.00;0.00;0.0;Matches;7f41ee30
140;Marek Rodák;sk SVK;GK;Fulham;eng Premier League;26-089;1996;2;2;180;2.0;1.00;1.00;2.00;1.00;50.0;0.00;1.00;0.00;0.50;50.0;0.00;0.00;0.00;0.00;;Matches;17acc2ed
141;Gerónimo Rulli;ar ARG;GK;Villarreal;es La Liga;30-296;1992;14;14;1260;14.0;0.71;0.71;4.00;3.29;82.1;0.43;0.21;0.36;0.50;50.0;0.00;0.00;0.00;0.00;;Matches;625c144a
142;Frederik Rønnow;dk DEN;GK;Union Berlin;de Bundesliga;30-220;1992;19;19;1710;19.0;0.84;0.84;4.00;3.16;81.6;0.63;0.21;0.16;0.37;36.8;0.11;0.11;0.00;0.00;0.0;Matches;a70b8345
143;José Sá;pt POR;GK;Wolves;eng Premier League;30-054;1993;26;26;2340;26.0;1.35;1.35;4.15;2.77;68.5;0.27;0.23;0.50;0.27;26.9;0.12;0.04;0.08;0.00;66.7;Matches;903b6e8b
144;Brice Samba;cg CGO;GK;Lens;fr Ligue 1;28-321;1994;26;26;2340;26.0;0.81;0.81;3.42;2.65;78.7;0.54;0.35;0.12;0.35;34.6;0.08;0.08;0.00;0.00;0.0;Matches;60d90c55
145;Robert Sánchez;es ESP;GK;Brighton;eng Premier League;25-114;1997;22;22;1980;22.0;1.32;1.32;3.27;2.05;66.7;0.45;0.23;0.32;0.27;27.3;0.27;0.23;0.05;0.00;16.7;Matches;6a713852
146;Kasper Schmeichel;dk DEN;GK;Nice;fr Ligue 1;36-127;1986;24;24;2160;24.0;0.83;0.83;3.67;2.79;78.4;0.46;0.33;0.21;0.38;37.5;0.08;0.04;0.04;0.00;50.0;Matches;53af52f3
147;Marvin Schwäbe;de GER;GK;Köln;de Bundesliga;27-321;1995;24;24;2160;24.0;1.58;1.58;3.75;2.29;62.2;0.25;0.38;0.38;0.21;20.8;0.21;0.17;0.04;0.00;20.0;Matches;87436846
148;Alexander Schwolow;de GER;GK;Schalke 04;de Bundesliga;30-283;1992;17;17;1530;17.0;2.41;2.41;6.00;3.59;62.7;0.12;0.18;0.71;0.12;11.8;0.18;0.18;0.00;0.00;0.0;Matches;0d55d942
149;Matz Sels;be BEL;GK;Strasbourg;fr Ligue 1;31-014;1992;26;26;2340;26.0;1.69;1.69;4.88;3.19;72.4;0.15;0.38;0.46;0.08;7.7;0.38;0.35;0.00;0.04;0.0;Matches;834b5c4c
150;Luigi Sepe;it ITA;GK;Salernitana;it Serie A;31-308;1991;17;17;1530;17.0;1.59;1.59;5.12;3.35;73.6;0.24;0.29;0.47;0.18;17.6;0.41;0.24;0.18;0.00;42.9;Matches;343f753a
151;Rui Silva;pt POR;GK;Betis;es La Liga;29-033;1994;18;18;1620;18.0;1.11;1.11;3.89;2.78;72.9;0.56;0.11;0.33;0.39;38.9;0.06;0.06;0.00;0.00;0.0;Matches;ea83bfa6
152;Marco Silvestri;it ITA;GK;Udinese;it Serie A;32-010;1991;26;26;2340;26.0;1.15;1.15;3.38;2.31;69.3;0.31;0.42;0.27;0.31;30.8;0.12;0.12;0.00;0.00;0.0;Matches;0d422df7
153;Unai Simón;es ESP;GK;Athletic Club;es La Liga;25-274;1997;22;22;1935;21.5;1.16;1.16;3.40;2.33;67.1;0.42;0.23;0.37;0.37;36.4;0.05;0.05;0.00;0.00;0.0;Matches;5dcf3e90
154;Tobias Sippel;de GER;GK;M'Gladbach;de Bundesliga;34-355;1988;6;5;510;5.7;2.11;2.12;5.61;3.68;65.6;0.18;0.18;0.53;0.18;20.0;0.18;0.18;0.00;0.00;0.0;Matches;0d8a37c2
155;?ukasz Skorupski;pl POL;GK;Bologna;it Serie A;31-311;1991;26;26;2340;26.0;1.31;1.31;4.31;3.04;75.0;0.38;0.23;0.38;0.19;19.2;0.27;0.23;0.04;0.00;14.3;Matches;ab4449d6
156;François-Joseph Sollacaro;fr FRA;GK;Ajaccio;fr Ligue 1;28-356;1994;3;3;270;3.0;2.00;2.00;2.33;0.33;14.3;0.33;0.00;0.67;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;f19f32b1
157;Yann Sommer;ch SUI;GK;Bayern Munich;de Bundesliga;34-085;1988;9;9;810;9.0;1.33;1.33;2.89;1.67;57.7;0.56;0.33;0.11;0.22;22.2;0.11;0.11;0.00;0.00;0.0;Matches;420c18a1
158;Yann Sommer;ch SUI;GK;M'Gladbach;de Bundesliga;34-085;1988;10;10;900;10.0;1.40;1.40;6.00;4.70;80.0;0.40;0.40;0.20;0.30;30.0;0.20;0.20;0.00;0.00;0.0;Matches;420c18a1
159;David Soria;es ESP;GK;Getafe;es La Liga;29-342;1993;25;25;2250;25.0;1.36;1.36;4.48;3.12;72.3;0.24;0.32;0.44;0.28;28.0;0.24;0.12;0.12;0.00;50.0;Matches;8f8c6934
160;Marco Sportiello;it ITA;GK;Atalanta;it Serie A;30-306;1992;7;6;623;6.9;1.30;1.30;3.77;2.46;65.4;0.29;0.29;0.29;0.29;33.3;0.00;0.00;0.00;0.00;;Matches;ac4003af
161;Jason Steele;eng ENG;GK;Brighton;eng Premier League;32-206;1990;2;2;180;2.0;1.00;1.00;3.00;2.00;66.7;0.50;0.50;0.00;0.50;50.0;0.00;0.00;0.00;0.00;;Matches;28300a16
162;Wojciech Szcz?sny;pl POL;GK;Juventus;it Serie A;32-328;1990;18;18;1572;17.5;0.91;0.92;2.97;2.06;69.2;0.69;0.11;0.23;0.57;55.6;0.00;0.00;0.00;0.00;;Matches;01b8a2b2
163;Ciprian T?t?ru?anu;ro ROU;GK;Milan;it Serie A;37-031;1986;16;16;1440;16.0;1.38;1.37;3.81;2.50;67.2;0.56;0.19;0.25;0.25;25.0;0.13;0.13;0.00;0.00;0.0;Matches;b056e3da
164;Marc-André ter Stegen;de GER;GK;Barcelona;es La Liga;30-316;1992;24;24;2160;24.0;0.33;0.33;2.25;1.96;88.9;0.83;0.08;0.08;0.75;75.0;0.08;0.08;0.00;0.00;0.0;Matches;6f51e382
165;Pietro Terracciano;it ITA;GK;Fiorentina;it Serie A;33-004;1990;22;22;1980;22.0;1.32;1.32;3.45;2.18;65.8;0.32;0.23;0.45;0.14;13.6;0.14;0.14;0.00;0.00;0.0;Matches;e1b0a70d
166;Kevin Trapp;de GER;GK;Eint Frankfurt;de Bundesliga;32-247;1990;23;23;2070;23.0;1.43;1.43;3.74;2.35;62.8;0.48;0.26;0.26;0.22;21.7;0.04;0.04;0.00;0.00;0.0;Matches;ce17b5eb
167;Mark Travers;ie IRL;GK;Bournemouth;eng Premier League;23-298;1999;11;10;945;10.5;2.95;2.95;5.71;2.95;51.7;0.19;0.00;0.76;0.19;20.0;0.19;0.19;0.00;0.00;0.0;Matches;fe558029
168;Sven Ulreich;de GER;GK;Bayern Munich;de Bundesliga;34-221;1988;3;3;270;3.0;0.67;0.67;2.67;1.67;75.0;1.00;0.00;0.00;0.67;66.7;0.33;0.00;0.33;0.00;100.0;Matches;7d3e7da6
169;Guglielmo Vicario;it ITA;GK;Empoli;it Serie A;26-156;1996;24;24;2160;24.0;1.29;1.29;4.33;3.04;72.1;0.25;0.42;0.33;0.29;29.2;0.17;0.08;0.04;0.04;33.3;Matches;77d6fd4d
170;Iván Villar;es ESP;GK;Celta Vigo;es La Liga;25-246;1997;6;6;540;6.0;0.83;0.83;3.83;3.00;82.6;0.50;0.33;0.17;0.50;50.0;0.17;0.17;0.00;0.00;0.0;Matches;cde52ef5
171;Danny Ward;wls WAL;GK;Leicester City;eng Premier League;29-263;1993;26;26;2340;26.0;1.77;1.77;4.58;2.88;63.0;0.27;0.12;0.62;0.23;23.1;0.12;0.08;0.04;0.00;33.3;Matches;d3ce0e89
172;Robin Zentner;de GER;GK;Mainz 05;de Bundesliga;28-135;1994;18;18;1620;18.0;1.39;1.39;3.89;2.50;65.7;0.39;0.28;0.33;0.33;33.3;0.17;0.06;0.06;0.06;50.0;Matches;5c4bf6ba
173;Michael Zetterer;de GER;GK;Werder Bremen;de Bundesliga;27-243;1995;1;0;62;0.7;1.43;1.45;8.57;7.14;83.3;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;9b688ae1
174;Jeroen Zoet;nl NED;GK;Spezia;it Serie A;32-065;1991;3;2;154;1.7;0.59;0.58;3.53;2.94;83.3;0.00;1.18;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;cc1a0c57
175;Petar Zovko;ba BIH;GK;Spezia;it Serie A;20-352;2002;1;0;74;0.8;2.50;2.43;3.75;1.25;33.3;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;54f6afe3
