;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
1;Christian Abbiati;it ITA;GK;Milan;it Serie A;37;1977;11;10;906;10.1;0.79;0.79;3.66;2.87;78.4;0.50;0.50;0.10;0.40;40.0;;;;;;Matches;322421c2
2;René Adler;de GER;GK;Hamburger SV;de Bundesliga;29;1985;12;11;1060;11.8;1.69;1.70;6.27;4.58;73.0;0.25;0.17;0.59;0.17;18.2;;;;;;Matches;f71890f5
3;Adrián;es ESP;GK;West Ham;eng Premier League;27;1987;38;38;3392;37.7;1.25;1.25;4.54;3.29;72.5;0.32;0.27;0.40;0.21;21.1;;;;;;Matches;f76e6b4e
4;Kossi Agassa;tg TOG;GK;Reims;fr Ligue 1;36;1978;17;16;1440;16.0;1.88;1.87;5.44;3.56;65.5;0.31;0.19;0.56;0.31;31.3;;;;;;Matches;14a03f68
5;Federico Agliardi;it ITA;GK;Cesena;it Serie A;31;1983;10;9;870;9.7;1.96;1.97;5.46;3.51;64.2;0.00;0.31;0.62;0.10;11.1;;;;;;Matches;18b0ad94
6;Ali Ahamada;km COM;GK;Toulouse;fr Ligue 1;22;1991;23;23;2070;23.0;1.74;1.74;4.35;2.61;60.0;0.35;0.13;0.52;0.17;17.4;;;;;;Matches;0b64b1e6
7;Jak Alnwick;eng ENG;GK;Newcastle Utd;eng Premier League;21;1993;6;5;495;5.5;2.55;2.55;4.18;1.64;39.1;0.36;0.18;0.55;0.00;0.0;;;;;;Matches;b0835fc0
8;Cristian Álvarez;ar ARG;GK;Rayo Vallecano;es La Liga;28;1985;17;16;1440;16.0;2.06;2.06;4.88;2.81;57.7;0.38;0.13;0.50;0.25;25.0;;;;;;Matches;87e89eb4
9;Sergio Álvarez;es ESP;GK;Celta Vigo;es La Liga;27;1986;38;38;3350;37.2;1.13;1.13;3.92;2.80;71.2;0.32;0.32;0.35;0.30;28.9;;;;;;Matches;8875b8c9
10;Diego Alves;br BRA;GK;Valencia;es La Liga;29;1985;37;37;3311;36.8;0.79;0.79;3.23;2.45;75.6;0.60;0.27;0.11;0.35;35.1;;;;;;Matches;12421a7c
11;Mariano Andújar;ar ARG;GK;Napoli;it Serie A;31;1983;15;15;1350;15.0;1.60;1.60;3.40;1.80;52.9;0.40;0.20;0.40;0.27;26.7;;;;;;Matches;609cd867
12;Miguel Ángel Moyá;es ESP;GK;Atlético Madrid;es La Liga;30;1984;27;27;2430;27.0;0.85;0.85;2.63;1.78;67.6;0.63;0.19;0.19;0.44;44.4;;;;;;Matches;011d8c56
13;Alphonse Areola;fr FRA;GK;Bastia;fr Ligue 1;21;1993;35;35;3150;35.0;1.20;1.20;4.00;2.80;70.0;0.34;0.26;0.40;0.31;31.4;;;;;;Matches;2f965a72
14;Sergio Asenjo;es ESP;GK;Villarreal;es La Liga;25;1989;34;34;3053;33.9;0.91;0.91;3.63;2.71;74.8;0.41;0.32;0.24;0.44;44.1;;;;;;Matches;9f0ea33f
15;Samuel Atrous;fr FRA;GK;Lens;fr Ligue 1;24;1990;1;1;90;1.0;0.00;0.00;5.00;5.00;100.0;1.00;0.00;0.00;1.00;100.0;;;;;;Matches;5ab9ce40
16;Fabien Audard;fr FRA;GK;Lorient;fr Ligue 1;36;1978;1;0;4;0.0;0;0.00;0;0;;0;0;0;0;;;;;;;Matches;9bb204e5
17;Vlada Avramov;rs SRB;GK;Atalanta;it Serie A;35;1979;1;1;56;0.6;1.67;1.61;6.67;5.00;75.0;1.67;0.00;0.00;0.00;0.0;;;;;;Matches;baf76a08
18;Mariano Barbosa;ar ARG;GK;Sevilla;es La Liga;30;1984;2;1;164;1.8;1.11;1.10;1.67;0.56;33.3;0.56;0.56;0.00;0.00;0.0;;;;;;Matches;aad4f74f
19;Francesco Bardi;it ITA;GK;Chievo;it Serie A;22;1992;10;10;900;10.0;1.70;1.70;3.60;1.90;52.8;0.10;0.10;0.80;0.10;10.0;;;;;;Matches;0acda699
20;Davide Bassi;it ITA;GK;Empoli;it Serie A;29;1985;7;7;630;7.0;2.43;2.43;5.71;3.29;57.5;0.00;0.29;0.71;0.00;0.0;;;;;;Matches;b260a8e3
21;Sacha Bastien;fr FRA;GK;Reims;fr Ligue 1;20;1994;1;1;20;0.2;15.0;13.50;25.0;10.0;40.0;0.00;0.00;5.00;0.00;0.0;;;;;;Matches;bf0a6602
22;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;24;1990;34;34;3060;34.0;1.62;1.62;4.85;3.24;66.7;0.35;0.24;0.41;0.24;23.5;;;;;;Matches;47064058
23;Asmir Begovi?;ba BIH;GK;Stoke City;eng Premier League;27;1987;35;35;3150;35.0;1.23;1.23;3.69;2.46;66.7;0.40;0.23;0.37;0.20;20.0;;;;;;Matches;7b4de647
24;Valentin Belon;fr FRA;GK;Lens;fr Ligue 1;19;1995;6;5;518;5.8;1.90;1.91;4.14;2.24;54.2;0.17;0.00;0.69;0.00;0.0;;;;;;Matches;e3a05e5c
25;Diego Benaglio;ch SUI;GK;Wolfsburg;de Bundesliga;30;1983;31;31;2790;31.0;1.03;1.03;4.19;3.16;75.4;0.65;0.23;0.13;0.26;25.8;;;;;;Matches;b7e7937d
26;Francesco Benussi;it ITA;GK;Hellas Verona;it Serie A;32;1981;16;15;1423;15.8;1.58;1.58;5.06;3.48;68.8;0.38;0.25;0.38;0.19;20.0;;;;;;Matches;42bcb825
27;Etrit Berisha;al ALB;GK;Lazio;it Serie A;25;1989;10;8;810;9.0;1.00;1.00;3.89;2.89;74.3;0.44;0.00;0.67;0.44;50.0;;;;;;Matches;ee833569
28;Beto;pt POR;GK;Sevilla;es La Liga;32;1982;18;18;1444;16.0;1.19;1.18;3.63;2.44;67.2;0.63;0.19;0.31;0.50;44.4;;;;;;Matches;3b4941e4
29;Albano Bizzarri;ar ARG;GK;Chievo;it Serie A;36;1977;28;28;2520;28.0;0.86;0.86;3.93;3.07;78.2;0.25;0.61;0.14;0.46;46.4;;;;;;Matches;32b9b5fa
30;Rubén Blanco;es ESP;GK;Celta Vigo;es La Liga;19;1995;1;0;70;0.8;2.50;2.57;2.50;0.00;0.0;1.25;0.00;0.00;0.00;;;;;;;Matches;967f34d3
31;Zacharie Boucher;fr FRA;GK;Toulouse;fr Ligue 1;22;1992;15;15;1350;15.0;1.60;1.60;3.80;2.20;57.9;0.27;0.20;0.53;0.20;20.0;;;;;;Matches;249cdcff
32;Claudio Bravo;cl CHI;GK;Barcelona;es La Liga;31;1983;37;37;3330;37.0;0.51;0.51;2.41;1.89;78.7;0.81;0.08;0.11;0.62;62.2;;;;;;Matches;10072610
33;Walter Bressan;it ITA;GK;Cesena;it Serie A;33;1981;1;1;90;1.0;5.00;5.00;9.00;4.00;44.4;0.00;0.00;1.00;0.00;0.0;;;;;;Matches;305dae6e
34;Željko Brki?;rs SRB;GK;Cagliari;it Serie A;28;1986;21;21;1890;21.0;1.62;1.62;5.00;3.38;67.6;0.29;0.19;0.52;0.10;9.5;;;;;;Matches;5b8e51a8
35;Gianluigi Buffon;it ITA;GK;Juventus;it Serie A;36;1978;33;33;2970;33.0;0.61;0.61;2.52;1.91;75.9;0.70;0.24;0.06;0.55;54.5;;;;;;Matches;e40d028b
36;Sascha Burchert;de GER;GK;Hertha BSC;de Bundesliga;24;1989;2;1;98;1.1;0.91;0.92;6.36;5.45;85.7;0.00;0.91;0.91;0.91;100.0;;;;;;Matches;25bdea4b
37;Roman Bürki;ch SUI;GK;Freiburg;de Bundesliga;23;1990;34;34;3060;34.0;1.38;1.38;6.12;4.74;77.4;0.21;0.38;0.41;0.26;26.5;;;;;;Matches;9d12e142
38;Jack Butland;eng ENG;GK;Stoke City;eng Premier League;21;1993;3;3;270;3.0;0.67;0.67;3.33;2.67;80.0;0.33;0.33;0.33;0.67;66.7;;;;;;Matches;cc70a1d5
39;Willy Caballero;ar ARG;GK;Manchester City;eng Premier League;32;1981;2;2;180;2.0;2.00;2.00;4.50;2.50;55.6;1.00;0.00;0.00;0.00;0.0;;;;;;Matches;a179d516
40;Rafael Cabral;br BRA;GK;Napoli;it Serie A;24;1990;23;23;2070;23.0;1.30;1.30;3.43;2.13;62.0;0.52;0.26;0.22;0.22;21.7;;;;;;Matches;806f7a26
41;Juan Carlos;es ESP;GK;Villarreal;es La Liga;27;1987;5;4;367;4.1;1.46;1.47;4.39;2.93;66.7;0.49;0.24;0.49;0.49;50.0;;;;;;Matches;bc5adc98
42;Juan Carlos;es ESP;GK;Córdoba;es La Liga;26;1988;32;32;2880;32.0;1.75;1.75;4.69;2.94;62.7;0.09;0.34;0.56;0.22;21.9;;;;;;Matches;688b96e3
43;Cédric Carrasso;fr FRA;GK;Bordeaux;fr Ligue 1;32;1981;37;37;3251;36.1;1.11;1.11;3.66;2.55;69.7;0.44;0.33;0.22;0.25;24.3;;;;;;Matches;17f5a888
44;Johann Carrasso;fr FRA;GK;Metz;fr Ligue 1;26;1988;21;21;1795;19.9;1.66;1.65;4.12;2.46;59.8;0.10;0.30;0.60;0.25;23.8;;;;;;Matches;223f8202
45;Kiko Casilla;es ESP;GK;Espanyol;es La Liga;27;1986;37;37;3280;36.4;1.32;1.32;4.40;3.08;70.0;0.36;0.27;0.36;0.36;35.1;;;;;;Matches;58bc7d18
46;Iker Casillas;es ESP;GK;Real Madrid;es La Liga;33;1981;32;32;2880;32.0;1.09;1.09;3.69;2.59;70.3;0.75;0.06;0.19;0.38;37.5;;;;;;Matches;1ddbb0da
47;Koen Casteels;be BEL;GK;Werder Bremen;de Bundesliga;22;1992;6;6;540;6.0;1.33;1.33;5.00;3.67;73.3;0.33;0.33;0.33;0.33;33.3;;;;;;Matches;db401046
48;Petr ?ech;cz CZE;GK;Chelsea;eng Premier League;32;1982;7;6;607;6.7;0.30;0.30;2.69;2.39;88.9;1.04;0.00;0.00;0.75;83.3;;;;;;Matches;71672fa0
49;David Cobeño;es ESP;GK;Rayo Vallecano;es La Liga;32;1982;3;2;246;2.7;1.85;1.83;4.81;2.96;61.5;0.37;0.00;0.74;0.37;50.0;;;;;;Matches;df7b0840
50;Jordi Codina;es ESP;GK;Getafe;es La Liga;32;1982;5;5;450;5.0;2.80;2.80;7.00;4.20;60.0;0.20;0.00;0.80;0.00;0.0;;;;;;Matches;812088cd
51;Simone Colombi;it ITA;GK;Cagliari;it Serie A;23;1991;3;3;270;3.0;2.67;2.67;4.67;2.00;42.9;0.00;0.33;0.67;0.00;0.0;;;;;;Matches;72be9309
52;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;27;1987;35;35;3126;34.7;1.53;1.53;4.96;3.43;69.2;0.32;0.32;0.35;0.23;22.9;;;;;;Matches;8cabdc1e
53;Benoît Costil;fr FRA;GK;Rennes;fr Ligue 1;27;1987;38;38;3420;38.0;1.11;1.11;3.68;2.58;70.0;0.34;0.29;0.37;0.21;21.1;;;;;;Matches;2434f24a
54;Thibaut Courtois;be BEL;GK;Chelsea;eng Premier League;22;1992;32;32;2813;31.3;0.96;0.96;3.29;2.33;70.9;0.61;0.29;0.10;0.38;37.5;;;;;;Matches;1840e36d
55;Alessio Cragno;it ITA;GK;Cagliari;it Serie A;20;1994;14;14;1260;14.0;1.86;1.86;4.79;2.93;61.2;0.14;0.36;0.50;0.14;14.3;;;;;;Matches;f554e29b
56;Julián Cuesta;es ESP;GK;Almería;es La Liga;23;1991;15;15;1350;15.0;1.73;1.73;6.40;4.67;72.9;0.27;0.20;0.53;0.27;26.7;;;;;;Matches;c7b52b90
57;Kelvin Davis;eng ENG;GK;Southampton;eng Premier League;37;1976;7;6;617;6.9;1.30;1.31;3.19;1.88;59.1;0.29;0.14;0.58;0.29;33.3;;;;;;Matches;33b6ee02
58;Morgan De Sanctis;it ITA;GK;Roma;it Serie A;37;1977;35;35;3150;35.0;0.74;0.74;3.06;2.31;75.7;0.51;0.37;0.11;0.46;45.7;;;;;;Matches;83228343
59;Stole Dimitrievski;mk MKD;GK;Granada;es La Liga;20;1993;1;1;90;1.0;1.00;1.00;1.00;0.00;0.0;1.00;0.00;0.00;0.00;0.0;;;;;;Matches;fc70e345
60;Nicolas Douchez;fr FRA;GK;Paris S-G;fr Ligue 1;34;1980;5;4;418;4.6;1.74;1.72;3.04;1.30;42.9;0.87;0.00;0.22;0.22;25.0;;;;;;Matches;65df6f31
61;Jaroslav Drobný;cz CZE;GK;Hamburger SV;de Bundesliga;34;1979;23;23;2000;22.2;1.35;1.35;5.41;4.05;75.0;0.27;0.27;0.45;0.36;34.8;;;;;;Matches;e4a30d8c
62;Maxime Dupé;fr FRA;GK;Nantes;fr Ligue 1;21;1993;6;6;540;6.0;0.83;0.83;2.83;2.00;70.6;0.50;0.17;0.33;0.33;33.3;;;;;;Matches;0e12089d
63;Rob Elliot;ie IRL;GK;Newcastle Utd;eng Premier League;28;1986;3;3;225;2.5;0.80;0.80;2.80;2.00;71.4;0.40;0.40;0.40;0.40;33.3;;;;;;Matches;b1b25949
64;Vincent Enyeama;ng NGA;GK;Lille;fr Ligue 1;31;1982;38;38;3420;38.0;1.11;1.11;3.61;2.50;69.3;0.42;0.21;0.37;0.37;36.8;;;;;;Matches;62156b6a
65;?ukasz Fabia?ski;pl POL;GK;Swansea City;eng Premier League;29;1985;37;37;3308;36.8;1.25;1.25;4.92;3.67;74.6;0.43;0.22;0.35;0.35;35.1;;;;;;Matches;9328b835
66;Fabricio;es ESP;GK;La Coruña;es La Liga;26;1987;31;31;2790;31.0;1.32;1.32;4.68;3.35;71.7;0.19;0.42;0.39;0.35;35.5;;;;;;Matches;af245161
67;Ralf Fährmann;de GER;GK;Schalke 04;de Bundesliga;25;1988;25;25;2250;25.0;1.20;1.20;5.28;4.08;77.3;0.40;0.24;0.36;0.28;28.0;;;;;;Matches;1e43fad8
68;Fraser Forster;eng ENG;GK;Southampton;eng Premier League;26;1988;30;30;2623;29.1;0.72;0.72;2.75;2.03;73.8;0.52;0.17;0.31;0.45;43.3;;;;;;Matches;c3e39f12
69;Ben Foster;eng ENG;GK;West Brom;eng Premier League;31;1983;28;28;2485;27.6;1.23;1.23;3.91;2.68;68.5;0.25;0.29;0.43;0.40;39.3;;;;;;Matches;d0b3ceb9
70;Giorgio Frezzolini;it ITA;GK;Atalanta;it Serie A;38;1976;1;0;34;0.4;2.50;2.65;7.50;5.00;66.7;0.00;0.00;0.00;0.00;;;;;;;Matches;0b969bc1
71;Cyriack Garel;fr FRA;GK;Reims;fr Ligue 1;18;1996;1;0;70;0.8;2.50;2.57;5.00;2.50;50.0;0.00;0.00;1.25;0.00;;;;;;;Matches;68a06644
