;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
72;Paulo Gazzaniga;ar ARG;GK;Southampton;eng Premier League;22;1992;2;2;180;2.0;1.50;1.50;3.50;2.00;57.1;0.50;0.00;0.50;0.00;0.0;;;;;;Matches;63d17038
73;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;23;1990;37;37;3313;36.8;0.98;0.98;3.45;2.47;71.7;0.54;0.24;0.22;0.30;29.7;;;;;;Matches;7ba6d84e
74;Fabian Giefer;de GER;GK;Schalke 04;de Bundesliga;24;1990;2;2;135;1.5;0.00;0.00;0.67;0.67;100.0;0.67;0.67;0.00;1.33;100.0;;;;;;Matches;fbefefdb
75;Jean-François Gillet;be BEL;GK;Torino;it Serie A;35;1979;12;12;1080;12.0;1.17;1.17;4.58;3.42;74.5;0.25;0.33;0.42;0.33;33.3;;;;;;Matches;ee013fa5
76;Shay Given;ie IRL;GK;Aston Villa;eng Premier League;38;1976;3;3;270;3.0;2.67;2.67;5.67;3.00;52.9;0.67;0.00;0.33;0.33;33.3;;;;;;Matches;0db918ff
77;Pierluigi Gollini;it ITA;GK;Hellas Verona;it Serie A;19;1995;3;3;270;3.0;1.67;1.67;6.67;5.00;75.0;0.00;0.67;0.33;0.00;0.0;;;;;;Matches;f0f7f62f
78;Robert Green;eng ENG;GK;QPR;eng Premier League;34;1980;36;36;3183;35.4;1.84;1.84;5.42;3.59;66.1;0.20;0.17;0.62;0.14;13.9;;;;;;Matches;a350680b
79;Max Grün;de GER;GK;Wolfsburg;de Bundesliga;27;1987;3;3;270;3.0;2.00;2.00;5.00;3.00;60.0;0.00;0.67;0.33;0.00;0.0;;;;;;Matches;c8e9b716
80;Vicente Guaita;es ESP;GK;Getafe;es La Liga;27;1987;29;29;2610;29.0;1.52;1.52;4.21;2.69;63.9;0.24;0.24;0.52;0.17;17.2;;;;;;Matches;ab13a5aa
81;Brad Guzan;us USA;GK;Aston Villa;eng Premier League;29;1984;34;34;3060;34.0;1.41;1.41;4.35;2.94;67.6;0.24;0.24;0.53;0.26;26.5;;;;;;Matches;d899e3bf
82;Ben Hamer;eng ENG;GK;Leicester City;eng Premier League;26;1987;8;8;720;8.0;1.00;1.00;3.63;2.63;72.4;0.38;0.13;0.50;0.38;37.5;;;;;;Matches;d822a850
83;Samir Handanovi?;si SVN;GK;Inter;it Serie A;30;1984;37;37;3330;37.0;1.27;1.27;3.89;2.62;67.4;0.35;0.35;0.30;0.30;29.7;;;;;;Matches;74419746
84;Jesper Hansen;dk DEN;GK;Evian;fr Ligue 1;29;1985;15;15;1350;15.0;1.60;1.60;4.67;3.07;65.7;0.40;0.07;0.53;0.33;33.3;;;;;;Matches;a3b952f8
85;Steve Harper;eng ENG;GK;Hull City;eng Premier League;39;1975;10;10;852;9.5;1.05;1.06;4.21;3.16;75.0;0.32;0.21;0.53;0.42;40.0;;;;;;Matches;a98f1d52
86;Joe Hart;eng ENG;GK;Manchester City;eng Premier League;27;1987;36;36;3240;36.0;0.94;0.94;3.31;2.36;71.4;0.61;0.19;0.19;0.39;38.9;;;;;;Matches;cb4f24c6
87;Mouez Hassen;tn TUN;GK;Nice;fr Ligue 1;19;1995;30;30;2700;30.0;1.40;1.40;3.80;2.40;63.2;0.33;0.23;0.43;0.27;26.7;;;;;;Matches;fd481f3f
88;Tom Heaton;eng ENG;GK;Burnley;eng Premier League;28;1986;38;38;3420;38.0;1.39;1.39;4.68;3.29;70.2;0.18;0.32;0.50;0.26;26.3;;;;;;Matches;a6de6361
89;Wayne Hennessey;wls WAL;GK;Crystal Palace;eng Premier League;27;1987;3;2;216;2.4;0.83;0.83;2.50;1.67;66.7;0.42;0.42;0.00;0.42;50.0;;;;;;Matches;76eca7e2
90;Manu Herrera;es ESP;GK;Elche;es La Liga;32;1981;7;6;559;6.2;2.42;2.42;6.61;4.19;63.4;0.16;0.16;0.81;0.00;0.0;;;;;;Matches;ad2acc39
91;Iago Herrerín;es ESP;GK;Athletic Club;es La Liga;26;1988;4;4;360;4.0;0.75;0.75;2.75;2.00;72.7;0.50;0.50;0.00;0.50;50.0;;;;;;Matches;9109185e
92;Timo Hildebrand;de GER;GK;Eint Frankfurt;de Bundesliga;35;1979;3;3;270;3.0;2.67;2.67;6.00;3.33;55.6;0.00;0.67;0.33;0.00;0.0;;;;;;Matches;672b5171
93;Marwin Hitz;ch SUI;GK;Augsburg;de Bundesliga;26;1987;25;25;2250;25.0;1.12;1.12;4.72;3.60;76.3;0.40;0.12;0.48;0.36;36.0;;;;;;Matches;2e7ff968
94;Timo Horn;de GER;GK;Köln;de Bundesliga;21;1993;33;33;2970;33.0;1.15;1.15;4.64;3.48;75.2;0.27;0.39;0.33;0.39;39.4;;;;;;Matches;3cd9e95a
95;Tim Howard;us USA;GK;Everton;eng Premier League;35;1979;32;32;2835;31.5;1.40;1.40;3.40;2.00;58.9;0.35;0.25;0.38;0.22;21.9;;;;;;Matches;c444465e
96;Alessandro Iacobucci;it ITA;GK;Parma;it Serie A;23;1991;7;5;499;5.5;2.73;2.71;5.82;3.09;53.1;0.00;0.18;0.91;0.00;0.0;;;;;;Matches;0f662bdf
97;Salvador Ichazo;uy URU;GK;Torino;it Serie A;22;1992;1;1;90;1.0;0.00;0.00;1.00;1.00;100.0;1.00;0.00;0.00;1.00;100.0;;;;;;Matches;514f0896
98;Gorka Iraizoz;es ESP;GK;Athletic Club;es La Liga;33;1981;34;34;3060;34.0;1.12;1.12;3.79;2.68;70.5;0.38;0.24;0.38;0.35;35.3;;;;;;Matches;26f2473f
99;Xabi Irureta;es ESP;GK;Eibar;es La Liga;28;1986;33;33;2970;33.0;1.45;1.45;5.03;3.58;71.1;0.27;0.21;0.52;0.21;21.2;;;;;;Matches;ad11657f
100;Jussi Jääskeläinen;fi FIN;GK;West Ham;eng Premier League;39;1975;1;0;28;0.3;0.00;0.00;10.0;10.0;100.0;0.00;3.33;0.00;3.33;;;;;;;Matches;340d2a24
101;Jaime;es ESP;GK;Eibar;es La Liga;33;1980;5;5;450;5.0;1.40;1.40;5.40;4.00;74.1;0.00;0.20;0.80;0.20;20.0;;;;;;Matches;d7f052c3
102;Eldin Jakupovi?;ch SUI;GK;Hull City;eng Premier League;29;1984;3;2;228;2.5;0.80;0.79;4.40;3.60;81.8;0.00;0.80;0.40;0.40;50.0;;;;;;Matches;1148323a
103;Rune Jarstein;no NOR;GK;Hertha BSC;de Bundesliga;29;1984;1;1;90;1.0;4.00;4.00;7.00;3.00;42.9;0.00;0.00;1.00;0.00;0.0;;;;;;Matches;27d2618c
104;Jesús;es ESP;GK;Levante;es La Liga;26;1988;6;6;540;6.0;2.00;2.00;5.00;3.00;60.0;0.17;0.17;0.67;0.33;33.3;;;;;;Matches;fba3c8c1
105;Brad Jones;au AUS;GK;Liverpool;eng Premier League;32;1982;3;3;195;2.2;2.27;2.31;4.09;1.82;44.4;0.45;0.45;0.00;0.00;0.0;;;;;;Matches;ffc1c226
106;Geoffrey Jourdren;fr FRA;GK;Montpellier;fr Ligue 1;28;1986;29;29;2610;29.0;0.97;0.97;3.76;2.79;74.3;0.45;0.17;0.38;0.41;41.4;;;;;;Matches;aaa7b6bf
107;Ažbe Jug;si SVN;GK;Bordeaux;fr Ligue 1;22;1992;2;1;169;1.9;2.11;2.13;4.21;2.11;50.0;0.53;0.00;0.53;0.00;0.0;;;;;;Matches;e47bb609
108;Carlos Kameni;cm CMR;GK;Málaga;es La Liga;30;1984;38;38;3420;38.0;1.26;1.26;4.00;2.74;68.4;0.37;0.21;0.42;0.26;26.3;;;;;;Matches;867c7fb3
109;Stefanos Kapino;gr GRE;GK;Mainz 05;de Bundesliga;20;1994;2;1;148;1.6;3.75;3.65;8.13;4.38;53.8;0.00;0.00;1.25;0.00;0.0;;;;;;Matches;62ba5881
110;Loris Karius;de GER;GK;Mainz 05;de Bundesliga;21;1993;33;33;2912;32.4;1.27;1.27;5.09;3.83;75.2;0.28;0.40;0.31;0.31;30.3;;;;;;Matches;32e7ce92
111;Orestis Karnezis;gr GRE;GK;Udinese;it Serie A;29;1985;37;37;3267;36.3;1.40;1.40;5.01;3.61;72.0;0.28;0.30;0.44;0.22;21.6;;;;;;Matches;85b011bb
112;Thomas Kessler;de GER;GK;Köln;de Bundesliga;28;1986;1;1;90;1.0;2.00;2.00;6.00;4.00;66.7;0.00;0.00;1.00;0.00;0.0;;;;;;Matches;3967d651
113;Thorsten Kirschbaum;de GER;GK;Stuttgart;de Bundesliga;27;1987;6;6;540;6.0;2.67;2.67;6.33;3.67;57.9;0.33;0.17;0.50;0.17;16.7;;;;;;Matches;f70e46e6
114;Thomas Kraft;de GER;GK;Hertha BSC;de Bundesliga;26;1988;32;32;2872;31.9;1.47;1.47;4.36;2.88;66.2;0.28;0.22;0.47;0.28;28.1;;;;;;Matches;bb25c778
115;Tim Krul;nl NED;GK;Newcastle Utd;eng Premier League;26;1988;30;30;2700;30.0;1.57;1.57;4.37;2.80;64.1;0.23;0.23;0.50;0.23;23.3;;;;;;Matches;f23f9d20
116;Lukas Kruse;de GER;GK;Paderborn 07;de Bundesliga;31;1983;34;34;3060;34.0;1.91;1.91;5.21;3.29;63.3;0.21;0.29;0.50;0.18;17.6;;;;;;Matches;d479d6fa
117;Eugenio Lamanna;it ITA;GK;Genoa;it Serie A;24;1989;8;6;640;7.1;1.27;1.27;6.62;5.35;80.9;0.28;0.14;0.56;0.42;50.0;;;;;;Matches;349601c3
118;Mitchell Langerak;au AUS;GK;Dortmund;de Bundesliga;25;1988;9;9;810;9.0;1.11;1.11;2.78;1.67;60.0;0.33;0.22;0.44;0.33;33.3;;;;;;Matches;d2a184cc
119;Nicola Leali;it ITA;GK;Cesena;it Serie A;21;1993;28;28;2460;27.3;1.79;1.79;4.95;3.15;63.7;0.15;0.33;0.55;0.15;14.3;;;;;;Matches;5f9970a0
120;Jean-Louis Leca;fr FRA;GK;Bastia;fr Ligue 1;28;1985;3;3;270;3.0;1.33;1.33;4.67;3.33;71.4;0.00;0.67;0.33;0.33;33.3;;;;;;Matches;edbe46dc
121;Benjamin Lecomte;fr FRA;GK;Lorient;fr Ligue 1;23;1991;38;38;3416;38.0;1.32;1.32;4.76;3.45;72.4;0.32;0.18;0.50;0.26;26.3;;;;;;Matches;2fa2a875
122;Bernd Leno;de GER;GK;Leverkusen;de Bundesliga;22;1992;34;34;3060;34.0;1.09;1.09;3.41;2.32;68.1;0.50;0.29;0.21;0.47;47.1;;;;;;Matches;2628fd2b
123;Benjamin Leroy;fr FRA;GK;Evian;fr Ligue 1;25;1989;23;23;2070;23.0;1.65;1.65;4.17;2.52;60.4;0.22;0.13;0.65;0.17;17.4;;;;;;Matches;1e7aea56
124;Jonathan Ligali;fr FRA;GK;Montpellier;fr Ligue 1;23;1991;6;6;540;6.0;0.83;0.83;4.33;3.50;80.8;0.50;0.17;0.33;0.50;50.0;;;;;;Matches;c69a3268
125;Hugo Lloris;fr FRA;GK;Tottenham;eng Premier League;27;1986;35;35;3063;34.0;1.41;1.41;4.50;3.09;68.6;0.50;0.18;0.32;0.24;22.9;;;;;;Matches;8f62b6ee
126;Anthony Lopes;pt POR;GK;Lyon;fr Ligue 1;23;1990;38;38;3420;38.0;0.87;0.87;3.66;2.79;76.3;0.58;0.24;0.18;0.42;42.1;;;;;;Matches;f00de885
127;Diego López;es ESP;GK;Milan;it Serie A;32;1981;28;28;2514;27.9;1.51;1.50;4.87;3.37;69.1;0.29;0.29;0.39;0.18;17.9;;;;;;Matches;73683fa9
128;Jonathan López;es ESP;GK;Getafe;es La Liga;33;1981;4;4;360;4.0;1.50;1.50;4.25;2.75;64.7;0.50;0.00;0.50;0.00;0.0;;;;;;Matches;5f872f11
129;Pau López;es ESP;GK;Espanyol;es La Liga;19;1994;2;1;140;1.6;1.88;1.93;4.38;2.50;57.1;0.00;0.00;1.25;0.00;0.0;;;;;;Matches;20b9f052
130;Jonas Lössl;dk DEN;GK;Guingamp;fr Ligue 1;25;1989;30;30;2686;29.8;1.41;1.41;4.66;3.26;69.8;0.40;0.13;0.44;0.23;23.3;;;;;;Matches;939bc634
