;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
1;Christian Abbiati;it ITA;GK;Milan;it Serie A;38;1977;1;0;72;0.8;0.00;0.00;6.25;6.25;100.0;0.00;1.25;0.00;1.25;;;;;;;Matches;322421c2
2;Antonio Adán;es ESP;GK;Betis;es La Liga;28;1987;36;36;3213;35.7;1.40;1.40;5.01;3.61;72.1;0.28;0.31;0.42;0.34;33.3;0.03;0.00;0.00;0.03;;Matches;65d62814
3;René Adler;de GER;GK;Hamburger SV;de Bundesliga;30;1985;24;24;2071;23.0;1.43;1.43;4.96;3.52;71.1;0.30;0.26;0.43;0.22;20.8;;;;;;Matches;f71890f5
4;Adrián;es ESP;GK;West Ham;eng Premier League;28;1987;32;32;2880;32.0;1.22;1.22;4.31;3.09;71.7;0.41;0.44;0.16;0.28;28.1;;;;;;Matches;f76e6b4e
5;Kossi Agassa;tg TOG;GK;Reims;fr Ligue 1;37;1978;11;11;901;10.0;1.30;1.30;4.80;3.50;72.9;0.30;0.30;0.40;0.10;9.1;;;;;;Matches;14a03f68
6;Ali Ahamada;km COM;GK;Toulouse;fr Ligue 1;23;1991;6;6;540;6.0;2.50;2.50;5.33;2.83;53.1;0.00;0.33;0.67;0.00;0.0;;;;;;Matches;0b64b1e6
7;Fabrizio Alastra;it ITA;GK;Palermo;it Serie A;17;1997;2;1;144;1.6;3.75;3.75;7.50;3.75;50.0;0.00;0.00;1.25;0.00;0.0;;;;;;Matches;cfed4243
8;Ryan Allsop;eng ENG;GK;Bournemouth;eng Premier League;23;1992;1;0;45;0.5;2.00;2.00;4.00;2.00;50.0;0.00;0.00;0.00;0.00;;;;;;;Matches;af615123
9;Sergio Álvarez;es ESP;GK;Celta Vigo;es La Liga;28;1986;31;30;2725;30.3;1.55;1.55;4.16;2.71;65.1;0.40;0.26;0.33;0.23;23.3;0.13;0.10;0.00;0.03;0.0;Matches;8875b8c9
10;Diego Alves;br BRA;GK;Valencia;es La Liga;30;1985;13;13;1170;13.0;1.62;1.62;5.23;3.69;70.6;0.46;0.08;0.46;0.08;7.7;0.08;0.08;0.00;0.00;0.0;Matches;12421a7c
11;Ionu? Andrei Radu;ro ROU;GK;Inter;it Serie A;;;1;0;19;0.2;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;;;;;;Matches;29d80748
12;Alphonse Areola;fr FRA;GK;Villarreal;es La Liga;22;1993;32;32;2880;32.0;0.81;0.81;3.25;2.50;76.0;0.53;0.25;0.22;0.47;46.9;0.06;0.03;0.03;0.00;50.0;Matches;2f965a72
13;Giedrius Arlauskis;lt LTU;GK;Watford;eng Premier League;27;1987;1;0;24;0.3;3.33;3.75;6.67;3.33;50.0;0.00;0.00;0.00;0.00;;;;;;;Matches;1858bbf7
14;Giedrius Arlauskis;lt LTU;GK;Espanyol;es La Liga;27;1987;3;3;225;2.5;4.80;4.80;7.20;2.80;38.9;0.00;0.00;1.20;0.00;0.0;0.40;0.40;0.00;0.00;0.0;Matches;1858bbf7
15;Sergio Asenjo;es ESP;GK;Villarreal;es La Liga;26;1989;4;4;360;4.0;1.25;1.25;4.25;3.25;76.5;0.25;0.50;0.25;0.50;50.0;0.25;0.25;0.00;0.00;0.0;Matches;9f0ea33f
16;Mariano Barbosa;ar ARG;GK;Villarreal;es La Liga;31;1984;2;2;180;2.0;2.00;2.00;5.00;3.00;60.0;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;aad4f74f
17;Francesco Bardi;it ITA;GK;Frosinone;it Serie A;23;1992;2;2;119;1.3;2.31;2.27;9.23;6.92;75.0;0.00;0.77;0.00;0.00;0.0;;;;;;Matches;0acda699
18;Davide Bassi;it ITA;GK;Atalanta;it Serie A;30;1985;1;1;90;1.0;3.00;3.00;5.00;2.00;40.0;0.00;0.00;1.00;0.00;0.0;;;;;;Matches;b260a8e3
19;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;25;1990;33;33;2970;33.0;1.52;1.52;5.91;4.39;74.4;0.27;0.30;0.42;0.18;18.2;;;;;;Matches;47064058
20;Asmir Begovi?;ba BIH;GK;Chelsea;eng Premier League;28;1987;17;15;1399;15.5;1.55;1.54;5.10;3.55;69.6;0.26;0.32;0.45;0.26;26.7;;;;;;Matches;7b4de647
21;Vid Belec;si SVN;GK;Carpi;it Serie A;25;1990;30;30;2700;30.0;1.37;1.37;4.13;2.77;66.9;0.27;0.27;0.47;0.20;20.0;;;;;;Matches;4f8ce0e1
22;Diego Benaglio;ch SUI;GK;Wolfsburg;de Bundesliga;31;1983;21;21;1890;21.0;1.86;1.86;4.90;3.05;62.1;0.24;0.24;0.52;0.24;23.8;;;;;;Matches;b7e7937d
23;Francesco Benussi;it ITA;GK;Carpi;it Serie A;33;1981;4;4;298;3.3;0.91;0.91;3.33;2.42;72.7;0.00;0.61;0.30;0.30;25.0;;;;;;Matches;42bcb825
24;Etrit Berisha;al ALB;GK;Lazio;it Serie A;26;1989;11;9;873;9.7;1.34;1.34;4.43;3.09;69.8;0.52;0.31;0.21;0.21;22.2;;;;;;Matches;ee833569
25;Paul Bernardoni;fr FRA;GK;Bordeaux;fr Ligue 1;18;1997;7;7;630;7.0;2.57;2.57;5.29;2.71;51.4;0.14;0.29;0.57;0.14;14.3;;;;;;Matches;28dabd43
26;Paul Bernardoni;fr FRA;GK;Troyes;fr Ligue 1;18;1997;14;14;1260;14.0;1.86;1.86;5.86;4.00;68.3;0.07;0.43;0.50;0.14;14.3;;;;;;Matches;28dabd43
27;Beto;pt POR;GK;Sevilla;es La Liga;33;1982;4;4;360;4.0;2.00;2.00;5.25;3.50;66.7;0.00;0.50;0.50;0.25;25.0;0.25;0.25;0.00;0.00;0.0;Matches;3b4941e4
28;Albano Bizzarri;ar ARG;GK;Chievo;it Serie A;37;1977;35;35;3150;35.0;1.23;1.23;4.57;3.34;73.1;0.34;0.29;0.37;0.31;31.4;;;;;;Matches;32b9b5fa
29;Rubén Blanco;es ESP;GK;Celta Vigo;es La Liga;20;1995;8;8;689;7.6;1.58;1.57;3.82;2.37;58.6;0.66;0.13;0.26;0.39;37.5;0.13;0.00;0.13;0.00;100.0;Matches;967f34d3
30;Ádám Bogdán;hu HUN;GK;Liverpool;eng Premier League;27;1987;2;2;180;2.0;2.00;2.00;3.00;1.00;33.3;0.00;0.50;0.50;0.00;0.0;;;;;;Matches;56f99ec7
31;Artur Boruc;pl POL;GK;Bournemouth;eng Premier League;35;1980;32;32;2880;32.0;1.59;1.59;3.84;2.25;58.5;0.34;0.22;0.44;0.22;21.9;;;;;;Matches;34ccf6fa
32;Claudio Bravo;cl CHI;GK;Barcelona;es La Liga;32;1983;32;32;2878;32.0;0.69;0.69;3.34;2.69;80.4;0.75;0.13;0.13;0.50;50.0;0.03;0.03;0.00;0.00;0.0;Matches;10072610
33;Alberto Brignoli;it ITA;GK;Sampdoria;it Serie A;23;1991;1;1;90;1.0;5.00;5.00;12.0;7.00;58.3;0.00;0.00;1.00;0.00;0.0;;;;;;Matches;6989550f
34;Željko Brki?;rs SRB;GK;Carpi;it Serie A;29;1986;4;3;332;3.7;3.24;3.25;6.76;3.51;52.0;0.00;0.27;0.81;0.00;0.0;;;;;;Matches;5b8e51a8
35;Gianluigi Buffon;it ITA;GK;Juventus;it Serie A;37;1978;35;35;3150;35.0;0.49;0.49;2.51;2.03;80.7;0.80;0.09;0.11;0.60;60.0;;;;;;Matches;e40d028b
36;Mark Bunn;eng ENG;GK;Aston Villa;eng Premier League;30;1984;10;10;900;10.0;1.80;1.80;4.20;2.40;57.1;0.20;0.30;0.50;0.40;40.0;;;;;;Matches;a6738b6c
37;Roman Bürki;ch SUI;GK;Dortmund;de Bundesliga;24;1990;33;33;2970;33.0;1.03;1.03;3.18;2.15;67.6;0.70;0.18;0.12;0.36;36.4;;;;;;Matches;9d12e142
38;Ludovic Butelle;fr FRA;GK;Angers;fr Ligue 1;32;1983;19;19;1710;19.0;0.58;0.58;2.47;1.89;76.6;0.42;0.37;0.21;0.58;57.9;;;;;;Matches;26975a92
39;Jack Butland;eng ENG;GK;Stoke City;eng Premier League;22;1993;31;31;2790;31.0;1.19;1.19;4.48;3.29;73.4;0.42;0.23;0.35;0.32;32.3;;;;;;Matches;cc70a1d5
40;Willy Caballero;ar ARG;GK;Manchester City;eng Premier League;33;1981;4;3;311;3.5;1.43;1.45;5.43;4.00;73.7;0.57;0.00;0.29;0.29;33.3;;;;;;Matches;a179d516
41;Yoan Cardinale;fr FRA;GK;Nice;fr Ligue 1;21;1994;26;25;2307;25.6;1.09;1.09;3.83;2.73;71.4;0.47;0.23;0.27;0.35;36.0;;;;;;Matches;950ff24d
42;Juan Carlos;es ESP;GK;Rayo Vallecano;es La Liga;27;1988;21;19;1801;20.0;1.80;1.80;4.90;3.30;66.3;0.20;0.40;0.35;0.15;15.8;0.20;0.15;0.05;0.00;25.0;Matches;688b96e3
43;Cédric Carrasso;fr FRA;GK;Bordeaux;fr Ligue 1;33;1981;20;20;1714;19.0;1.53;1.52;4.16;2.63;63.3;0.32;0.37;0.32;0.32;30.0;;;;;;Matches;17f5a888
44;Johann Carrasso;fr FRA;GK;Reims;fr Ligue 1;27;1988;10;10;900;10.0;2.10;2.10;5.50;3.40;61.8;0.20;0.10;0.70;0.00;0.0;;;;;;Matches;223f8202
45;Kiko Casilla;es ESP;GK;Real Madrid;es La Liga;28;1986;4;4;360;4.0;1.50;1.50;5.00;3.50;70.0;0.75;0.00;0.25;0.25;25.0;0.00;0.00;0.00;0.00;;Matches;58bc7d18
46;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;23;1992;13;13;1170;13.0;0.77;0.77;3.85;3.08;80.0;0.54;0.31;0.15;0.31;30.8;;;;;;Matches;db401046
47;Petr ?ech;cz CZE;GK;Arsenal;eng Premier League;33;1982;34;34;3060;34.0;0.91;0.91;3.71;2.79;75.4;0.53;0.26;0.21;0.47;47.1;;;;;;Matches;71672fa0
48;Florent Chaigneau;fr FRA;GK;Lorient;fr Ligue 1;31;1984;2;1;178;2.0;2.50;2.53;7.50;5.00;66.7;0.00;0.00;1.00;0.00;0.0;;;;;;Matches;e3a4b82d
49;Simone Colombi;it ITA;GK;Carpi;it Serie A;24;1991;1;1;90;1.0;1.00;1.00;5.00;4.00;80.0;0.00;0.00;1.00;0.00;0.0;;;;;;Matches;72be9309
50;Simone Colombi;it ITA;GK;Palermo;it Serie A;24;1991;1;1;90;1.0;1.00;1.00;4.00;3.00;75.0;1.00;0.00;0.00;0.00;0.0;;;;;;Matches;72be9309
51;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;28;1987;37;37;3270;36.3;1.05;1.05;3.69;2.64;71.6;0.41;0.36;0.22;0.28;27.0;;;;;;Matches;8cabdc1e
52;Ferdinando Coppola;it ITA;GK;Hellas Verona;it Serie A;37;1978;1;1;90;1.0;1.00;1.00;2.00;1.00;50.0;0.00;1.00;0.00;0.00;0.0;;;;;;Matches;7feaf90b
53;Angelo da Costa Júnior;br BRA;GK;Bologna;it Serie A;31;1983;5;5;450;5.0;0.80;0.80;3.40;2.60;76.5;0.40;0.20;0.40;0.20;20.0;;;;;;Matches;18736214
54;Benoît Costil;fr FRA;GK;Rennes;fr Ligue 1;28;1987;31;31;2790;31.0;1.45;1.45;4.42;2.97;67.2;0.39;0.26;0.35;0.16;16.1;;;;;;Matches;2434f24a
55;Thibaut Courtois;be BEL;GK;Chelsea;eng Premier League;23;1992;23;23;2020;22.4;1.29;1.29;4.15;2.86;68.8;0.36;0.40;0.22;0.22;21.7;;;;;;Matches;1840e36d
56;Iván Cuéllar;es ESP;GK;Sporting Gijón;es La Liga;31;1984;32;32;2880;32.0;1.53;1.53;4.91;3.56;72.0;0.25;0.25;0.50;0.22;21.9;0.25;0.16;0.03;0.06;16.7;Matches;75751c99
57;Karl Darlow;eng ENG;GK;Newcastle Utd;eng Premier League;24;1990;9;9;810;9.0;1.22;1.22;3.78;2.56;67.6;0.33;0.33;0.33;0.33;33.3;;;;;;Matches;cde3309f
58;Kelvin Davis;eng ENG;GK;Southampton;eng Premier League;38;1976;1;1;90;1.0;2.00;2.00;7.00;5.00;71.4;0.00;1.00;0.00;0.00;0.0;;;;;;Matches;33b6ee02
59;Morgan De Sanctis;it ITA;GK;Roma;it Serie A;38;1977;4;4;360;4.0;1.75;1.75;4.25;2.50;58.8;0.25;0.25;0.50;0.00;0.0;;;;;;Matches;83228343
60;Abdoulaye Diallo;sn SEN;GK;Rennes;fr Ligue 1;23;1992;7;7;630;7.0;1.29;1.29;4.86;3.57;73.5;0.14;0.71;0.14;0.14;14.3;;;;;;Matches;26383ea5
61;Néstor Díaz;es ESP;GK;Celta Vigo;es La Liga;23;1992;1;0;4;0.1;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;6a3a6617
62;Jaume Doménech;es ESP;GK;Valencia;es La Liga;24;1990;17;17;1530;17.0;1.06;1.06;4.59;3.65;76.9;0.29;0.35;0.35;0.29;29.4;0.12;0.00;0.12;0.00;100.0;Matches;c9cb972b
63;Gianluigi Donnarumma;it ITA;GK;Milan;it Serie A;16;1999;30;30;2628;29.2;0.99;0.99;3.66;2.67;72.9;0.41;0.31;0.24;0.34;33.3;;;;;;Matches;08f5afaa
64;Nicolas Douchez;fr FRA;GK;Paris S-G;fr Ligue 1;35;1980;1;1;90;1.0;0.00;0.00;3.00;3.00;100.0;1.00;0.00;0.00;1.00;100.0;;;;;;Matches;65df6f31
65;Matthieu Dreyer;fr FRA;GK;Troyes;fr Ligue 1;26;1989;15;15;1350;15.0;2.53;2.53;6.47;3.93;60.8;0.13;0.07;0.80;0.00;0.0;;;;;;Matches;fbf83734
66;Jaroslav Drobný;cz CZE;GK;Hamburger SV;de Bundesliga;35;1979;10;9;847;9.4;1.06;1.06;4.79;3.72;77.8;0.32;0.21;0.43;0.43;44.4;;;;;;Matches;e4a30d8c
67;Maxime Dupé;fr FRA;GK;Nantes;fr Ligue 1;22;1993;7;7;630;7.0;1.71;1.71;6.00;4.29;71.4;0.00;0.43;0.57;0.14;14.3;;;;;;Matches;0e12089d
68;Rob Elliot;ie IRL;GK;Newcastle Utd;eng Premier League;29;1986;21;21;1890;21.0;1.76;1.76;4.48;2.71;60.6;0.29;0.19;0.52;0.19;19.0;;;;;;Matches;b1b25949
69;Vincent Enyeama;ng NGA;GK;Lille;fr Ligue 1;32;1982;35;35;3129;34.8;0.69;0.69;3.30;2.61;79.1;0.40;0.43;0.17;0.49;48.6;;;;;;Matches;62156b6a
