;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
70;?ukasz Fabia?ski;pl POL;GK;Swansea City;eng Premier League;30;1985;37;37;3330;37.0;1.38;1.38;4.32;2.95;68.1;0.32;0.27;0.41;0.24;24.3;;;;;;Matches;9328b835
71;Ralf Fährmann;de GER;GK;Schalke 04;de Bundesliga;26;1988;34;34;3059;34.0;1.44;1.44;5.41;3.97;73.4;0.44;0.21;0.35;0.24;23.5;;;;;;Matches;1e43fad8
72;Adam Federici;au AUS;GK;Bournemouth;eng Premier League;30;1985;6;6;495;5.5;2.73;2.73;4.91;2.18;44.4;0.00;0.36;0.73;0.00;0.0;;;;;;Matches;e5ea8be7
73;Andrés Fernández;es ESP;GK;Granada;es La Liga;28;1986;37;37;3329;37.0;1.81;1.81;4.49;2.78;62.0;0.27;0.22;0.51;0.11;10.8;0.14;0.11;0.00;0.03;0.0;Matches;307fcd26
74;Fraser Forster;eng ENG;GK;Southampton;eng Premier League;27;1988;18;18;1620;18.0;0.94;0.94;3.72;2.78;74.6;0.67;0.17;0.17;0.33;33.3;;;;;;Matches;c3e39f12
75;Ben Foster;eng ENG;GK;West Brom;eng Premier League;32;1983;15;15;1350;15.0;1.13;1.13;4.00;2.87;71.7;0.20;0.40;0.40;0.27;26.7;;;;;;Matches;d0b3ceb9
76;Gabriel;br BRA;GK;Napoli;it Serie A;22;1992;1;1;90;1.0;5.00;5.00;12.0;7.00;58.3;0.00;0.00;1.00;0.00;0.0;;;;;;Matches;f93ed0df
77;Alberto García;es ESP;GK;Sporting Gijón;es La Liga;30;1985;6;6;540;6.0;2.17;2.17;6.00;4.33;66.7;0.33;0.17;0.50;0.00;0.0;0.50;0.17;0.33;0.00;66.7;Matches;17d9e354
78;Paulo Gazzaniga;ar ARG;GK;Southampton;eng Premier League;23;1992;2;2;180;2.0;1.50;1.50;5.50;4.00;72.7;0.00;0.00;1.00;0.00;0.0;;;;;;Matches;63d17038
79;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;24;1990;34;34;3060;34.0;0.97;0.97;3.26;2.29;70.3;0.50;0.24;0.26;0.44;44.1;;;;;;Matches;7ba6d84e
80;Dani Giménez;es ESP;GK;Betis;es La Liga;32;1983;3;2;207;2.3;0.87;0.87;3.04;2.17;71.4;0.43;0.43;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;7c218bf9
81;Shay Given;ie IRL;GK;Stoke City;eng Premier League;39;1976;3;3;225;2.5;2.80;2.80;5.60;2.80;50.0;0.40;0.00;0.80;0.00;0.0;;;;;;Matches;0db918ff
82;Jules Goda;cm CMR;GK;Gazélec Ajaccio;fr Ligue 1;26;1989;3;3;220;2.4;0.42;0.41;2.92;2.50;85.7;0.00;0.83;0.00;0.42;33.3;;;;;;Matches;f3f2ed5c
83;Mauro Goicoechea;uy URU;GK;Toulouse;fr Ligue 1;27;1988;9;8;736;8.2;1.59;1.59;3.78;2.20;58.1;0.12;0.49;0.37;0.00;0.0;;;;;;Matches;132bb875
84;Pierluigi Gollini;it ITA;GK;Hellas Verona;it Serie A;20;1995;26;25;2320;25.8;1.71;1.71;4.38;2.67;61.1;0.19;0.27;0.54;0.08;8.0;;;;;;Matches;f0f7f62f
85;Heurelho Gomes;br BRA;GK;Watford;eng Premier League;34;1981;38;38;3396;37.7;1.30;1.30;3.21;1.91;59.5;0.32;0.24;0.45;0.29;28.9;;;;;;Matches;d596e193
86;Mathieu Gorgelin;fr FRA;GK;Lyon;fr Ligue 1;24;1990;1;1;90;1.0;0.00;0.00;3.00;3.00;100.0;0.00;1.00;0.00;1.00;100.0;;;;;;Matches;4d3e9033
87;Jens Grahl;de GER;GK;Hoffenheim;de Bundesliga;26;1988;1;1;90;1.0;4.00;4.00;8.00;4.00;50.0;0.00;0.00;1.00;0.00;0.0;;;;;;Matches;f26dee6b
88;Vicente Guaita;es ESP;GK;Getafe;es La Liga;28;1987;38;38;3420;38.0;1.76;1.76;4.71;3.21;67.0;0.24;0.24;0.53;0.21;21.1;0.29;0.21;0.05;0.03;20.0;Matches;ab13a5aa
89;Paul-André Guérin;fr FRA;GK;Gazélec Ajaccio;fr Ligue 1;17;1997;2;1;140;1.6;0.63;0.64;3.75;3.13;83.3;0.63;0.63;0.00;0.00;0.0;;;;;;Matches;9a6d4f3d
90;Brad Guzan;us USA;GK;Aston Villa;eng Premier League;30;1984;28;28;2520;28.0;2.07;2.07;5.14;3.07;59.7;0.04;0.18;0.79;0.07;7.1;;;;;;Matches;d899e3bf
91;Samir Handanovi?;si SVN;GK;Inter;it Serie A;31;1984;36;36;3240;36.0;0.94;0.94;4.06;3.11;76.7;0.53;0.19;0.28;0.42;41.7;;;;;;Matches;74419746
92;Jesper Hansen;dk DEN;GK;Bastia;fr Ligue 1;30;1985;4;3;311;3.5;1.71;1.74;4.86;3.14;64.7;0.29;0.00;0.57;0.29;33.3;;;;;;Matches;a3b952f8
93;Joe Hart;eng ENG;GK;Manchester City;eng Premier League;28;1987;35;35;3109;34.5;1.04;1.04;3.07;2.03;66.0;0.49;0.26;0.26;0.43;42.9;;;;;;Matches;cb4f24c6
94;Mouez Hassen;tn TUN;GK;Nice;fr Ligue 1;20;1995;14;12;1076;12.0;1.08;1.09;3.83;2.75;71.7;0.50;0.25;0.33;0.25;25.0;;;;;;Matches;fd481f3f
95;Jakob Haugaard;dk DEN;GK;Stoke City;eng Premier League;23;1992;5;4;405;4.5;2.44;2.44;4.89;2.44;50.0;0.00;0.44;0.44;0.00;0.0;;;;;;Matches;142741bb
96;Wayne Hennessey;wls WAL;GK;Crystal Palace;eng Premier League;28;1987;29;29;2610;29.0;1.24;1.24;3.93;2.69;68.4;0.28;0.31;0.41;0.28;27.6;;;;;;Matches;76eca7e2
97;Iago Herrerín;es ESP;GK;Athletic Club;es La Liga;27;1988;2;1;174;1.9;4.21;4.14;3.68;0.53;14.3;0.53;0.00;0.00;0.00;0.0;1.05;1.05;0.00;0.00;0.0;Matches;9109185e
98;Andreas Hirzel;ch SUI;GK;Hamburger SV;de Bundesliga;22;1993;1;0;51;0.6;3.33;3.53;5.00;1.67;33.3;0.00;0.00;1.67;0.00;;;;;;;Matches;5dfde5ff
99;Marwin Hitz;ch SUI;GK;Augsburg;de Bundesliga;27;1987;33;33;2966;33.0;1.48;1.49;5.33;3.85;72.2;0.27;0.33;0.39;0.33;33.3;;;;;;Matches;2e7ff968
100;Timo Horn;de GER;GK;Köln;de Bundesliga;22;1993;33;33;2970;33.0;1.21;1.21;4.70;3.48;74.2;0.30;0.36;0.33;0.24;24.2;;;;;;Matches;3cd9e95a
101;Tim Howard;us USA;GK;Everton;eng Premier League;36;1979;25;25;2250;25.0;1.40;1.40;4.60;3.20;69.6;0.32;0.44;0.24;0.28;28.0;;;;;;Matches;c444465e
102;Lukáš Hrádecký;fi FIN;GK;Eint Frankfurt;de Bundesliga;25;1989;34;34;3060;34.0;1.53;1.53;5.29;3.76;71.1;0.26;0.26;0.47;0.24;23.5;;;;;;Matches;ad3389d5
103;Salvador Ichazo;uy URU;GK;Torino;it Serie A;23;1992;3;3;270;3.0;1.67;1.67;3.67;2.00;54.5;0.33;0.33;0.33;0.00;0.0;;;;;;Matches;514f0896
104;Gorka Iraizoz;es ESP;GK;Athletic Club;es La Liga;34;1981;37;37;3243;36.0;1.03;1.03;3.44;2.56;73.4;0.47;0.22;0.33;0.36;35.1;0.14;0.11;0.03;0.00;20.0;Matches;26f2473f
105;Xabi Irureta;es ESP;GK;Eibar;es La Liga;29;1986;5;5;450;5.0;1.60;1.60;4.80;3.20;66.7;0.60;0.20;0.20;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;ad11657f
106;Rune Jarstein;no NOR;GK;Hertha BSC;de Bundesliga;30;1984;29;28;2565;28.5;1.26;1.26;4.32;3.05;70.7;0.42;0.25;0.32;0.42;42.9;;;;;;Matches;27d2618c
107;Jesús;es ESP;GK;Granada;es La Liga;27;1988;1;1;90;1.0;2.00;2.00;6.00;4.00;66.7;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;fba3c8c1
108;Geoffrey Jourdren;fr FRA;GK;Montpellier;fr Ligue 1;29;1986;7;7;630;7.0;1.14;1.14;4.14;3.00;72.4;0.57;0.00;0.43;0.29;28.6;;;;;;Matches;aaa7b6bf
109;Carlos Kameni;cm CMR;GK;Málaga;es La Liga;31;1984;28;28;2467;27.4;0.91;0.91;3.61;2.77;75.8;0.29;0.33;0.40;0.33;32.1;0.07;0.04;0.04;0.00;50.0;Matches;867c7fb3
110;Loris Karius;de GER;GK;Mainz 05;de Bundesliga;22;1993;34;34;3060;34.0;1.24;1.24;4.68;3.44;73.6;0.41;0.24;0.35;0.26;26.5;;;;;;Matches;32e7ce92
111;Orestis Karnezis;gr GRE;GK;Udinese;it Serie A;30;1985;38;38;3420;38.0;1.58;1.58;4.45;2.87;64.5;0.26;0.24;0.50;0.21;21.1;;;;;;Matches;85b011bb
112;Thomas Kessler;de GER;GK;Köln;de Bundesliga;29;1986;1;1;90;1.0;2.00;2.00;5.00;3.00;60.0;0.00;1.00;0.00;0.00;0.0;;;;;;Matches;3967d651
113;Thomas Kraft;de GER;GK;Hertha BSC;de Bundesliga;27;1988;6;6;495;5.5;1.27;1.27;4.18;2.91;69.6;0.36;0.18;0.55;0.18;16.7;;;;;;Matches;bb25c778
114;Dario Kreši?;hr CRO;GK;Leverkusen;de Bundesliga;31;1984;1;1;46;0.5;2.00;1.96;4.00;2.00;50.0;2.00;0.00;0.00;0.00;0.0;;;;;;Matches;8ae11182
115;Tim Krul;nl NED;GK;Newcastle Utd;eng Premier League;27;1988;8;8;720;8.0;2.13;2.12;6.25;4.13;66.0;0.00;0.38;0.63;0.13;12.5;;;;;;Matches;f23f9d20
116;Alban Lafont;fr FRA;GK;Toulouse;fr Ligue 1;16;1999;24;24;2144;23.8;1.13;1.13;3.32;2.18;65.8;0.34;0.29;0.38;0.29;29.2;;;;;;Matches;4e7db402
117;Eugenio Lamanna;it ITA;GK;Genoa;it Serie A;25;1989;13;13;1170;13.0;1.38;1.38;4.38;3.00;68.4;0.31;0.08;0.62;0.31;30.8;;;;;;Matches;349601c3
118;Mitchell Langerak;au AUS;GK;Stuttgart;de Bundesliga;26;1988;2;2;180;2.0;3.00;3.00;9.00;6.00;66.7;0.00;0.00;1.00;0.00;0.0;;;;;;Matches;d2a184cc
119;Nicola Leali;it ITA;GK;Frosinone;it Serie A;22;1993;33;33;2970;33.0;1.79;1.79;5.39;3.61;66.9;0.24;0.18;0.58;0.21;21.2;;;;;;Matches;5f9970a0
120;Jean-Louis Leca;fr FRA;GK;Bastia;fr Ligue 1;29;1985;34;34;2989;33.2;1.05;1.05;3.64;2.59;71.1;0.36;0.24;0.42;0.36;35.3;;;;;;Matches;edbe46dc
121;Benjamin Lecomte;fr FRA;GK;Lorient;fr Ligue 1;24;1991;37;37;3241;36.0;1.47;1.47;4.67;3.19;68.5;0.31;0.36;0.33;0.22;21.6;;;;;;Matches;2fa2a875
122;Bernd Leno;de GER;GK;Leverkusen;de Bundesliga;23;1992;33;33;2970;33.0;1.15;1.15;4.06;2.91;71.6;0.52;0.18;0.30;0.39;39.4;;;;;;Matches;2628fd2b
123;Alexandre Letellier;fr FRA;GK;Angers;fr Ligue 1;24;1990;17;17;1530;17.0;1.35;1.35;4.24;2.88;68.1;0.29;0.24;0.47;0.35;35.3;;;;;;Matches;96fcd380
124;Luca Lezzerini;it ITA;GK;Fiorentina;it Serie A;20;1995;2;1;110;1.2;2.50;2.45;5.83;3.33;57.1;0.83;0.00;0.00;0.00;0.0;;;;;;Matches;c9c32262
125;Jonathan Ligali;fr FRA;GK;Montpellier;fr Ligue 1;24;1991;6;6;540;6.0;1.67;1.67;4.33;2.67;61.5;0.17;0.17;0.67;0.17;16.7;;;;;;Matches;c69a3268
126;Raúl Lizoain;es ESP;GK;Las Palmas;es La Liga;24;1991;8;7;707;7.9;1.65;1.65;5.82;4.43;76.1;0.13;0.13;0.63;0.25;28.6;0.25;0.25;0.00;0.00;0.0;Matches;f69e9eee
